,Report_Date,China_jiangxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,14.0940741814443,468.22188905931847,True,1,19.214606337017695,936.4437778055307
1,2020-01-23,7,14.0940741814443,468.22188905931847,True,2,25.63280283737015,936.4437778055307
2,2020-01-24,18,14.0940741814443,468.22188905931847,True,3,34.11511233161109,936.4437778055307
3,2020-01-25,18,14.0940741814443,468.22188905931847,True,4,45.26485832341428,936.4437778055307
4,2020-01-26,36,14.0940741814443,468.22188905931847,True,5,59.81707405836511,936.4437778055307
5,2020-01-27,72,14.0940741814443,468.22188905931847,True,6,78.63487957872064,936.4437778055307
6,2020-01-28,109,14.0940741814443,468.22188905931847,True,7,102.67916893062542,936.4437778055307
7,2020-01-29,109,14.0940741814443,468.22188905931847,True,8,132.9361512368019,936.4437778055307
8,2020-01-30,162,14.0940741814443,468.22188905931847,True,9,170.28811010921945,936.4437778055307
9,2020-01-31,240,14.0940741814443,468.22188905931847,True,10,215.32265768259361,936.4437778055307
10,2020-02-01,286,14.0940741814443,468.22188905931847,True,11,268.09948044364626,936.4437778055307
11,2020-02-02,333,14.0940741814443,468.22188905931847,True,12,327.9296083021591,936.4437778055307
12,2020-02-03,391,14.0940741814443,468.22188905931847,True,13,393.2553571457652,936.4437778055307
13,2020-02-04,476,14.0940741814443,468.22188905931847,True,14,461.72035116858814,936.4437778055307
14,2020-02-05,548,14.0940741814443,468.22188905931847,True,15,530.4645552597606,936.4437778055307
15,2020-02-06,600,14.0940741814443,468.22188905931847,True,16,596.5814771727051,936.4437778055307
16,2020-02-07,661,14.0940741814443,468.22188905931847,True,17,657.59104327046,936.4437778055307
17,2020-02-08,698,14.0940741814443,468.22188905931847,True,18,711.7731062002686,936.4437778055307
18,2020-02-09,740,14.0940741814443,468.22188905931847,True,19,758.2797382166116,936.4437778055307
19,2020-02-10,771,14.0940741814443,468.22188905931847,True,20,797.044927391168,936.4437778055307
20,2020-02-11,804,14.0940741814443,468.22188905931847,True,21,828.5753850301302,936.4437778055307
21,2020-02-12,844,14.0940741814443,468.22188905931847,True,22,853.7142576452478,936.4437778055307
22,2020-02-13,872,14.0940741814443,468.22188905931847,True,23,873.4399666029256,936.4437778055307
23,2020-02-14,900,14.0940741814443,468.22188905931847,True,24,888.7252464676849,936.4437778055307
