,Report_Date,Armenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.09879920889884,640.5562803766337,True,1,0.015029048190548355,1187.3875249959085
1,2020-01-23,0,72.09879920889884,640.5562803766337,True,2,0.0176311190326049,1187.3875249959085
2,2020-01-24,0,72.09879920889884,640.5562803766337,True,3,0.020683695007463553,1187.3875249959085
3,2020-01-25,0,72.09879920889884,640.5562803766337,True,4,0.024264770822400784,1187.3875249959085
4,2020-01-26,0,72.09879920889884,640.5562803766337,True,5,0.028465843162924664,1187.3875249959085
5,2020-01-27,0,72.09879920889884,640.5562803766337,True,6,0.03339424768726084,1187.3875249959085
6,2020-01-28,0,72.09879920889884,640.5562803766337,True,7,0.03917590037456257,1187.3875249959085
7,2020-01-29,0,72.09879920889884,640.5562803766337,True,8,0.04595851313448071,1187.3875249959085
8,2020-01-30,0,72.09879920889884,640.5562803766337,True,9,0.053915365651232776,1187.3875249959085
9,2020-01-31,0,72.09879920889884,640.5562803766337,True,10,0.063249729575451,1187.3875249959085
10,2020-02-01,0,72.09879920889884,640.5562803766337,True,11,0.07420005774566678,1187.3875249959085
11,2020-02-02,0,72.09879920889884,640.5562803766337,True,12,0.08704607053132907,1187.3875249959085
12,2020-02-03,0,72.09879920889884,640.5562803766337,True,13,0.10211589412250212,1187.3875249959085
13,2020-02-04,0,72.09879920889884,640.5562803766337,True,14,0.11979443220916061,1187.3875249959085
14,2020-02-05,0,72.09879920889884,640.5562803766337,True,15,0.14053318364851752,1187.3875249959085
15,2020-02-06,0,72.09879920889884,640.5562803766337,True,16,0.16486175517114696,1187.3875249959085
16,2020-02-07,0,72.09879920889884,640.5562803766337,True,17,0.19340136080630915,1187.3875249959085
17,2020-02-08,0,72.09879920889884,640.5562803766337,True,18,0.22688064953309126,1187.3875249959085
18,2020-02-09,0,72.09879920889884,640.5562803766337,True,19,0.2661542608636217,1187.3875249959085
19,2020-02-10,0,72.09879920889884,640.5562803766337,True,20,0.3122245759924516,1187.3875249959085
20,2020-02-11,0,72.09879920889884,640.5562803766337,True,21,0.36626721135597623,1187.3875249959085
21,2020-02-12,0,72.09879920889884,640.5562803766337,True,22,0.42966089371149513,1187.3875249959085
22,2020-02-13,0,72.09879920889884,640.5562803766337,True,23,0.5040224631813234,1187.3875249959085
23,2020-02-14,0,72.09879920889884,640.5562803766337,True,24,0.5912478753843499,1187.3875249959085
24,2020-02-15,0,72.09879920889884,640.5562803766337,True,25,0.6935602183339958,1187.3875249959085
25,2020-02-16,0,72.09879920889884,640.5562803766337,True,26,0.8135659270231621,1187.3875249959085
26,2020-02-17,0,72.09879920889884,640.5562803766337,True,27,0.9543205715988226,1187.3875249959085
27,2020-02-18,0,72.09879920889884,640.5562803766337,True,28,1.119405817013284,1187.3875249959085
28,2020-02-19,0,72.09879920889884,640.5562803766337,True,29,1.3130194064119731,1187.3875249959085
29,2020-02-20,0,72.09879920889884,640.5562803766337,True,30,1.5400803106510588,1187.3875249959085
30,2020-02-21,0,72.09879920889884,640.5562803766337,True,31,1.8063515153707534,1187.3875249959085
31,2020-02-22,0,72.09879920889884,640.5562803766337,True,32,2.1185832875532054,1187.3875249959085
32,2020-02-23,0,72.09879920889884,640.5562803766337,True,33,2.4846801769791504,1187.3875249959085
33,2020-02-24,0,72.09879920889884,640.5562803766337,True,34,2.913895464203846,1187.3875249959085
34,2020-02-25,0,72.09879920889884,640.5562803766337,True,35,3.417057262554001,1187.3875249959085
35,2020-02-26,0,72.09879920889884,640.5562803766337,True,36,4.006831009953401,1187.3875249959085
36,2020-02-27,0,72.09879920889884,640.5562803766337,True,37,4.698023633702164,1187.3875249959085
37,2020-02-28,0,72.09879920889884,640.5562803766337,True,38,5.507935215414103,1187.3875249959085
38,2020-02-29,0,72.09879920889884,640.5562803766337,True,39,6.456764489474564,1187.3875249959085
39,2020-03-01,1,72.09879920889884,640.5562803766337,True,40,7.568074924723428,1187.3875249959085
