,Report_Date,Brunei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,58.35094736844664,70.67225248631438,True,1,0.001721718121961961,140.93857637112094
1,2020-01-23,0,58.35094736844664,70.67225248631438,True,2,0.0020972456799567742,140.93857637112094
2,2020-01-24,0,58.35094736844664,70.67225248631438,True,3,0.0025546788624280113,140.93857637112094
3,2020-01-25,0,58.35094736844664,70.67225248631438,True,4,0.0031118812381590046,140.93857637112094
4,2020-01-26,0,58.35094736844664,70.67225248631438,True,5,0.00379061206333774,140.93857637112094
5,2020-01-27,0,58.35094736844664,70.67225248631438,True,6,0.004617375685506428,140.93857637112094
6,2020-01-28,0,58.35094736844664,70.67225248631438,True,7,0.005624456067891769,140.93857637112094
7,2020-01-29,0,58.35094736844664,70.67225248631438,True,8,0.0068511767402937825,140.93857637112094
8,2020-01-30,0,58.35094736844664,70.67225248631438,True,9,0.008345435239568504,140.93857637112094
9,2020-01-31,0,58.35094736844664,70.67225248631438,True,10,0.010165571752903354,140.93857637112094
10,2020-02-01,0,58.35094736844664,70.67225248631438,True,11,0.012382644625442472,140.93857637112094
11,2020-02-02,0,58.35094736844664,70.67225248631438,True,12,0.015083201129676833,140.93857637112094
12,2020-02-03,0,58.35094736844664,70.67225248631438,True,13,0.018372651007622243,140.93857637112094
13,2020-02-04,0,58.35094736844664,70.67225248631438,True,14,0.022379373498600304,140.93857637112094
14,2020-02-05,0,58.35094736844664,70.67225248631438,True,15,0.02725971670811679,140.93857637112094
15,2020-02-06,0,58.35094736844664,70.67225248631438,True,16,0.03320408227680198,140.93857637112094
16,2020-02-07,0,58.35094736844664,70.67225248631438,True,17,0.040444329587179265,140.93857637112094
17,2020-02-08,0,58.35094736844664,70.67225248631438,True,18,0.04926278363844769,140.93857637112094
18,2020-02-09,0,58.35094736844664,70.67225248631438,True,19,0.06000319091661312,140.93857637112094
19,2020-02-10,0,58.35094736844664,70.67225248631438,True,20,0.07308404005917137,140.93857637112094
20,2020-02-11,0,58.35094736844664,70.67225248631438,True,21,0.08901475112693667,140.93857637112094
21,2020-02-12,0,58.35094736844664,70.67225248631438,True,22,0.10841534141576119,140.93857637112094
22,2020-02-13,0,58.35094736844664,70.67225248631438,True,23,0.13204029980385704,140.93857637112094
23,2020-02-14,0,58.35094736844664,70.67225248631438,True,24,0.1608075486662333,140.93857637112094
24,2020-02-15,0,58.35094736844664,70.67225248631438,True,25,0.1958335454640922,140.93857637112094
25,2020-02-16,0,58.35094736844664,70.67225248631438,True,26,0.2384757780581421,140.93857637112094
26,2020-02-17,0,58.35094736844664,70.67225248631438,True,27,0.29038414070886237,140.93857637112094
27,2020-02-18,0,58.35094736844664,70.67225248631438,True,28,0.3535629422445607,140.93857637112094
28,2020-02-19,0,58.35094736844664,70.67225248631438,True,29,0.430445591963785,140.93857637112094
29,2020-02-20,0,58.35094736844664,70.67225248631438,True,30,0.5239843259771912,140.93857637112094
30,2020-02-21,0,58.35094736844664,70.67225248631438,True,31,0.637757663185122,140.93857637112094
31,2020-02-22,0,58.35094736844664,70.67225248631438,True,32,0.7760985910862132,140.93857637112094
32,2020-02-23,0,58.35094736844664,70.67225248631438,True,33,0.9442467354534962,140.93857637112094
33,2020-02-24,0,58.35094736844664,70.67225248631438,True,34,1.148527898155776,140.93857637112094
34,2020-02-25,0,58.35094736844664,70.67225248631438,True,35,1.3965642519796446,140.93857637112094
35,2020-02-26,0,58.35094736844664,70.67225248631438,True,36,1.697518008262813,140.93857637112094
36,2020-02-27,0,58.35094736844664,70.67225248631438,True,37,2.0623703027554057,140.93857637112094
37,2020-02-28,0,58.35094736844664,70.67225248631438,True,38,2.5042350691492214,140.93857637112094
38,2020-02-29,0,58.35094736844664,70.67225248631438,True,39,3.038704370458792,140.93857637112094
39,2020-03-01,0,58.35094736844664,70.67225248631438,True,40,3.6842164937562556,140.93857637112094
40,2020-03-02,0,58.35094736844664,70.67225248631438,True,41,4.462430420304495,140.93857637112094
41,2020-03-03,0,58.35094736844664,70.67225248631438,True,42,5.398579319566078,140.93857637112094
42,2020-03-04,0,58.35094736844664,70.67225248631438,True,43,6.521760780830732,140.93857637112094
43,2020-03-05,0,58.35094736844664,70.67225248631438,True,44,7.865102173602039,140.93857637112094
44,2020-03-06,0,58.35094736844664,70.67225248631438,True,45,9.465716118158028,140.93857637112094
45,2020-03-07,0,58.35094736844664,70.67225248631438,True,46,11.36433524920704,140.93857637112094
46,2020-03-08,0,58.35094736844664,70.67225248631438,True,47,13.60449129981513,140.93857637112094
47,2020-03-09,1,58.35094736844664,70.67225248631438,True,48,16.231088447313322,140.93857637112094
48,2020-03-10,1,58.35094736844664,70.67225248631438,True,49,19.28822646502293,140.93857637112094
49,2020-03-11,11,58.35094736844664,70.67225248631438,True,50,22.816171040538585,140.93857637112094
50,2020-03-12,11,58.35094736844664,70.67225248631438,True,51,26.847463499245535,140.93857637112094
51,2020-03-13,37,58.35094736844664,70.67225248631438,True,52,31.402322039401927,140.93857637112094
52,2020-03-14,40,58.35094736844664,70.67225248631438,True,53,36.483708125296104,140.93857637112094
53,2020-03-15,50,58.35094736844664,70.67225248631438,True,54,42.07268404099052,140.93857637112094
54,2020-03-16,54,58.35094736844664,70.67225248631438,True,55,48.12490442330566,140.93857637112094
55,2020-03-17,56,58.35094736844664,70.67225248631438,True,56,54.569170361569626,140.93857637112094
56,2020-03-18,68,58.35094736844664,70.67225248631438,True,57,61.30883394477506,140.93857637112094
57,2020-03-19,75,58.35094736844664,70.67225248631438,True,58,68.22642831385826,140.93857637112094
58,2020-03-20,78,58.35094736844664,70.67225248631438,True,59,75.19126638801075,140.93857637112094
59,2020-03-21,83,58.35094736844664,70.67225248631438,True,60,82.06906511010024,140.93857637112094
