,Report_Date,Argentina_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.80040865542897,1426.3208167740756,True,1,0.03327259742424302,2521.9550754916622
1,2020-01-23,0,74.80040865542897,1426.3208167740756,True,2,0.03880881813165388,2521.9550754916622
2,2020-01-24,0,74.80040865542897,1426.3208167740756,True,3,0.04526619485731897,2521.9550754916622
3,2020-01-25,0,74.80040865542897,1426.3208167740756,True,4,0.05279799086225513,2521.9550754916622
4,2020-01-26,0,74.80040865542897,1426.3208167740756,True,5,0.06158296766963229,2521.9550754916622
5,2020-01-27,0,74.80040865542897,1426.3208167740756,True,6,0.07182962650164292,2521.9550754916622
6,2020-01-28,0,74.80040865542897,1426.3208167740756,True,7,0.08378115499950371,2521.9550754916622
7,2020-01-29,0,74.80040865542897,1426.3208167740756,True,8,0.09772119641493422,2521.9550754916622
8,2020-01-30,0,74.80040865542897,1426.3208167740756,True,9,0.11398057790114692,2521.9550754916622
9,2020-01-31,0,74.80040865542897,1426.3208167740756,True,10,0.13294515718423675,2521.9550754916622
10,2020-02-01,0,74.80040865542897,1426.3208167740756,True,11,0.15506497328879815,2521.9550754916622
11,2020-02-02,0,74.80040865542897,1426.3208167740756,True,12,0.1808649177364386,2521.9550754916622
12,2020-02-03,0,74.80040865542897,1426.3208167740756,True,13,0.21095717844243547,2521.9550754916622
13,2020-02-04,0,74.80040865542897,1426.3208167740756,True,14,0.24605575022690096,2521.9550754916622
14,2020-02-05,0,74.80040865542897,1426.3208167740756,True,15,0.2869933543852101,2521.9550754916622
15,2020-02-06,0,74.80040865542897,1426.3208167740756,True,16,0.3347411662298505,2521.9550754916622
16,2020-02-07,0,74.80040865542897,1426.3208167740756,True,17,0.39043181519444375,2521.9550754916622
17,2020-02-08,0,74.80040865542897,1426.3208167740756,True,18,0.4553861984467571,2521.9550754916622
18,2020-02-09,0,74.80040865542897,1426.3208167740756,True,19,0.5311447376775184,2521.9550754916622
19,2020-02-10,0,74.80040865542897,1426.3208167740756,True,20,0.6195038117504462,2521.9550754916622
20,2020-02-11,0,74.80040865542897,1426.3208167740756,True,21,0.7225582174287454,2521.9550754916622
