,Report_Date,China_zhejiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,10,11.689410496887481,610.8212843669585,True,1,47.43630845060377,1221.6425685965319
1,2020-01-23,27,11.689410496887481,610.8212843669585,True,2,63.186074106033274,1221.6425685965319
2,2020-01-24,43,11.689410496887481,610.8212843669585,True,3,83.79190460237224,1221.6425685965319
3,2020-01-25,62,11.689410496887481,610.8212843669585,True,4,110.47673365529657,1221.6425685965319
4,2020-01-26,104,11.689410496887481,610.8212843669585,True,5,144.57994404113597,1221.6425685965319
5,2020-01-27,128,11.689410496887481,610.8212843669585,True,6,187.43473287246377,1221.6425685965319
6,2020-01-28,173,11.689410496887481,610.8212843669585,True,7,240.15969547627154,1221.6425685965319
7,2020-01-29,296,11.689410496887481,610.8212843669585,True,8,303.3655521407109,1221.6425685965319
8,2020-01-30,428,11.689410496887481,610.8212843669585,True,9,376.81955743374976,1221.6425685965319
9,2020-01-31,538,11.689410496887481,610.8212843669585,True,10,459.16575673168086,1221.6425685965319
10,2020-02-01,599,11.689410496887481,610.8212843669585,True,11,547.8378612738333,1221.6425685965319
11,2020-02-02,661,11.689410496887481,610.8212843669585,True,12,639.2768343750718,1221.6425685965319
12,2020-02-03,724,11.689410496887481,610.8212843669585,True,13,729.4552972664748,1221.6425685965319
13,2020-02-04,829,11.689410496887481,610.8212843669585,True,14,814.5618011501336,1221.6425685965319
14,2020-02-05,895,11.689410496887481,610.8212843669585,True,15,891.6102635152704,1221.6425685965319
15,2020-02-06,954,11.689410496887481,610.8212843669585,True,16,958.7816809291563,1221.6425685965319
16,2020-02-07,1006,11.689410496887481,610.8212843669585,True,17,1015.4434383102752,1221.6425685965319
17,2020-02-08,1048,11.689410496887481,610.8212843669585,True,18,1061.9259285264325,1221.6425685965319
18,2020-02-09,1075,11.689410496887481,610.8212843669585,True,19,1099.1936382565723,1221.6425685965319
19,2020-02-10,1092,11.689410496887481,610.8212843669585,True,20,1128.5279323134089,1221.6425685965319
20,2020-02-11,1117,11.689410496887481,610.8212843669585,True,21,1151.284616671508,1221.6425685965319
21,2020-02-12,1131,11.689410496887481,610.8212843669585,True,22,1168.7404096314049,1221.6425685965319
22,2020-02-13,1145,11.689410496887481,610.8212843669585,True,23,1182.0144926963726,1221.6425685965319
23,2020-02-14,1155,11.689410496887481,610.8212843669585,True,24,1192.0422302995582,1221.6425685965319
24,2020-02-15,1162,11.689410496887481,610.8212843669585,True,25,1199.5798491071187,1221.6425685965319
25,2020-02-16,1167,11.689410496887481,610.8212843669585,True,26,1205.2244770513755,1221.6425685965319
26,2020-02-17,1171,11.689410496887481,610.8212843669585,True,27,1209.4396481750641,1221.6425685965319
27,2020-02-18,1172,11.689410496887481,610.8212843669585,True,28,1212.580755587442,1221.6425685965319
28,2020-02-19,1174,11.689410496887481,610.8212843669585,True,29,1214.9178181396226,1221.6425685965319
29,2020-02-20,1175,11.689410496887481,610.8212843669585,True,30,1216.654626200127,1221.6425685965319
30,2020-02-21,1203,11.689410496887481,610.8212843669585,True,31,1217.944232591149,1221.6425685965319
31,2020-02-22,1205,11.689410496887481,610.8212843669585,True,32,1218.901169284243,1221.6425685965319
32,2020-02-23,1205,11.689410496887481,610.8212843669585,True,33,1219.610913653015,1221.6425685965319
33,2020-02-24,1205,11.689410496887481,610.8212843669585,True,34,1220.1371331744656,1221.6425685965319
34,2020-02-25,1205,11.689410496887481,610.8212843669585,True,35,1220.5271810869756,1221.6425685965319
35,2020-02-26,1205,11.689410496887481,610.8212843669585,True,36,1220.8162387318891,1221.6425685965319
36,2020-02-27,1205,11.689410496887481,610.8212843669585,True,37,1221.0304233796612,1221.6425685965319
37,2020-02-28,1205,11.689410496887481,610.8212843669585,True,38,1221.1891120106875,1221.6425685965319
38,2020-02-29,1205,11.689410496887481,610.8212843669585,True,39,1221.3066745364777,1221.6425685965319
39,2020-03-01,1205,11.689410496887481,610.8212843669585,True,40,1221.3937641838465,1221.6425685965319
40,2020-03-02,1206,11.689410496887481,610.8212843669585,True,41,1221.4582768940725,1221.6425685965319
41,2020-03-03,1213,11.689410496887481,610.8212843669585,True,42,1221.506063926892,1221.6425685965319
42,2020-03-04,1213,11.689410496887481,610.8212843669585,True,43,1221.5414607666391,1221.6425685965319
43,2020-03-05,1215,11.689410496887481,610.8212843669585,True,44,1221.5676794721128,1221.6425685965319
44,2020-03-06,1215,11.689410496887481,610.8212843669585,True,45,1221.5870996104697,1221.6425685965319
45,2020-03-07,1215,11.689410496887481,610.8212843669585,True,46,1221.6014839255276,1221.6425685965319
46,2020-03-08,1215,11.689410496887481,610.8212843669585,True,47,1221.6121381768562,1221.6425685965319
47,2020-03-09,1215,11.689410496887481,610.8212843669585,True,48,1221.6200295827089,1221.6425685965319
48,2020-03-10,1215,11.689410496887481,610.8212843669585,True,49,1221.6258745772786,1221.6425685965319
49,2020-03-11,1215,11.689410496887481,610.8212843669585,True,50,1221.6302038264057,1221.6425685965319
50,2020-03-12,1215,11.689410496887481,610.8212843669585,True,51,1221.633410391836,1221.6425685965319
51,2020-03-13,1215,11.689410496887481,610.8212843669585,True,52,1221.6357854100218,1221.6425685965319
52,2020-03-14,1227,11.689410496887481,610.8212843669585,True,53,1221.637544521078,1221.6425685965319
53,2020-03-15,1231,11.689410496887481,610.8212843669585,True,54,1221.6388474454136,1221.6425685965319
54,2020-03-16,1231,11.689410496887481,610.8212843669585,True,55,1221.6398124843831,1221.6425685965319
55,2020-03-17,1232,11.689410496887481,610.8212843669585,True,56,1221.6405272609354,1221.6425685965319
56,2020-03-18,1232,11.689410496887481,610.8212843669585,True,57,1221.641056675139,1221.6425685965319
57,2020-03-19,1233,11.689410496887481,610.8212843669585,True,58,1221.6414487967384,1221.6425685965319
58,2020-03-20,1234,11.689410496887481,610.8212843669585,True,59,1221.641739229669,1221.6425685965319
59,2020-03-21,1236,11.689410496887481,610.8212843669585,True,60,1221.6419543447635,1221.6425685965319
60,2020-03-22,1238,11.689410496887481,610.8212843669585,True,61,1221.6421136741442,1221.6425685965319
61,2020-03-23,1238,11.689410496887481,610.8212843669585,True,62,1221.642231684689,1221.6425685965319
62,2020-03-24,1240,11.689410496887481,610.8212843669585,True,63,1221.642319091593,1221.6425685965319
63,2020-03-25,1241,11.689410496887481,610.8212843669585,True,64,1221.642383831287,1221.6425685965319
64,2020-03-26,1243,11.689410496887481,610.8212843669585,True,65,1221.6424317820506,1221.6425685965319
65,2020-03-27,1247,11.689410496887481,610.8212843669585,True,66,1221.6424672977532,1221.6425685965319
66,2020-03-28,1251,11.689410496887481,610.8212843669585,True,67,1221.6424936031754,1221.6425685965319
67,2020-03-29,1254,11.689410496887481,610.8212843669585,True,68,1221.6425130868176,1221.6425685965319
68,2020-03-30,1255,11.689410496887481,610.8212843669585,True,69,1221.6425275177703,1221.6425685965319
69,2020-03-31,1257,11.689410496887481,610.8212843669585,True,70,1221.642538206347,1221.6425685965319
70,2020-04-01,1257,11.689410496887481,610.8212843669585,True,71,1221.6425461230565,1221.6425685965319
71,2020-04-02,1258,11.689410496887481,610.8212843669585,True,72,1221.642551986727,1221.6425685965319
72,2020-04-03,1260,11.689410496887481,610.8212843669585,True,73,1221.642556329773,1221.6425685965319
73,2020-04-04,1262,11.689410496887481,610.8212843669585,True,74,1221.6425595465378,1221.6425685965319
74,2020-04-05,1263,11.689410496887481,610.8212843669585,True,75,1221.6425619290994,1221.6425685965319
75,2020-04-06,1264,11.689410496887481,610.8212843669585,True,76,1221.6425636937915,1221.6425685965319
76,2020-04-07,1265,11.689410496887481,610.8212843669585,True,77,1221.6425650008464,1221.6425685965319
77,2020-04-08,1266,11.689410496887481,610.8212843669585,True,78,1221.642565968943,1221.6425685965319
