,Report_Date,Australia_new south wales_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.95193414552062,1762.447184362196,True,1,0.041653860368166234,3384.224107139789
1,2020-01-23,0,68.95193414552062,1762.447184362196,True,2,0.04922305974529461,3384.224107139789
2,2020-01-24,0,68.95193414552062,1762.447184362196,True,3,0.05816768587158108,3384.224107139789
3,2020-01-25,0,68.95193414552062,1762.447184362196,True,4,0.06873766354564248,3384.224107139789
4,2020-01-26,3,68.95193414552062,1762.447184362196,True,5,0.08122832710766655,3384.224107139789
5,2020-01-27,4,68.95193414552062,1762.447184362196,True,6,0.0959886696127725,3384.224107139789
6,2020-01-28,4,68.95193414552062,1762.447184362196,True,7,0.11343109000230212,3384.224107139789
7,2020-01-29,4,68.95193414552062,1762.447184362196,True,8,0.13404291007771713,3384.224107139789
8,2020-01-30,4,68.95193414552062,1762.447184362196,True,9,0.15839998231129693,3384.224107139789
9,2020-01-31,4,68.95193414552062,1762.447184362196,True,10,0.18718276763886424,3384.224107139789
10,2020-02-01,4,68.95193414552062,1762.447184362196,True,11,0.22119533096073224,3384.224107139789
11,2020-02-02,4,68.95193414552062,1762.447184362196,True,12,0.2613877829949331,3384.224107139789
12,2020-02-03,4,68.95193414552062,1762.447184362196,True,13,0.3088827925736662,3384.224107139789
13,2020-02-04,4,68.95193414552062,1762.447184362196,True,14,0.3650069060206034,3384.224107139789
14,2020-02-05,4,68.95193414552062,1762.447184362196,True,15,0.4313275429037082,3384.224107139789
15,2020-02-06,4,68.95193414552062,1762.447184362196,True,16,0.5096966937448563,3384.224107139789
16,2020-02-07,4,68.95193414552062,1762.447184362196,True,17,0.6023025292891754,3384.224107139789
17,2020-02-08,4,68.95193414552062,1762.447184362196,True,18,0.7117303474706322,3384.224107139789
18,2020-02-09,4,68.95193414552062,1762.447184362196,True,19,0.841034538797191,3384.224107139789
19,2020-02-10,4,68.95193414552062,1762.447184362196,True,20,0.9938235499224052,3384.224107139789
20,2020-02-11,4,68.95193414552062,1762.447184362196,True,21,1.1743601760362785,3384.224107139789
21,2020-02-12,4,68.95193414552062,1762.447184362196,True,22,1.387679923820305,3384.224107139789
22,2020-02-13,4,68.95193414552062,1762.447184362196,True,23,1.6397306676338703,3384.224107139789
23,2020-02-14,4,68.95193414552062,1762.447184362196,True,24,1.9375373830908926,3384.224107139789
24,2020-02-15,4,68.95193414552062,1762.447184362196,True,25,2.2893963962068327,3384.224107139789
25,2020-02-16,4,68.95193414552062,1762.447184362196,True,26,2.70510434593343,3384.224107139789
26,2020-02-17,4,68.95193414552062,1762.447184362196,True,27,3.196227937164114,3384.224107139789
27,2020-02-18,4,68.95193414552062,1762.447184362196,True,28,3.7764215747346173,3384.224107139789
28,2020-02-19,4,68.95193414552062,1762.447184362196,True,29,4.461801130971452,3384.224107139789
29,2020-02-20,4,68.95193414552062,1762.447184362196,True,30,5.271383423146381,3384.224107139789
30,2020-02-21,4,68.95193414552062,1762.447184362196,True,31,6.227602473080132,3384.224107139789
31,2020-02-22,4,68.95193414552062,1762.447184362196,True,32,7.356915294017881,3384.224107139789
32,2020-02-23,4,68.95193414552062,1762.447184362196,True,33,8.69051179564006,3384.224107139789
33,2020-02-24,4,68.95193414552062,1762.447184362196,True,34,10.2651453982367,3384.224107139789
34,2020-02-25,4,68.95193414552062,1762.447184362196,True,35,12.124103061472427,3384.224107139789
35,2020-02-26,4,68.95193414552062,1762.447184362196,True,36,14.318335589476952,3384.224107139789
