,Report_Date,Uruguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.0209326335773,253.12963727934792,True,1,0.0060113413957282895,492.8440947188982
1,2020-01-23,0,67.0209326335773,253.12963727934792,True,2,0.007137957932113558,492.8440947188982
2,2020-01-24,0,67.0209326335773,253.12963727934792,True,3,0.008475715956963833,492.8440947188982
3,2020-01-25,0,67.0209326335773,253.12963727934792,True,4,0.01006418447538578,492.8440947188982
4,2020-01-26,0,67.0209326335773,253.12963727934792,True,5,0.011950347334256478,492.8440947188982
5,2020-01-27,0,67.0209326335773,253.12963727934792,True,6,0.014189992446983074,492.8440947188982
6,2020-01-28,0,67.0209326335773,253.12963727934792,True,7,0.016849361199824466,492.8440947188982
7,2020-01-29,0,67.0209326335773,253.12963727934792,True,8,0.02000710672705784,492.8440947188982
8,2020-01-30,0,67.0209326335773,253.12963727934792,True,9,0.023756618836246194,492.8440947188982
9,2020-01-31,0,67.0209326335773,253.12963727934792,True,10,0.028208784150551534,492.8440947188982
10,2020-02-01,0,67.0209326335773,253.12963727934792,True,11,0.03349526282431625,492.8440947188982
11,2020-02-02,0,67.0209326335773,253.12963727934792,True,12,0.0397723783492033,492.8440947188982
12,2020-02-03,0,67.0209326335773,253.12963727934792,True,13,0.047225734935264,492.8440947188982
13,2020-02-04,0,67.0209326335773,253.12963727934792,True,14,0.05607569823577781,492.8440947188982
14,2020-02-05,0,67.0209326335773,253.12963727934792,True,15,0.06658390038787804,492.8440947188982
15,2020-02-06,0,67.0209326335773,253.12963727934792,True,16,0.07906096016847565,492.8440947188982
16,2020-02-07,0,67.0209326335773,253.12963727934792,True,17,0.09387564434293967,492.8440947188982
17,2020-02-08,0,67.0209326335773,253.12963727934792,True,18,0.11146573797677167,492.8440947188982
18,2020-02-09,0,67.0209326335773,253.12963727934792,True,19,0.13235094070995349,492.8440947188982
19,2020-02-10,0,67.0209326335773,253.12963727934792,True,20,0.15714816405904608,492.8440947188982
20,2020-02-11,0,67.0209326335773,253.12963727934792,True,21,0.18658967321019837,492.8440947188982
21,2020-02-12,0,67.0209326335773,253.12963727934792,True,22,0.22154459720945277,492.8440947188982
22,2020-02-13,0,67.0209326335773,253.12963727934792,True,23,0.2630444258875718,492.8440947188982
23,2020-02-14,0,67.0209326335773,253.12963727934792,True,24,0.31231322245393234,492.8440947188982
24,2020-02-15,0,67.0209326335773,253.12963727934792,True,25,0.370803409866118,492.8440947188982
25,2020-02-16,0,67.0209326335773,253.12963727934792,True,26,0.44023813943770046,492.8440947188982
26,2020-02-17,0,67.0209326335773,253.12963727934792,True,27,0.5226614244337391,492.8440947188982
27,2020-02-18,0,67.0209326335773,253.12963727934792,True,28,0.6204974223945041,492.8440947188982
28,2020-02-19,0,67.0209326335773,253.12963727934792,True,29,0.7366204802327505,492.8440947188982
29,2020-02-20,0,67.0209326335773,253.12963727934792,True,30,0.8744378179183631,492.8440947188982
30,2020-02-21,0,67.0209326335773,253.12963727934792,True,31,1.0379870210323179,492.8440947188982
31,2020-02-22,0,67.0209326335773,253.12963727934792,True,32,1.23205083928662,492.8440947188982
32,2020-02-23,0,67.0209326335773,253.12963727934792,True,33,1.4622921443415215,492.8440947188982
33,2020-02-24,0,67.0209326335773,253.12963727934792,True,34,1.735412278993973,492.8440947188982
34,2020-02-25,0,67.0209326335773,253.12963727934792,True,35,2.059336418171657,492.8440947188982
35,2020-02-26,0,67.0209326335773,253.12963727934792,True,36,2.4434299385046088,492.8440947188982
36,2020-02-27,0,67.0209326335773,253.12963727934792,True,37,2.8987501233739383,492.8440947188982
37,2020-02-28,0,67.0209326335773,253.12963727934792,True,38,3.4383377624080254,492.8440947188982
38,2020-02-29,0,67.0209326335773,253.12963727934792,True,39,4.077553262154669,492.8440947188982
39,2020-03-01,0,67.0209326335773,253.12963727934792,True,40,4.834461658737007,492.8440947188982
40,2020-03-02,0,67.0209326335773,253.12963727934792,True,41,5.730270260356596,492.8440947188982
41,2020-03-03,0,67.0209326335773,253.12963727934792,True,42,6.78982133721147,492.8440947188982
42,2020-03-04,0,67.0209326335773,253.12963727934792,True,43,8.042140036864165,492.8440947188982
43,2020-03-05,0,67.0209326335773,253.12963727934792,True,44,9.52103416626669,492.8440947188982
44,2020-03-06,0,67.0209326335773,253.12963727934792,True,45,11.265737181857281,492.8440947188982
45,2020-03-07,0,67.0209326335773,253.12963727934792,True,46,13.321578100725716,492.8440947188982
46,2020-03-08,0,67.0209326335773,253.12963727934792,True,47,15.740651439732536,492.8440947188982
47,2020-03-09,0,67.0209326335773,253.12963727934792,True,48,18.582446024256434,492.8440947188982
48,2020-03-10,0,67.0209326335773,253.12963727934792,True,49,21.914372978277044,492.8440947188982
49,2020-03-11,0,67.0209326335773,253.12963727934792,True,50,25.812110077918156,492.8440947188982
50,2020-03-12,0,67.0209326335773,253.12963727934792,True,51,30.359652174074565,492.8440947188982
51,2020-03-13,0,67.0209326335773,253.12963727934792,True,52,35.64892687614385,492.8440947188982
52,2020-03-14,4,67.0209326335773,253.12963727934792,True,53,41.77880413587535,492.8440947188982
53,2020-03-15,4,67.0209326335773,253.12963727934792,True,54,48.85330320706842,492.8440947188982
54,2020-03-16,8,67.0209326335773,253.12963727934792,True,55,56.97878924299602,492.8440947188982
55,2020-03-17,29,67.0209326335773,253.12963727934792,True,56,66.2599665459033,492.8440947188982
56,2020-03-18,50,67.0209326335773,253.12963727934792,True,57,76.79453108484329,492.8440947188982
