,Report_Date,Canada_quebec_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.01547219437523,17692.994309351427,False,1,0.4051717756910643,35385.98861870287
1,2020-01-23,0,85.01547219437523,17692.994309351427,False,2,0.4639287507144104,35385.98861870287
2,2020-01-24,0,85.01547219437523,17692.994309351427,False,3,0.5312063841203402,35385.98861870287
3,2020-01-25,0,85.01547219437523,17692.994309351427,False,4,0.6082402616644084,35385.98861870287
4,2020-01-26,0,85.01547219437523,17692.994309351427,False,5,0.6964451297528311,35385.98861870287
5,2020-01-27,0,85.01547219437523,17692.994309351427,False,6,0.7974408699906811,35385.98861870287
6,2020-01-28,0,85.01547219437523,17692.994309351427,False,7,0.9130822382988495,35385.98861870287
7,2020-01-29,0,85.01547219437523,17692.994309351427,False,8,1.045492913837398,35385.98861870287
8,2020-01-30,0,85.01547219437523,17692.994309351427,False,9,1.1971044818259577,35385.98861870287
9,2020-01-31,0,85.01547219437523,17692.994309351427,False,10,1.370701064572623,35385.98861870287
10,2020-02-01,0,85.01547219437523,17692.994309351427,False,11,1.5694704182388857,35385.98861870287
11,2020-02-02,0,85.01547219437523,17692.994309351427,False,12,1.797062430936702,35385.98861870287
12,2020-02-03,0,85.01547219437523,17692.994309351427,False,13,2.0576560927925462,35385.98861870287
13,2020-02-04,0,85.01547219437523,17692.994309351427,False,14,2.356036163036183,35385.98861870287
14,2020-02-05,0,85.01547219437523,17692.994309351427,False,15,2.697680935727991,35385.98861870287
15,2020-02-06,0,85.01547219437523,17692.994309351427,False,16,3.088862707556684,35385.98861870287
16,2020-02-07,0,85.01547219437523,17692.994309351427,False,17,3.536762781776376,35385.98861870287
17,2020-02-08,0,85.01547219437523,17692.994309351427,False,18,4.049603105848236,35385.98861870287
18,2020-02-09,0,85.01547219437523,17692.994309351427,False,19,4.636796941290251,35385.98861870287
19,2020-02-10,0,85.01547219437523,17692.994309351427,False,20,5.309121307809598,35385.98861870287
20,2020-02-11,0,85.01547219437523,17692.994309351427,False,21,6.078914335865529,35385.98861870287
21,2020-02-12,0,85.01547219437523,17692.994309351427,False,22,6.960301109009933,35385.98861870287
22,2020-02-13,0,85.01547219437523,17692.994309351427,False,23,7.9694520871355,35385.98861870287
23,2020-02-14,0,85.01547219437523,17692.994309351427,False,24,9.124878782500305,35385.98861870287
24,2020-02-15,0,85.01547219437523,17692.994309351427,False,25,10.447772021462251,35385.98861870287
25,2020-02-16,0,85.01547219437523,17692.994309351427,False,26,11.962388876691488,35385.98861870287
26,2020-02-17,0,85.01547219437523,17692.994309351427,False,27,13.69649520882104,35385.98861870287
27,2020-02-18,0,85.01547219437523,17692.994309351427,False,28,15.681871725827365,35385.98861870287
28,2020-02-19,0,85.01547219437523,17692.994309351427,False,29,17.954892566905297,35385.98861870287
29,2020-02-20,0,85.01547219437523,17692.994309351427,False,30,20.557186660419905,35385.98861870287
30,2020-02-21,0,85.01547219437523,17692.994309351427,False,31,23.53639350900991,35385.98861870287
31,2020-02-22,0,85.01547219437523,17692.994309351427,False,32,26.94702663637248,35385.98861870287
32,2020-02-23,0,85.01547219437523,17692.994309351427,False,33,30.85145970763796,35385.98861870287
33,2020-02-24,0,85.01547219437523,17692.994309351427,False,34,35.321052326725756,35385.98861870287
34,2020-02-25,0,85.01547219437523,17692.994309351427,False,35,40.437434737368704,35385.98861870287
35,2020-02-26,0,85.01547219437523,17692.994309351427,False,36,46.29397312585645,35385.98861870287
36,2020-02-27,0,85.01547219437523,17692.994309351427,False,37,52.997439956363905,35385.98861870287
37,2020-02-28,1,85.01547219437523,17692.994309351427,False,38,60.66991677256462,35385.98861870287
38,2020-02-29,1,85.01547219437523,17692.994309351427,False,39,69.45096017316962,35385.98861870287
39,2020-03-01,1,85.01547219437523,17692.994309351427,False,40,79.50006520406542,35385.98861870287
40,2020-03-02,1,85.01547219437523,17692.994309351427,False,41,90.99946417994923,35385.98861870287
41,2020-03-03,1,85.01547219437523,17692.994309351427,False,42,104.15730290559794,35385.98861870287
42,2020-03-04,1,85.01547219437523,17692.994309351427,False,43,119.21124033237756,35385.98861870287
43,2020-03-05,2,85.01547219437523,17692.994309351427,False,44,136.43252173910386,35385.98861870287
44,2020-03-06,2,85.01547219437523,17692.994309351427,False,45,156.1305793923389,35385.98861870287
45,2020-03-07,3,85.01547219437523,17692.994309351427,False,46,178.65821807103856,35385.98861870287
46,2020-03-08,4,85.01547219437523,17692.994309351427,False,47,204.41744549015664,35385.98861870287
47,2020-03-09,4,85.01547219437523,17692.994309351427,False,48,233.86600906022105,35385.98861870287
48,2020-03-10,4,85.01547219437523,17692.994309351427,False,49,267.5246999508104,35385.98861870287
49,2020-03-11,8,85.01547219437523,17692.994309351427,False,50,305.9854822629732,35385.98861870287
50,2020-03-12,9,85.01547219437523,17692.994309351427,False,51,349.9204981905948,35385.98861870287
51,2020-03-13,17,85.01547219437523,17692.994309351427,False,52,400.09198799407545,35385.98861870287
52,2020-03-14,17,85.01547219437523,17692.994309351427,False,53,457.36314469100444,35385.98861870287
53,2020-03-15,24,85.01547219437523,17692.994309351427,False,54,522.7098954347504,35385.98861870287
54,2020-03-16,50,85.01547219437523,17692.994309351427,False,55,597.2335619710345,35385.98861870287
55,2020-03-17,74,85.01547219437523,17692.994309351427,False,56,682.1742981838024,35385.98861870287
56,2020-03-18,94,85.01547219437523,17692.994309351427,False,57,778.9251298893896,35385.98861870287
57,2020-03-19,121,85.01547219437523,17692.994309351427,False,58,889.0463265662943,35385.98861870287
