,Report_Date,Saudi Arabia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.7337639806055,2203.9174955834224,True,1,0.051526636049642215,3978.939110317726
1,2020-01-23,0,73.7337639806055,2203.9174955834224,True,2,0.060234106304894425,3978.939110317726
2,2020-01-24,0,73.7337639806055,2203.9174955834224,True,3,0.07041302575334774,3978.939110317726
3,2020-01-25,0,73.7337639806055,2203.9174955834224,True,4,0.08231204154993153,3978.939110317726
4,2020-01-26,0,73.7337639806055,2203.9174955834224,True,5,0.09622181437005611,3978.939110317726
5,2020-01-27,0,73.7337639806055,2203.9174955834224,True,6,0.11248211621088192,3978.939110317726
6,2020-01-28,0,73.7337639806055,2203.9174955834224,True,7,0.13149012687713463,3978.939110317726
7,2020-01-29,0,73.7337639806055,2203.9174955834224,True,8,0.15371013143111834,3978.939110317726
8,2020-01-30,0,73.7337639806055,2203.9174955834224,True,9,0.1796848549645263,3978.939110317726
9,2020-01-31,0,73.7337639806055,2203.9174955834224,True,10,0.21004871084777235,3978.939110317726
10,2020-02-01,0,73.7337639806055,2203.9174955834224,True,11,0.24554328508335116,3978.939110317726
11,2020-02-02,0,73.7337639806055,2203.9174955834224,True,12,0.28703543364142764,3978.939110317726
12,2020-02-03,0,73.7337639806055,2203.9174955834224,True,13,0.33553843297691177,3978.939110317726
13,2020-02-04,0,73.7337639806055,2203.9174955834224,True,14,0.3922366978141856,3978.939110317726
14,2020-02-05,0,73.7337639806055,2203.9174955834224,True,15,0.45851466647459554,3978.939110317726
15,2020-02-06,0,73.7337639806055,2203.9174955834224,True,16,0.5359905545243349,3978.939110317726
16,2020-02-07,0,73.7337639806055,2203.9174955834224,True,17,0.6265557946632097,3978.939110317726
17,2020-02-08,0,73.7337639806055,2203.9174955834224,True,18,0.7324211172444244,3978.939110317726
18,2020-02-09,0,73.7337639806055,2203.9174955834224,True,19,0.8561703847063895,3978.939110317726
19,2020-02-10,0,73.7337639806055,2203.9174955834224,True,20,1.0008234780644676,3978.939110317726
20,2020-02-11,0,73.7337639806055,2203.9174955834224,True,21,1.1699097485236665,3978.939110317726
21,2020-02-12,0,73.7337639806055,2203.9174955834224,True,22,1.3675537968741158,3978.939110317726
22,2020-02-13,0,73.7337639806055,2203.9174955834224,True,23,1.5985756328870204,3978.939110317726
23,2020-02-14,0,73.7337639806055,2203.9174955834224,True,24,1.8686076023809386,3978.939110317726
24,2020-02-15,0,73.7337639806055,2203.9174955834224,True,25,2.1842308576277967,3978.939110317726
25,2020-02-16,0,73.7337639806055,2203.9174955834224,True,26,2.5531345946897344,3978.939110317726
26,2020-02-17,0,73.7337639806055,2203.9174955834224,True,27,2.984301797198527,3978.939110317726
27,2020-02-18,0,73.7337639806055,2203.9174955834224,True,28,3.4882258187112254,3978.939110317726
28,2020-02-19,0,73.7337639806055,2203.9174955834224,True,29,4.077162814268861,3978.939110317726
29,2020-02-20,0,73.7337639806055,2203.9174955834224,True,30,4.765425805509396,3978.939110317726
30,2020-02-21,0,73.7337639806055,2203.9174955834224,True,31,5.5697270417437625,3978.939110317726
31,2020-02-22,0,73.7337639806055,2203.9174955834224,True,32,6.509576309949402,3978.939110317726
32,2020-02-23,0,73.7337639806055,2203.9174955834224,True,33,7.607743955850488,3978.939110317726
33,2020-02-24,0,73.7337639806055,2203.9174955834224,True,34,8.890798608857608,3978.939110317726
34,2020-02-25,0,73.7337639806055,2203.9174955834224,True,35,10.389730952764983,3978.939110317726
35,2020-02-26,0,73.7337639806055,2203.9174955834224,True,36,12.14067634032046,3978.939110317726
36,2020-02-27,0,73.7337639806055,2203.9174955834224,True,37,14.185750588975903,3978.939110317726
37,2020-02-28,0,73.7337639806055,2203.9174955834224,True,38,16.57401487485512,3978.939110317726
38,2020-02-29,0,73.7337639806055,2203.9174955834224,True,39,19.36258719387881,3978.939110317726
39,2020-03-01,0,73.7337639806055,2203.9174955834224,True,40,22.61791927862701,3978.939110317726
40,2020-03-02,1,73.7337639806055,2203.9174955834224,True,41,26.41725899306188,3978.939110317726
41,2020-03-03,1,73.7337639806055,2203.9174955834224,True,42,30.850318854173473,3978.939110317726
42,2020-03-04,1,73.7337639806055,2203.9174955834224,True,43,36.021171140828585,3978.939110317726
43,2020-03-05,5,73.7337639806055,2203.9174955834224,True,44,42.05038862060316,3978.939110317726
44,2020-03-06,5,73.7337639806055,2203.9174955834224,True,45,49.07744668141392,3978.939110317726
45,2020-03-07,5,73.7337639806055,2203.9174955834224,True,46,57.26339683578524,3978.939110317726
46,2020-03-08,11,73.7337639806055,2203.9174955834224,True,47,66.79381218285334,3978.939110317726
47,2020-03-09,15,73.7337639806055,2203.9174955834224,True,48,77.881991209224,3978.939110317726
48,2020-03-10,20,73.7337639806055,2203.9174955834224,True,49,90.77238572655706,3978.939110317726
49,2020-03-11,21,73.7337639806055,2203.9174955834224,True,50,105.74418991362708,3978.939110317726
50,2020-03-12,45,73.7337639806055,2203.9174955834224,True,51,123.11498821204955,3978.939110317726
51,2020-03-13,86,73.7337639806055,2203.9174955834224,True,52,143.2443079167054,3978.939110317726
52,2020-03-14,103,73.7337639806055,2203.9174955834224,True,53,166.5368554843805,3978.939110317726
53,2020-03-15,103,73.7337639806055,2203.9174955834224,True,54,193.44513215088733,3978.939110317726
54,2020-03-16,118,73.7337639806055,2203.9174955834224,True,55,224.47102390601194,3978.939110317726
55,2020-03-17,171,73.7337639806055,2203.9174955834224,True,56,260.16584500100964,3978.939110317726
56,2020-03-18,171,73.7337639806055,2203.9174955834224,True,57,301.12818845815576,3978.939110317726
57,2020-03-19,274,73.7337639806055,2203.9174955834224,True,58,347.99881261573665,3978.939110317726
58,2020-03-20,344,73.7337639806055,2203.9174955834224,True,59,401.45168839308286,3978.939110317726
59,2020-03-21,392,73.7337639806055,2203.9174955834224,True,60,462.18027620922373,3978.939110317726
60,2020-03-22,511,73.7337639806055,2203.9174955834224,True,61,530.8781335860177,3978.939110317726
61,2020-03-23,562,73.7337639806055,2203.9174955834224,True,62,608.21312327813,3978.939110317726
62,2020-03-24,767,73.7337639806055,2203.9174955834224,True,63,694.7948508011062,3978.939110317726
63,2020-03-25,900,73.7337639806055,2203.9174955834224,True,64,791.1355569834843,3978.939110317726
64,2020-03-26,1012,73.7337639806055,2203.9174955834224,True,65,897.6055497216828,3978.939110317726
65,2020-03-27,1104,73.7337639806055,2203.9174955834224,True,66,1014.3853566395826,3978.939110317726
66,2020-03-28,1203,73.7337639806055,2203.9174955834224,True,67,1141.4180219743864,3978.939110317726
67,2020-03-29,1299,73.7337639806055,2203.9174955834224,True,68,1278.3661720654527,3978.939110317726
68,2020-03-30,1453,73.7337639806055,2203.9174955834224,True,69,1424.5793627802711,3978.939110317726
69,2020-03-31,1563,73.7337639806055,2203.9174955834224,True,70,1579.0774777967847,3978.939110317726
70,2020-04-01,1720,73.7337639806055,2203.9174955834224,True,71,1740.555275429332,3978.939110317726
71,2020-04-02,1885,73.7337639806055,2203.9174955834224,True,72,1907.411425668332,3978.939110317726
72,2020-04-03,2039,73.7337639806055,2203.9174955834224,True,73,2077.8026212643076,3978.939110317726
73,2020-04-04,2179,73.7337639806055,2203.9174955834224,True,74,2249.7199657578276,3978.939110317726
74,2020-04-05,2402,73.7337639806055,2203.9174955834224,True,75,2421.0814715154097,3978.939110317726
75,2020-04-06,2605,73.7337639806055,2203.9174955834224,True,76,2589.8318833388453,3978.939110317726
76,2020-04-07,2795,73.7337639806055,2203.9174955834224,True,77,2754.0398078307408,3978.939110317726
77,2020-04-08,2932,73.7337639806055,2203.9174955834224,True,78,2911.982586200048,3978.939110317726
