,Report_Date,"Tanzania, United Republic of_cases",fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.10772629951165,13.701760587988048,True,1,0.00032616347522823277,26.811258658547107
1,2020-01-23,0,66.10772629951165,13.701760587988048,True,2,0.00038821156308974563,26.811258658547107
2,2020-01-24,0,66.10772629951165,13.701760587988048,True,3,0.0004620632420424679,26.811258658547107
3,2020-01-25,0,66.10772629951165,13.701760587988048,True,4,0.0005499638611682255,26.811258658547107
4,2020-01-26,0,66.10772629951165,13.701760587988048,True,5,0.0006545858586114824,26.811258658547107
5,2020-01-27,0,66.10772629951165,13.701760587988048,True,6,0.0007791099840243165,26.811258658547107
6,2020-01-28,0,66.10772629951165,13.701760587988048,True,7,0.0009273219616402058,26.811258658547107
7,2020-01-29,0,66.10772629951165,13.701760587988048,True,8,0.0011037275267866613,26.811258658547107
8,2020-01-30,0,66.10772629951165,13.701760587988048,True,9,0.0013136893246661586,26.811258658547107
9,2020-01-31,0,66.10772629951165,13.701760587988048,True,10,0.0015635898212332617,26.811258658547107
10,2020-02-01,0,66.10772629951165,13.701760587988048,True,11,0.001861025161612395,26.811258658547107
11,2020-02-02,0,66.10772629951165,13.701760587988048,True,12,0.002215035844972498,26.811258658547107
12,2020-02-03,0,66.10772629951165,13.701760587988048,True,13,0.0026363811935640217,26.811258658547107
13,2020-02-04,0,66.10772629951165,13.701760587988048,True,14,0.0031378659101401227,26.811258658547107
14,2020-02-05,0,66.10772629951165,13.701760587988048,True,15,0.0037347285804113246,26.811258658547107
15,2020-02-06,0,66.10772629951165,13.701760587988048,True,16,0.004445103830414798,26.811258658547107
16,2020-02-07,0,66.10772629951165,13.701760587988048,True,17,0.0052905720453661365,26.811258658547107
17,2020-02-08,0,66.10772629951165,13.701760587988048,True,18,0.006296813158260474,26.811258658547107
18,2020-02-09,0,66.10772629951165,13.701760587988048,True,19,0.007494384094902201,26.811258658547107
19,2020-02-10,0,66.10772629951165,13.701760587988048,True,20,0.008919643100294798,26.811258658547107
20,2020-02-11,0,66.10772629951165,13.701760587988048,True,21,0.010615848465226098,26.811258658547107
21,2020-02-12,0,66.10772629951165,13.701760587988048,True,22,0.012634464231062877,26.811258658547107
22,2020-02-13,0,66.10772629951165,13.701760587988048,True,23,0.01503671139946813,26.811258658547107
23,2020-02-14,0,66.10772629951165,13.701760587988048,True,24,0.017895410151076818,26.811258658547107
24,2020-02-15,0,66.10772629951165,13.701760587988048,True,25,0.021297166736307962,26.811258658547107
25,2020-02-16,0,66.10772629951165,13.701760587988048,True,26,0.02534496820739816,26.811258658547107
26,2020-02-17,0,66.10772629951165,13.701760587988048,True,27,0.03016125918530618,26.811258658547107
27,2020-02-18,0,66.10772629951165,13.701760587988048,True,28,0.03589158756868987,26.811258658547107
28,2020-02-19,0,66.10772629951165,13.701760587988048,True,29,0.042708920649483104,26.811258658547107
29,2020-02-20,0,66.10772629951165,13.701760587988048,True,30,0.05081874961799954,26.811258658547107
30,2020-02-21,0,66.10772629951165,13.701760587988048,True,31,0.060465118966410346,26.811258658547107
31,2020-02-22,0,66.10772629951165,13.701760587988048,True,32,0.07193773775894613,26.811258658547107
32,2020-02-23,0,66.10772629951165,13.701760587988048,True,33,0.08558035186382369,26.811258658547107
33,2020-02-24,0,66.10772629951165,13.701760587988048,True,34,0.10180057947347444,26.811258658547107
34,2020-02-25,0,66.10772629951165,13.701760587988048,True,35,0.12108143557254325,26.811258658547107
35,2020-02-26,0,66.10772629951165,13.701760587988048,True,36,0.14399479280017866,26.811258658547107
36,2020-02-27,0,66.10772629951165,13.701760587988048,True,37,0.17121704382755532,26.811258658547107
37,2020-02-28,0,66.10772629951165,13.701760587988048,True,38,0.20354724007676817,26.811258658547107
38,2020-02-29,0,66.10772629951165,13.701760587988048,True,39,0.24192797771131277,26.811258658547107
39,2020-03-01,0,66.10772629951165,13.701760587988048,True,40,0.2874692763048388,26.811258658547107
40,2020-03-02,0,66.10772629951165,13.701760587988048,True,41,0.34147563726151386,26.811258658547107
41,2020-03-03,0,66.10772629951165,13.701760587988048,True,42,0.4054763626937938,26.811258658547107
42,2020-03-04,0,66.10772629951165,13.701760587988048,True,43,0.48125904084794385,26.811258658547107
43,2020-03-05,0,66.10772629951165,13.701760587988048,True,44,0.570905835244282,26.811258658547107
44,2020-03-06,0,66.10772629951165,13.701760587988048,True,45,0.6768318190889372,26.811258658547107
45,2020-03-07,0,66.10772629951165,13.701760587988048,True,46,0.8018240359487024,26.811258658547107
46,2020-03-08,0,66.10772629951165,13.701760587988048,True,47,0.9490792001758833,26.811258658547107
47,2020-03-09,0,66.10772629951165,13.701760587988048,True,48,1.122236935612996,26.811258658547107
48,2020-03-10,0,66.10772629951165,13.701760587988048,True,49,1.3254041596235875,26.811258658547107
49,2020-03-11,0,66.10772629951165,13.701760587988048,True,50,1.563164650781672,26.811258658547107
50,2020-03-12,0,66.10772629951165,13.701760587988048,True,51,1.8405660463938889,26.811258658547107
51,2020-03-13,0,66.10772629951165,13.701760587988048,True,52,2.163074645293593,26.811258658547107
52,2020-03-14,0,66.10772629951165,13.701760587988048,True,53,2.536486723521428,26.811258658547107
53,2020-03-15,0,66.10772629951165,13.701760587988048,True,54,2.966784070755586,26.811258658547107
54,2020-03-16,1,66.10772629951165,13.701760587988048,True,55,3.459921803729439,26.811258658547107
55,2020-03-17,1,66.10772629951165,13.701760587988048,True,56,4.021539088655237,26.811258658547107
