,Report_Date,Benin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,86.83246264907781,57.12125965244509,False,1,0.0013044061200025903,7.800148520254466
1,2020-01-23,0,86.83246264907781,57.12125965244509,False,2,0.0014893411338657238,7.800148520254466
2,2020-01-24,0,86.83246264907781,57.12125965244509,False,3,0.0017004953211460804,7.800148520254466
3,2020-01-25,0,86.83246264907781,57.12125965244509,False,4,0.0019415857883212074,7.800148520254466
4,2020-01-26,0,86.83246264907781,57.12125965244509,False,5,0.002216856582089977,7.800148520254466
5,2020-01-27,0,86.83246264907781,57.12125965244509,False,6,0.0025311533779457736,7.800148520254466
6,2020-01-28,0,86.83246264907781,57.12125965244509,False,7,0.0028900087517992937,7.800148520254466
7,2020-01-29,0,86.83246264907781,57.12125965244509,False,8,0.003299739533215932,7.800148520254466
8,2020-01-30,0,86.83246264907781,57.12125965244509,False,9,0.0037675579507241816,7.800148520254466
9,2020-01-31,0,86.83246264907781,57.12125965244509,False,10,0.004301698521410651,7.800148520254466
10,2020-02-01,0,86.83246264907781,57.12125965244509,False,11,0.004911562912825813,7.800148520254466
11,2020-02-02,0,86.83246264907781,57.12125965244509,False,12,0.005607885319841249,7.800148520254466
12,2020-02-03,0,86.83246264907781,57.12125965244509,False,13,0.006402921257936288,7.800148520254466
13,2020-02-04,0,86.83246264907781,57.12125965244509,False,14,0.007310663083602117,7.800148520254466
14,2020-02-05,0,86.83246264907781,57.12125965244509,False,15,0.008347086019124067,7.800148520254466
15,2020-02-06,0,86.83246264907781,57.12125965244509,False,16,0.009530428990872284,7.800148520254466
16,2020-02-07,0,86.83246264907781,57.12125965244509,False,17,0.010881515196395734,7.800148520254466
17,2020-02-08,0,86.83246264907781,57.12125965244509,False,18,0.012424118006271596,7.800148520254466
18,2020-02-09,0,86.83246264907781,57.12125965244509,False,19,0.014185378593350513,7.800148520254466
19,2020-02-10,0,86.83246264907781,57.12125965244509,False,20,0.016196282577801875,7.800148520254466
20,2020-02-11,0,86.83246264907781,57.12125965244509,False,21,0.018492203995920335,7.800148520254466
21,2020-02-12,0,86.83246264907781,57.12125965244509,False,22,0.021113526060586488,7.800148520254466
22,2020-02-13,0,86.83246264907781,57.12125965244509,False,23,0.024106349500218137,7.800148520254466
23,2020-02-14,0,86.83246264907781,57.12125965244509,False,24,0.02752330076190226,7.800148520254466
24,2020-02-15,0,86.83246264907781,57.12125965244509,False,25,0.031424454066526296,7.800148520254466
25,2020-02-16,0,86.83246264907781,57.12125965244509,False,26,0.035878383235160835,7.800148520254466
26,2020-02-17,0,86.83246264907781,57.12125965244509,False,27,0.040963361395565105,7.800148520254466
27,2020-02-18,0,86.83246264907781,57.12125965244509,False,28,0.0467687291573752,7.800148520254466
28,2020-02-19,0,86.83246264907781,57.12125965244509,False,29,0.053396454649276705,7.800148520254466
29,2020-02-20,0,86.83246264907781,57.12125965244509,False,30,0.06096291197936058,7.800148520254466
30,2020-02-21,0,86.83246264907781,57.12125965244509,False,31,0.06960090825202397,7.800148520254466
31,2020-02-22,0,86.83246264907781,57.12125965244509,False,32,0.07946199329504582,7.800148520254466
32,2020-02-23,0,86.83246264907781,57.12125965244509,False,33,0.09071909076487338,7.800148520254466
33,2020-02-24,0,86.83246264907781,57.12125965244509,False,34,0.10356949435404926,7.800148520254466
34,2020-02-25,0,86.83246264907781,57.12125965244509,False,35,0.11823827846942511,7.800148520254466
35,2020-02-26,0,86.83246264907781,57.12125965244509,False,36,0.13498217902867768,7.800148520254466
36,2020-02-27,0,86.83246264907781,57.12125965244509,False,37,0.15409400697619724,7.800148520254466
37,2020-02-28,0,86.83246264907781,57.12125965244509,False,38,0.17590766477946243,7.800148520254466
38,2020-02-29,0,86.83246264907781,57.12125965244509,False,39,0.2008038445512214,7.800148520254466
39,2020-03-01,0,86.83246264907781,57.12125965244509,False,40,0.22921649554747275,7.800148520254466
40,2020-03-02,0,86.83246264907781,57.12125965244509,False,41,0.2616401585815007,7.800148520254466
41,2020-03-03,0,86.83246264907781,57.12125965244509,False,42,0.29863827529116255,7.800148520254466
42,2020-03-04,0,86.83246264907781,57.12125965244509,False,43,0.34085259106033483,7.800148520254466
43,2020-03-05,0,86.83246264907781,57.12125965244509,False,44,0.389013781502988,7.800148520254466
44,2020-03-06,0,86.83246264907781,57.12125965244509,False,45,0.4439534434354317,7.800148520254466
45,2020-03-07,0,86.83246264907781,57.12125965244509,False,46,0.5066176017069318,7.800148520254466
46,2020-03-08,0,86.83246264907781,57.12125965244509,False,47,0.5780818924556255,7.800148520254466
47,2020-03-09,0,86.83246264907781,57.12125965244509,False,48,0.6595685903791391,7.800148520254466
48,2020-03-10,0,86.83246264907781,57.12125965244509,False,49,0.7524656512093412,7.800148520254466
49,2020-03-11,0,86.83246264907781,57.12125965244509,False,50,0.8583479391018336,7.800148520254466
50,2020-03-12,0,86.83246264907781,57.12125965244509,False,51,0.9790007999248823,7.800148520254466
51,2020-03-13,0,86.83246264907781,57.12125965244509,False,52,1.116446122658479,7.800148520254466
52,2020-03-14,0,86.83246264907781,57.12125965244509,False,53,1.27297099872015,7.800148520254466
53,2020-03-15,0,86.83246264907781,57.12125965244509,False,54,1.4511590385269386,7.800148520254466
54,2020-03-16,1,86.83246264907781,57.12125965244509,False,55,1.6539243304136713,7.800148520254466
55,2020-03-17,1,86.83246264907781,57.12125965244509,False,56,1.884547922368617,7.800148520254466
56,2020-03-18,2,86.83246264907781,57.12125965244509,False,57,2.1467165638079506,7.800148520254466
