,Report_Date,Israel_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.81892304895284,8668.697754788654,True,1,0.20180196884955873,14981.037324046209
1,2020-01-23,0,75.81892304895284,8668.697754788654,True,2,0.23489359113198383,14981.037324046209
2,2020-01-24,0,75.81892304895284,8668.697754788654,True,3,0.27341151426890464,14981.037324046209
3,2020-01-25,0,75.81892304895284,8668.697754788654,True,4,0.3182455023172617,14981.037324046209
4,2020-01-26,0,75.81892304895284,8668.697754788654,True,5,0.37043120538560254,14981.037324046209
5,2020-01-27,0,75.81892304895284,8668.697754788654,True,6,0.4311740753427179,14981.037324046209
6,2020-01-28,0,75.81892304895284,8668.697754788654,True,7,0.501877200771279,14981.037324046209
7,2020-01-29,0,75.81892304895284,8668.697754788654,True,8,0.5841737029607907,14981.037324046209
8,2020-01-30,0,75.81892304895284,8668.697754788654,True,9,0.6799644396600301,14981.037324046209
9,2020-01-31,0,75.81892304895284,8668.697754788654,True,10,0.7914618853284334,14981.037324046209
10,2020-02-01,0,75.81892304895284,8668.697754788654,True,11,0.9212411985017726,14981.037324046209
11,2020-02-02,0,75.81892304895284,8668.697754788654,True,12,1.0722996518219432,14981.037324046209
12,2020-02-03,0,75.81892304895284,8668.697754788654,True,13,1.2481257919818087,14981.037324046209
13,2020-02-04,0,75.81892304895284,8668.697754788654,True,14,1.452779919593857,14981.037324046209
14,2020-02-05,0,75.81892304895284,8668.697754788654,True,15,1.6909877377644296,14981.037324046209
15,2020-02-06,0,75.81892304895284,8668.697754788654,True,16,1.9682493186674925,14981.037324046209
16,2020-02-07,0,75.81892304895284,8668.697754788654,True,17,2.290965886261652,14981.037324046209
17,2020-02-08,0,75.81892304895284,8668.697754788654,True,18,2.6665873180746225,14981.037324046209
18,2020-02-09,0,75.81892304895284,8668.697754788654,True,19,3.1037837384111526,14981.037324046209
19,2020-02-10,0,75.81892304895284,8668.697754788654,True,20,3.612645119414731,14981.037324046209
20,2020-02-11,0,75.81892304895284,8668.697754788654,True,21,4.2049134365441345,14981.037324046209
21,2020-02-12,0,75.81892304895284,8668.697754788654,True,22,4.894252654207237,14981.037324046209
22,2020-02-13,0,75.81892304895284,8668.697754788654,True,23,5.69656266025764,14981.037324046209
23,2020-02-14,0,75.81892304895284,8668.697754788654,True,24,6.6303442414189195,14981.037324046209
24,2020-02-15,0,75.81892304895284,8668.697754788654,True,25,7.717123314077349,14981.037324046209
25,2020-02-16,0,75.81892304895284,8668.697754788654,True,26,8.98194391698025,14981.037324046209
26,2020-02-17,0,75.81892304895284,8668.697754788654,True,27,10.4539409569853,14981.037324046209
27,2020-02-18,0,75.81892304895284,8668.697754788654,True,28,12.167005400890769,14981.037324046209
28,2020-02-19,0,75.81892304895284,8668.697754788654,True,29,14.160556551991242,14981.037324046209
29,2020-02-20,0,75.81892304895284,8668.697754788654,True,30,16.48043826694518,14981.037324046209
30,2020-02-21,1,75.81892304895284,8668.697754788654,True,31,19.17995848464384,14981.037324046209
31,2020-02-22,1,75.81892304895284,8668.697754788654,True,32,22.321094280679223,14981.037324046209
32,2020-02-23,1,75.81892304895284,8668.697754788654,True,33,25.975887852028567,14981.037324046209
33,2020-02-24,1,75.81892304895284,8668.697754788654,True,34,30.22806239353205,14981.037324046209
34,2020-02-25,1,75.81892304895284,8668.697754788654,True,35,35.17489075649128,14981.037324046209
35,2020-02-26,2,75.81892304895284,8668.697754788654,True,36,40.929354068806894,14981.037324046209
36,2020-02-27,3,75.81892304895284,8668.697754788654,True,37,47.62263210796782,14981.037324046209
37,2020-02-28,4,75.81892304895284,8668.697754788654,True,38,55.40697207725822,14981.037324046209
38,2020-02-29,7,75.81892304895284,8668.697754788654,True,39,64.45898741172766,14981.037324046209
39,2020-03-01,10,75.81892304895284,8668.697754788654,True,40,74.98344312757814,14981.037324046209
40,2020-03-02,10,75.81892304895284,8668.697754788654,True,41,87.21758871549837,14981.037324046209
41,2020-03-03,12,75.81892304895284,8668.697754788654,True,42,101.43610321143028,14981.037324046209
42,2020-03-04,15,75.81892304895284,8668.697754788654,True,43,117.95671921272886,14981.037324046209
43,2020-03-05,20,75.81892304895284,8668.697754788654,True,44,137.14659234718764,14981.037324046209
44,2020-03-06,37,75.81892304895284,8668.697754788654,True,45,159.42947882293683,14981.037324046209
45,2020-03-07,43,75.81892304895284,8668.697754788654,True,46,185.29377454627047,14981.037324046209
46,2020-03-08,61,75.81892304895284,8668.697754788654,True,47,215.30145272548478,14981.037324046209
47,2020-03-09,61,75.81892304895284,8668.697754788654,True,48,250.09791007535668,14981.037324046209
48,2020-03-10,75,75.81892304895284,8668.697754788654,True,49,290.42269113617266,14981.037324046209
49,2020-03-11,79,75.81892304895284,8668.697754788654,True,50,337.1210014060291,14981.037324046209
50,2020-03-12,100,75.81892304895284,8668.697754788654,True,51,391.15583763691865,14981.037324046209
51,2020-03-13,126,75.81892304895284,8668.697754788654,True,52,453.62045160096085,14981.037324046209
52,2020-03-14,155,75.81892304895284,8668.697754788654,True,53,525.7507151274017,14981.037324046209
53,2020-03-15,213,75.81892304895284,8668.697754788654,True,54,608.9367624174753,14981.037324046209
54,2020-03-16,218,75.81892304895284,8668.697754788654,True,55,704.7330446763475,14981.037324046209
55,2020-03-17,250,75.81892304895284,8668.697754788654,True,56,814.8656386674004,14981.037324046209
56,2020-03-18,304,75.81892304895284,8668.697754788654,True,57,941.235306727925,14981.037324046209
57,2020-03-19,427,75.81892304895284,8668.697754788654,True,58,1085.9144216505051,14981.037324046209
