,Report_Date,Canada_northwest territories_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,87.74389835482165,6.664796063079956,False,1,0.0036657944018992734,0.016097079328609838
1,2020-01-23,0,87.74389835482165,6.664796063079956,False,2,0.004029050560940112,0.016097079328609838
2,2020-01-24,0,87.74389835482165,6.664796063079956,False,3,0.004428291058738449,0.016097079328609838
3,2020-01-25,0,87.74389835482165,6.664796063079956,False,4,0.004867078034147694,0.016097079328609838
4,2020-01-26,0,87.74389835482165,6.664796063079956,False,5,0.005349325729582643,0.016097079328609838
5,2020-01-27,0,87.74389835482165,6.664796063079956,False,6,0.005879335187466126,0.016097079328609838
6,2020-01-28,0,87.74389835482165,6.664796063079956,False,7,0.006461832343285023,0.016097079328609838
7,2020-01-29,0,87.74389835482165,6.664796063079956,False,8,0.007102009843099657,0.016097079328609838
8,2020-01-30,0,87.74389835482165,6.664796063079956,False,9,0.007805572944017697,0.016097079328609838
9,2020-01-31,0,87.74389835482165,6.664796063079956,False,10,0.008578789889472943,0.016097079328609838
10,2020-02-01,0,87.74389835482165,6.664796063079956,False,11,0.009428547187327137,0.016097079328609838
11,2020-02-02,0,87.74389835482165,6.664796063079956,False,12,0.010362410258028008,0.016097079328609838
12,2020-02-03,0,87.74389835482165,6.664796063079956,False,13,0.011388689962497886,0.016097079328609838
13,2020-02-04,0,87.74389835482165,6.664796063079956,False,14,0.01251651556527904,0.016097079328609838
14,2020-02-05,0,87.74389835482165,6.664796063079956,False,15,0.013755914737899723,0.016097079328609838
15,2020-02-06,0,87.74389835482165,6.664796063079956,False,16,0.015117901260608763,0.016097079328609838
16,2020-02-07,0,87.74389835482165,6.664796063079956,False,17,0.016614571137693355,0.016097079328609838
17,2020-02-08,0,87.74389835482165,6.664796063079956,False,18,0.018259207902646925,0.016097079328609838
18,2020-02-09,0,87.74389835482165,6.664796063079956,False,19,0.02006639795454889,0.016097079328609838
19,2020-02-10,0,87.74389835482165,6.664796063079956,False,20,0.022052156836151172,0.016097079328609838
20,2020-02-11,0,87.74389835482165,6.664796063079956,False,21,0.02423406743725127,0.016097079328609838
21,2020-02-12,0,87.74389835482165,6.664796063079956,False,22,0.02663143118378027,0.016097079328609838
22,2020-02-13,0,87.74389835482165,6.664796063079956,False,23,0.029265433353322226,0.016097079328609838
23,2020-02-14,0,87.74389835482165,6.664796063079956,False,24,0.032159323741021505,0.016097079328609838
24,2020-02-15,0,87.74389835482165,6.664796063079956,False,25,0.03533861398532683,0.016097079328609838
25,2020-02-16,0,87.74389835482165,6.664796063079956,False,26,0.03883129294980824,0.016097079328609838
26,2020-02-17,0,87.74389835482165,6.664796063079956,False,27,0.04266806164408997,0.016097079328609838
27,2020-02-18,0,87.74389835482165,6.664796063079956,False,28,0.04688258925210065,0.016097079328609838
28,2020-02-19,0,87.74389835482165,6.664796063079956,False,29,0.05151179191721111,0.016097079328609838
29,2020-02-20,0,87.74389835482165,6.664796063079956,False,30,0.05659613600869283,0.016097079328609838
30,2020-02-21,0,87.74389835482165,6.664796063079956,False,31,0.062179967658878725,0.016097079328609838
31,2020-02-22,0,87.74389835482165,6.664796063079956,False,32,0.06831187041120558,0.016097079328609838
32,2020-02-23,0,87.74389835482165,6.664796063079956,False,33,0.0750450528507445,0.016097079328609838
33,2020-02-24,0,87.74389835482165,6.664796063079956,False,34,0.0824377680944909,0.016097079328609838
34,2020-02-25,0,87.74389835482165,6.664796063079956,False,35,0.0905537669908319,0.016097079328609838
35,2020-02-26,0,87.74389835482165,6.664796063079956,False,36,0.09946278680686911,0.016097079328609838
36,2020-02-27,0,87.74389835482165,6.664796063079956,False,37,0.10924107705742159,0.016097079328609838
37,2020-02-28,0,87.74389835482165,6.664796063079956,False,38,0.1199719639372011,0.016097079328609838
38,2020-02-29,0,87.74389835482165,6.664796063079956,False,39,0.13174645454201767,0.016097079328609838
39,2020-03-01,0,87.74389835482165,6.664796063079956,False,40,0.14466388168736707,0.016097079328609838
40,2020-03-02,0,87.74389835482165,6.664796063079956,False,41,0.15883258963171978,0.016097079328609838
41,2020-03-03,0,87.74389835482165,6.664796063079956,False,42,0.17437066036223386,0.016097079328609838
42,2020-03-04,0,87.74389835482165,6.664796063079956,False,43,0.19140667927379268,0.016097079328609838
43,2020-03-05,0,87.74389835482165,6.664796063079956,False,44,0.2100805380357136,0.016097079328609838
44,2020-03-06,0,87.74389835482165,6.664796063079956,False,45,0.2305442711578077,0.016097079328609838
45,2020-03-07,0,87.74389835482165,6.664796063079956,False,46,0.2529629211985284,0.016097079328609838
46,2020-03-08,0,87.74389835482165,6.664796063079956,False,47,0.27751542565921145,0.016097079328609838
47,2020-03-09,0,87.74389835482165,6.664796063079956,False,48,0.3043955163336951,0.016097079328609838
48,2020-03-10,0,87.74389835482165,6.664796063079956,False,49,0.33381261918441296,0.016097079328609838
49,2020-03-11,0,87.74389835482165,6.664796063079956,False,50,0.365992739647382,0.016097079328609838
50,2020-03-12,0,87.74389835482165,6.664796063079956,False,51,0.4011793145856719,0.016097079328609838
51,2020-03-13,0,87.74389835482165,6.664796063079956,False,52,0.4396340078773562,0.016097079328609838
52,2020-03-14,0,87.74389835482165,6.664796063079956,False,53,0.4816374218152255,0.016097079328609838
53,2020-03-15,0,87.74389835482165,6.664796063079956,False,54,0.5274896911060702,0.016097079328609838
54,2020-03-16,0,87.74389835482165,6.664796063079956,False,55,0.5775109203087219,0.016097079328609838
55,2020-03-17,0,87.74389835482165,6.664796063079956,False,56,0.6320414191013477,0.016097079328609838
56,2020-03-18,0,87.74389835482165,6.664796063079956,False,57,0.6914416829285425,0.016097079328609838
