,Report_Date,China_beijing_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,14,20.29338438639669,273.2101839016102,True,1,103.35116120832105,543.1358509516996
1,2020-01-23,22,20.29338438639669,273.2101839016102,True,2,109.82240232023844,543.1358509516996
2,2020-01-24,36,20.29338438639669,273.2101839016102,True,3,116.59220975665914,543.1358509516996
3,2020-01-25,41,20.29338438639669,273.2101839016102,True,4,123.66113114377026,543.1358509516996
4,2020-01-26,68,20.29338438639669,273.2101839016102,True,5,131.0279883694224,543.1358509516996
5,2020-01-27,80,20.29338438639669,273.2101839016102,True,6,138.6897374599469,543.1358509516996
6,2020-01-28,91,20.29338438639669,273.2101839016102,True,7,146.64134328806304,543.1358509516996
7,2020-01-29,111,20.29338438639669,273.2101839016102,True,8,154.87567364799602,543.1358509516996
8,2020-01-30,114,20.29338438639669,273.2101839016102,True,9,163.38341724806924,543.1358509516996
9,2020-01-31,139,20.29338438639669,273.2101839016102,True,10,172.15303000914562,543.1358509516996
10,2020-02-01,168,20.29338438639669,273.2101839016102,True,11,181.17071369972874,543.1358509516996
11,2020-02-02,191,20.29338438639669,273.2101839016102,True,12,190.42043037428326,543.1358509516996
12,2020-02-03,212,20.29338438639669,273.2101839016102,True,13,199.88395531037557,543.1358509516996
13,2020-02-04,228,20.29338438639669,273.2101839016102,True,14,209.54097017536301,543.1358509516996
14,2020-02-05,253,20.29338438639669,273.2101839016102,True,15,219.36919702119917,543.1358509516996
15,2020-02-06,274,20.29338438639669,273.2101839016102,True,16,229.34457244687394,543.1358509516996
16,2020-02-07,297,20.29338438639669,273.2101839016102,True,17,239.44145993495053,543.1358509516996
17,2020-02-08,315,20.29338438639669,273.2101839016102,True,18,249.63289702436916,543.1358509516996
18,2020-02-09,326,20.29338438639669,273.2101839016102,True,19,259.89087269504824,543.1358509516996
19,2020-02-10,337,20.29338438639669,273.2101839016102,True,20,270.18662918113523,543.1358509516996
20,2020-02-11,342,20.29338438639669,273.2101839016102,True,21,280.4909814654807,543.1358509516996
21,2020-02-12,352,20.29338438639669,273.2101839016102,True,22,290.77464699538956,543.1358509516996
22,2020-02-13,366,20.29338438639669,273.2101839016102,True,23,301.0085777423821,543.1358509516996
23,2020-02-14,372,20.29338438639669,273.2101839016102,True,24,311.16428663244704,543.1358509516996
24,2020-02-15,375,20.29338438639669,273.2101839016102,True,25,321.21416060408865,543.1358509516996
25,2020-02-16,380,20.29338438639669,273.2101839016102,True,26,331.1317530949856,543.1358509516996
26,2020-02-17,381,20.29338438639669,273.2101839016102,True,27,340.8920495807925,543.1358509516996
27,2020-02-18,387,20.29338438639669,273.2101839016102,True,28,350.4717008418153,543.1358509516996
28,2020-02-19,393,20.29338438639669,273.2101839016102,True,29,359.84921985324286,543.1358509516996
29,2020-02-20,395,20.29338438639669,273.2101839016102,True,30,369.00513951364235,543.1358509516996
30,2020-02-21,396,20.29338438639669,273.2101839016102,True,31,377.92212977417057,543.1358509516996
31,2020-02-22,399,20.29338438639669,273.2101839016102,True,32,386.58507404055115,543.1358509516996
32,2020-02-23,399,20.29338438639669,273.2101839016102,True,33,394.9811059322219,543.1358509516996
33,2020-02-24,399,20.29338438639669,273.2101839016102,True,34,403.09960855021694,543.1358509516996
34,2020-02-25,400,20.29338438639669,273.2101839016102,True,35,410.93217929251483,543.1358509516996
35,2020-02-26,400,20.29338438639669,273.2101839016102,True,36,418.47256394191163,543.1358509516996
36,2020-02-27,410,20.29338438639669,273.2101839016102,True,37,425.71656422963946,543.1358509516996
37,2020-02-28,410,20.29338438639669,273.2101839016102,True,38,432.661923352773,543.1358509516996
38,2020-02-29,411,20.29338438639669,273.2101839016102,True,39,439.30819400982335,543.1358509516996
39,2020-03-01,413,20.29338438639669,273.2101839016102,True,40,445.6565934392847,543.1358509516996
40,2020-03-02,414,20.29338438639669,273.2101839016102,True,41,451.70984972768053,543.1358509516996
41,2020-03-03,414,20.29338438639669,273.2101839016102,True,42,457.4720433267863,543.1358509516996
42,2020-03-04,418,20.29338438639669,273.2101839016102,True,43,462.9484473143401,543.1358509516996
43,2020-03-05,418,20.29338438639669,273.2101839016102,True,44,468.1453694774029,543.1358509516996
44,2020-03-06,422,20.29338438639669,273.2101839016102,True,45,473.0699988184229,543.1358509516996
45,2020-03-07,426,20.29338438639669,273.2101839016102,True,46,477.73025860314755,543.1358509516996
46,2020-03-08,428,20.29338438639669,273.2101839016102,True,47,482.1346676048306,543.1358509516996
47,2020-03-09,428,20.29338438639669,273.2101839016102,True,48,486.2922107644626,543.1358509516996
48,2020-03-10,429,20.29338438639669,273.2101839016102,True,49,490.212220091763,543.1358509516996
49,2020-03-11,435,20.29338438639669,273.2101839016102,True,50,493.9042662824926,543.1358509516996
50,2020-03-12,435,20.29338438639669,273.2101839016102,True,51,497.3780612272128,543.1358509516996
51,2020-03-13,436,20.29338438639669,273.2101839016102,True,52,500.64337133531336,543.1358509516996
52,2020-03-14,437,20.29338438639669,273.2101839016102,True,53,503.70994139429877,543.1358509516996
53,2020-03-15,442,20.29338438639669,273.2101839016102,True,54,506.58742852486625,543.1358509516996
54,2020-03-16,452,20.29338438639669,273.2101839016102,True,55,509.285345673143,543.1358509516996
55,2020-03-17,456,20.29338438639669,273.2101839016102,True,56,511.81301399790743,543.1358509516996
56,2020-03-18,469,20.29338438639669,273.2101839016102,True,57,514.1795234578179,543.1358509516996
57,2020-03-19,480,20.29338438639669,273.2101839016102,True,58,516.3937008767464,543.1358509516996
58,2020-03-20,491,20.29338438639669,273.2101839016102,True,59,518.4640847596039,543.1358509516996
59,2020-03-21,504,20.29338438639669,273.2101839016102,True,60,520.3989061422832,543.1358509516996
60,2020-03-22,522,20.29338438639669,273.2101839016102,True,61,522.2060747836272,543.1358509516996
61,2020-03-23,537,20.29338438639669,273.2101839016102,True,62,523.8931700413168,543.1358509516996
62,2020-03-24,558,20.29338438639669,273.2101839016102,True,63,525.4674358142959,543.1358509516996
63,2020-03-25,561,20.29338438639669,273.2101839016102,True,64,526.9357789794228,543.1358509516996
64,2020-03-26,566,20.29338438639669,273.2101839016102,True,65,528.304770797404,543.1358509516996
65,2020-03-27,569,20.29338438639669,273.2101839016102,True,66,529.5806508111541,543.1358509516996
66,2020-03-28,573,20.29338438639669,273.2101839016102,True,67,530.7693328072573,543.1358509516996
67,2020-03-29,577,20.29338438639669,273.2101839016102,True,68,531.876412457241,543.1358509516996
68,2020-03-30,577,20.29338438639669,273.2101839016102,True,69,532.9071762992165,543.1358509516996
69,2020-03-31,580,20.29338438639669,273.2101839016102,True,70,533.866611761624,543.1358509516996
70,2020-04-01,580,20.29338438639669,273.2101839016102,True,71,534.7594179690426,543.1358509516996
71,2020-04-02,582,20.29338438639669,273.2101839016102,True,72,535.5900171051364,543.1358509516996
72,2020-04-03,584,20.29338438639669,273.2101839016102,True,73,536.3625661397608,543.1358509516996
73,2020-04-04,585,20.29338438639669,273.2101839016102,True,74,537.0809687560992,543.1358509516996
74,2020-04-05,586,20.29338438639669,273.2101839016102,True,75,537.748887339531,543.1358509516996
75,2020-04-06,587,20.29338438639669,273.2101839016102,True,76,538.3697549129081,543.1358509516996
76,2020-04-07,587,20.29338438639669,273.2101839016102,True,77,538.9467869232158,543.1358509516996
77,2020-04-08,588,20.29338438639669,273.2101839016102,True,78,539.4829928024021,543.1358509516996
