,Report_Date,Burkina Faso_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.87312940226337,265.85081929280074,True,1,0.006254772081140903,500.70563182242904
1,2020-01-23,0,70.87312940226337,265.85081929280074,True,2,0.00735798989481488,500.70563182242904
2,2020-01-24,0,70.87312940226337,265.85081929280074,True,3,0.00865579029517358,500.70563182242904
3,2020-01-25,0,70.87312940226337,265.85081929280074,True,4,0.010182492018779838,500.70563182242904
4,2020-01-26,0,70.87312940226337,265.85081929280074,True,5,0.011978466167268805,500.70563182242904
5,2020-01-27,0,70.87312940226337,265.85081929280074,True,6,0.014091203407872933,500.70563182242904
6,2020-01-28,0,70.87312940226337,265.85081929280074,True,7,0.016576569282339103,500.70563182242904
7,2020-01-29,0,70.87312940226337,265.85081929280074,True,8,0.01950028075445689,500.70563182242904
8,2020-01-30,0,70.87312940226337,265.85081929280074,True,9,0.02293964295127244,500.70563182242904
9,2020-01-31,0,70.87312940226337,265.85081929280074,True,10,0.026985591898130736,500.70563182242904
10,2020-02-01,0,70.87312940226337,265.85081929280074,True,11,0.031745097090161184,500.70563182242904
11,2020-02-02,0,70.87312940226337,265.85081929280074,True,12,0.03734398719008284,500.70563182242904
12,2020-02-03,0,70.87312940226337,265.85081929280074,True,13,0.04393027323676024,500.70563182242904
13,2020-02-04,0,70.87312940226337,265.85081929280074,True,14,0.0516780567740431,500.70563182242904
14,2020-02-05,0,70.87312940226337,265.85081929280074,True,15,0.06079212559549395,500.70563182242904
15,2020-02-06,0,70.87312940226337,265.85081929280074,True,16,0.07151335773248332,500.70563182242904
16,2020-02-07,0,70.87312940226337,265.85081929280074,True,17,0.084125075338183,500.70563182242904
17,2020-02-08,0,70.87312940226337,265.85081929280074,True,18,0.09896051475711531,500.70563182242904
18,2020-02-09,0,70.87312940226337,265.85081929280074,True,19,0.1164116079193402,500.70563182242904
19,2020-02-10,0,70.87312940226337,265.85081929280074,True,20,0.136939303952088,500.70563182242904
20,2020-02-11,0,70.87312940226337,265.85081929280074,True,21,0.16108569935428657,500.70563182242904
21,2020-02-12,0,70.87312940226337,265.85081929280074,True,22,0.18948829113890295,500.70563182242904
22,2020-02-13,0,70.87312940226337,265.85081929280074,True,23,0.2228967210453569,500.70563182242904
23,2020-02-14,0,70.87312940226337,265.85081929280074,True,24,0.2621924414212903,500.70563182242904
24,2020-02-15,0,70.87312940226337,265.85081929280074,True,25,0.3084118059661032,500.70563182242904
25,2020-02-16,0,70.87312940226337,265.85081929280074,True,26,0.3627731726461173,500.70563182242904
26,2020-02-17,0,70.87312940226337,265.85081929280074,True,27,0.4267087032799609,500.70563182242904
27,2020-02-18,0,70.87312940226337,265.85081929280074,True,28,0.5019016561895516,500.70563182242904
28,2020-02-19,0,70.87312940226337,265.85081929280074,True,29,0.5903300965913452,500.70563182242904
29,2020-02-20,0,70.87312940226337,265.85081929280074,True,30,0.6943180956900731,500.70563182242904
30,2020-02-21,0,70.87312940226337,265.85081929280074,True,31,0.816595655175221,500.70563182242904
31,2020-02-22,0,70.87312940226337,265.85081929280074,True,32,0.96036878006391,500.70563182242904
32,2020-02-23,0,70.87312940226337,265.85081929280074,True,33,1.1294013299503918,500.70563182242904
33,2020-02-24,0,70.87312940226337,265.85081929280074,True,34,1.3281105059601876,500.70563182242904
34,2020-02-25,0,70.87312940226337,265.85081929280074,True,35,1.561678075581196,500.70563182242904
35,2020-02-26,0,70.87312940226337,265.85081929280074,True,36,1.8361796949789102,500.70563182242904
36,2020-02-27,0,70.87312940226337,265.85081929280074,True,37,2.1587349495477763,500.70563182242904
37,2020-02-28,0,70.87312940226337,265.85081929280074,True,38,2.5376809840696493,500.70563182242904
38,2020-02-29,0,70.87312940226337,265.85081929280074,True,39,2.9827728121586423,500.70563182242904
39,2020-03-01,0,70.87312940226337,265.85081929280074,True,40,3.5054135484775313,500.70563182242904
