,Report_Date,Niger_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.71176233802709,583.3630367850909,False,1,0.017768775676288987,1166.7260735701823
1,2020-01-23,0,88.71176233802709,583.3630367850909,False,2,0.020164089008073625,1166.7260735701823
2,2020-01-24,0,88.71176233802709,583.3630367850909,False,3,0.022882295347997742,1166.7260735701823
3,2020-01-25,0,88.71176233802709,583.3630367850909,False,4,0.025966919494212665,1166.7260735701823
4,2020-01-26,0,88.71176233802709,583.3630367850909,False,5,0.02946735270421673,1166.7260735701823
5,2020-01-27,0,88.71176233802709,583.3630367850909,False,6,0.03343964325052587,1166.7260735701823
6,2020-01-28,0,88.71176233802709,583.3630367850909,False,7,0.03794739346705966,1166.7260735701823
7,2020-01-29,0,88.71176233802709,583.3630367850909,False,8,0.04306277761842689,1166.7260735701823
8,2020-01-30,0,88.71176233802709,583.3630367850909,False,9,0.04886769684961055,1166.7260735701823
9,2020-01-31,0,88.71176233802709,583.3630367850909,False,10,0.05545508965646901,1166.7260735701823
10,2020-02-01,0,88.71176233802709,583.3630367850909,False,11,0.0629304187921543,1166.7260735701823
11,2020-02-02,0,88.71176233802709,583.3630367850909,False,12,0.07141335832961392,1166.7260735701823
12,2020-02-03,0,88.71176233802709,583.3630367850909,False,13,0.08103970777939738,1166.7260735701823
13,2020-02-04,0,88.71176233802709,583.3630367850909,False,14,0.09196356376426022,1166.7260735701823
14,2020-02-05,0,88.71176233802709,583.3630367850909,False,15,0.1043597838330574,1166.7260735701823
15,2020-02-06,0,88.71176233802709,583.3630367850909,False,16,0.11842678161870915,1166.7260735701823
16,2020-02-07,0,88.71176233802709,583.3630367850909,False,17,0.1343896977790286,1166.7260735701823
17,2020-02-08,0,88.71176233802709,583.3630367850909,False,18,0.15250399708410875,1166.7260735701823
18,2020-02-09,0,88.71176233802709,583.3630367850909,False,19,0.17305954871870702,1166.7260735701823
19,2020-02-10,0,88.71176233802709,583.3630367850909,False,20,0.19638525445233673,1166.7260735701823
20,2020-02-11,0,88.71176233802709,583.3630367850909,False,21,0.2228542979051742,1166.7260735701823
21,2020-02-12,0,88.71176233802709,583.3630367850909,False,22,0.2528900978290518,1166.7260735701823
22,2020-02-13,0,88.71176233802709,583.3630367850909,False,23,0.28697305926860356,1166.7260735701823
23,2020-02-14,0,88.71176233802709,583.3630367850909,False,24,0.32564822882235384,1166.7260735701823
24,2020-02-15,0,88.71176233802709,583.3630367850909,False,25,0.3695339741580448,1166.7260735701823
25,2020-02-16,0,88.71176233802709,583.3630367850909,False,26,0.4193318236392102,1166.7260735701823
