,Report_Date,China_sichuan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,5,14.379699413496756,271.4986881475785,True,1,33.768461032546,542.997198150229
1,2020-01-23,8,14.379699413496756,271.4986881475785,True,2,40.79012643654056,542.997198150229
2,2020-01-24,15,14.379699413496756,271.4986881475785,True,3,49.13097841452011,542.997198150229
3,2020-01-25,28,14.379699413496756,271.4986881475785,True,4,58.97709240187565,542.997198150229
4,2020-01-26,44,14.379699413496756,271.4986881475785,True,5,70.51468359640184,542.997198150229
5,2020-01-27,69,14.379699413496756,271.4986881475785,True,6,83.91802875448369,542.997198150229
6,2020-01-28,90,14.379699413496756,271.4986881475785,True,7,99.33344586041909,542.997198150229
7,2020-01-29,108,14.379699413496756,271.4986881475785,True,8,116.85978582034922,542.997198150229
8,2020-01-30,142,14.379699413496756,271.4986881475785,True,9,136.52687138365278,542.997198150229
9,2020-01-31,177,14.379699413496756,271.4986881475785,True,10,158.2745059449589,542.997198150229
10,2020-02-01,207,14.379699413496756,271.4986881475785,True,11,181.93578117187243,542.997198150229
11,2020-02-02,231,14.379699413496756,271.4986881475785,True,12,207.22898338411545,542.997198150229
12,2020-02-03,254,14.379699413496756,271.4986881475785,True,13,233.76193938759207,542.997198150229
13,2020-02-04,282,14.379699413496756,271.4986881475785,True,14,261.05086348902523,542.997198150229
14,2020-02-05,301,14.379699413496756,271.4986881475785,True,15,288.5528537841002,542.997198150229
15,2020-02-06,321,14.379699413496756,271.4986881475785,True,16,315.70790222220626,542.997198150229
16,2020-02-07,344,14.379699413496756,271.4986881475785,True,17,341.98375523561987,542.997198150229
17,2020-02-08,364,14.379699413496756,271.4986881475785,True,18,366.9161711534228,542.997198150229
18,2020-02-09,386,14.379699413496756,271.4986881475785,True,19,390.13838994388044,542.997198150229
19,2020-02-10,405,14.379699413496756,271.4986881475785,True,20,411.3964452845919,542.997198150229
20,2020-02-11,417,14.379699413496756,271.4986881475785,True,21,430.5502396332284,542.997198150229
21,2020-02-12,436,14.379699413496756,271.4986881475785,True,22,447.56299249586726,542.997198150229
22,2020-02-13,451,14.379699413496756,271.4986881475785,True,23,462.48312882310677,542.997198150229
23,2020-02-14,463,14.379699413496756,271.4986881475785,True,24,475.42284675798743,542.997198150229
24,2020-02-15,470,14.379699413496756,271.4986881475785,True,25,486.5368571717118,542.997198150229
25,2020-02-16,481,14.379699413496756,271.4986881475785,True,26,496.00362531977396,542.997198150229
26,2020-02-17,495,14.379699413496756,271.4986881475785,True,27,504.01028806953275,542.997198150229
27,2020-02-18,508,14.379699413496756,271.4986881475785,True,28,510.7415111078787,542.997198150229
28,2020-02-19,514,14.379699413496756,271.4986881475785,True,29,516.3719645740449,542.997198150229
29,2020-02-20,520,14.379699413496756,271.4986881475785,True,30,521.0617998680862,542.997198150229
30,2020-02-21,525,14.379699413496756,271.4986881475785,True,31,524.9544258411562,542.997198150229
31,2020-02-22,526,14.379699413496756,271.4986881475785,True,32,528.1759261866742,542.997198150229
32,2020-02-23,526,14.379699413496756,271.4986881475785,True,33,530.8355654278894,542.997198150229
33,2020-02-24,527,14.379699413496756,271.4986881475785,True,34,533.0269542371705,542.997198150229
34,2020-02-25,529,14.379699413496756,271.4986881475785,True,35,534.8295608892732,542.997198150229
35,2020-02-26,531,14.379699413496756,271.4986881475785,True,36,536.3103530888823,542.997198150229
36,2020-02-27,534,14.379699413496756,271.4986881475785,True,37,537.5254302813079,542.997198150229
37,2020-02-28,538,14.379699413496756,271.4986881475785,True,38,538.5215623559465,542.997198150229
38,2020-02-29,538,14.379699413496756,271.4986881475785,True,39,539.3375897488364,542.997198150229
39,2020-03-01,538,14.379699413496756,271.4986881475785,True,40,540.0056660962025,542.997198150229
40,2020-03-02,538,14.379699413496756,271.4986881475785,True,41,540.5523412021945,542.997198150229
41,2020-03-03,538,14.379699413496756,271.4986881475785,True,42,540.9994919663407,542.997198150229
42,2020-03-04,538,14.379699413496756,271.4986881475785,True,43,541.3651142271314,542.997198150229
43,2020-03-05,539,14.379699413496756,271.4986881475785,True,44,541.6639908012968,542.997198150229
44,2020-03-06,539,14.379699413496756,271.4986881475785,True,45,541.9082514539236,542.997198150229
45,2020-03-07,539,14.379699413496756,271.4986881475785,True,46,542.1078398898962,542.997198150229
46,2020-03-08,539,14.379699413496756,271.4986881475785,True,47,542.2709016217748,542.997198150229
47,2020-03-09,539,14.379699413496756,271.4986881475785,True,48,542.4041050705378,542.997198150229
48,2020-03-10,539,14.379699413496756,271.4986881475785,True,49,542.512906695648,542.997198150229
49,2020-03-11,539,14.379699413496756,271.4986881475785,True,50,542.6017694477019,542.997198150229
50,2020-03-12,539,14.379699413496756,271.4986881475785,True,51,542.6743424536782,542.997198150229
51,2020-03-13,539,14.379699413496756,271.4986881475785,True,52,542.733608609857,542.997198150229
52,2020-03-14,539,14.379699413496756,271.4986881475785,True,53,542.7820056779588,542.997198150229
53,2020-03-15,539,14.379699413496756,271.4986881475785,True,54,542.8215255506645,542.997198150229
54,2020-03-16,539,14.379699413496756,271.4986881475785,True,55,542.8537955616451,542.997198150229
55,2020-03-17,540,14.379699413496756,271.4986881475785,True,56,542.8801450477272,542.997198150229
56,2020-03-18,540,14.379699413496756,271.4986881475785,True,57,542.9016598113432,542.997198150229
57,2020-03-19,540,14.379699413496756,271.4986881475785,True,58,542.9192266649134,542.997198150229
58,2020-03-20,541,14.379699413496756,271.4986881475785,True,59,542.9335698514262,542.997198150229
59,2020-03-21,542,14.379699413496756,271.4986881475785,True,60,542.9452808148782,542.997198150229
60,2020-03-22,543,14.379699413496756,271.4986881475785,True,61,542.9548425295584,542.997198150229
61,2020-03-23,543,14.379699413496756,271.4986881475785,True,62,542.9626493791432,542.997198150229
62,2020-03-24,545,14.379699413496756,271.4986881475785,True,63,542.9690233972597,542.997198150229
63,2020-03-25,547,14.379699413496756,271.4986881475785,True,64,542.9742275339277,542.997198150229
64,2020-03-26,547,14.379699413496756,271.4986881475785,True,65,542.978476491487,542.997198150229
65,2020-03-27,548,14.379699413496756,271.4986881475785,True,66,542.981945574603,542.997198150229
66,2020-03-28,548,14.379699413496756,271.4986881475785,True,67,542.984777917854,542.997198150229
67,2020-03-29,550,14.379699413496756,271.4986881475785,True,68,542.9870903880184,542.997198150229
68,2020-03-30,550,14.379699413496756,271.4986881475785,True,69,542.9889784038719,542.997198150229
69,2020-03-31,550,14.379699413496756,271.4986881475785,True,70,542.9905198718902,542.997198150229
70,2020-04-01,552,14.379699413496756,271.4986881475785,True,71,542.991778399933,542.997198150229
71,2020-04-02,554,14.379699413496756,271.4986881475785,True,72,542.9928059213063,542.997198150229
72,2020-04-03,555,14.379699413496756,271.4986881475785,True,73,542.9936448373423,542.997198150229
73,2020-04-04,557,14.379699413496756,271.4986881475785,True,74,542.9943297668141,542.997198150229
74,2020-04-05,558,14.379699413496756,271.4986881475785,True,75,542.9948889743143,542.997198150229
75,2020-04-06,559,14.379699413496756,271.4986881475785,True,76,542.9953455365006,542.997198150229
76,2020-04-07,560,14.379699413496756,271.4986881475785,True,77,542.9957182943019,542.997198150229
77,2020-04-08,560,14.379699413496756,271.4986881475785,True,78,542.9960226303675,542.997198150229
