,Report_Date,Iraq_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,76.43698824727684,1074.9721163625443,True,1,0.1306030872425015,1753.927975533703
1,2020-01-23,0,76.43698824727684,1074.9721163625443,True,2,0.14854001141918177,1753.927975533703
2,2020-01-24,0,76.43698824727684,1074.9721163625443,True,3,0.1689401849167004,1753.927975533703
3,2020-01-25,0,76.43698824727684,1074.9721163625443,True,4,0.19214182502969868,1753.927975533703
4,2020-01-26,0,76.43698824727684,1074.9721163625443,True,5,0.21852957141537746,1753.927975533703
5,2020-01-27,0,76.43698824727684,1074.9721163625443,True,6,0.24854085294676045,1753.927975533703
6,2020-01-28,0,76.43698824727684,1074.9721163625443,True,7,0.28267312634627584,1753.927975533703
7,2020-01-29,0,76.43698824727684,1074.9721163625443,True,8,0.3214921055459808,1753.927975533703
8,2020-01-30,0,76.43698824727684,1074.9721163625443,True,9,0.36564111682581957,1753.927975533703
9,2020-01-31,0,76.43698824727684,1074.9721163625443,True,10,0.4158517330303982,1753.927975533703
10,2020-02-01,0,76.43698824727684,1074.9721163625443,True,11,0.47295586083247887,1753.927975533703
11,2020-02-02,0,76.43698824727684,1074.9721163625443,True,12,0.5378994784042548,1753.927975533703
12,2020-02-03,0,76.43698824727684,1074.9721163625443,True,13,0.6117582473165466,1753.927975533703
13,2020-02-04,0,76.43698824727684,1074.9721163625443,True,14,0.6957552523896822,1753.927975533703
14,2020-02-05,0,76.43698824727684,1074.9721163625443,True,15,0.7912811569857243,1753.927975533703
15,2020-02-06,0,76.43698824727684,1074.9721163625443,True,16,0.899917099318957,1753.927975533703
16,2020-02-07,0,76.43698824727684,1074.9721163625443,True,17,1.0234606982714995,1753.927975533703
17,2020-02-08,0,76.43698824727684,1074.9721163625443,True,18,1.1639555854770611,1753.927975533703
18,2020-02-09,0,76.43698824727684,1074.9721163625443,True,19,1.3237249346619242,1753.927975533703
19,2020-02-10,0,76.43698824727684,1074.9721163625443,True,20,1.5054095200277906,1753.927975533703
20,2020-02-11,0,76.43698824727684,1074.9721163625443,True,21,1.7120109034739335,1753.927975533703
21,2020-02-12,0,76.43698824727684,1074.9721163625443,True,22,1.9469404263495518,1753.927975533703
22,2020-02-13,0,76.43698824727684,1074.9721163625443,True,23,2.214074765861968,1753.927975533703
23,2020-02-14,0,76.43698824727684,1074.9721163625443,True,24,2.5178189098731747,1753.927975533703
24,2020-02-15,0,76.43698824727684,1074.9721163625443,True,25,2.8631775071591736,1753.927975533703
25,2020-02-16,0,76.43698824727684,1074.9721163625443,True,26,3.255835663726573,1753.927975533703
26,2020-02-17,0,76.43698824727684,1074.9721163625443,True,27,3.7022503797306023,1753.927975533703
27,2020-02-18,0,76.43698824727684,1074.9721163625443,True,28,4.209753955882815,1753.927975533703
28,2020-02-19,0,76.43698824727684,1074.9721163625443,True,29,4.786670842526634,1753.927975533703
