,Report_Date,Luxembourg_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.46774068208047,1877.426978276809,True,1,0.04442372825328969,3619.261399118055
1,2020-01-23,0,68.46774068208047,1877.426978276809,True,2,0.05255828129973269,3619.261399118055
2,2020-01-24,0,68.46774068208047,1877.426978276809,True,3,0.062182350423022455,3619.261399118055
3,2020-01-25,0,68.46774068208047,1877.426978276809,True,4,0.07356867069725977,3619.261399118055
4,2020-01-26,0,68.46774068208047,1877.426978276809,True,5,0.0870399119036531,3619.261399118055
5,2020-01-27,0,68.46774068208047,1877.426978276809,True,6,0.10297781943477055,3619.261399118055
6,2020-01-28,0,68.46774068208047,1877.426978276809,True,7,0.12183402787656987,3619.261399118055
7,2020-01-29,0,68.46774068208047,1877.426978276809,True,8,0.14414285309669345,3619.261399118055
8,2020-01-30,0,68.46774068208047,1877.426978276809,True,9,0.17053642448377762,3619.261399118055
9,2020-01-31,0,68.46774068208047,1877.426978276809,True,10,0.20176258494543606,3619.261399118055
10,2020-02-01,0,68.46774068208047,1877.426978276809,True,11,0.23870606421051163,3619.261399118055
11,2020-02-02,0,68.46774068208047,1877.426978276809,True,12,0.28241352304552303,3619.261399118055
12,2020-02-03,0,68.46774068208047,1877.426978276809,True,13,0.33412317471471953,3619.261399118055
13,2020-02-04,0,68.46774068208047,1877.426978276809,True,14,0.3952998183564932,3619.261399118055
14,2020-02-05,0,68.46774068208047,1877.426978276809,True,15,0.4676762703960232,3619.261399118055
15,2020-02-06,0,68.46774068208047,1877.426978276809,True,16,0.5533023587368886,3619.261399118055
16,2020-02-07,0,68.46774068208047,1877.426978276809,True,17,0.6546028550273059,3619.261399118055
17,2020-02-08,0,68.46774068208047,1877.426978276809,True,18,0.7744459683161729,3619.261399118055
18,2020-02-09,0,68.46774068208047,1877.426978276809,True,19,0.9162243153271166,3619.261399118055
19,2020-02-10,0,68.46774068208047,1877.426978276809,True,20,1.0839506258165172,3619.261399118055
20,2020-02-11,0,68.46774068208047,1877.426978276809,True,21,1.282370844595258,3619.261399118055
21,2020-02-12,0,68.46774068208047,1877.426978276809,True,22,1.517097764564849,3619.261399118055
