,Report_Date,Nigeria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.30489349925831,269.8461253489916,True,1,0.00626354353508663,448.4901992483109
1,2020-01-23,0,77.30489349925831,269.8461253489916,True,2,0.007269394690670614,448.4901992483109
2,2020-01-24,0,77.30489349925831,269.8461253489916,True,3,0.008436771143445728,448.4901992483109
3,2020-01-25,0,77.30489349925831,269.8461253489916,True,4,0.009791610667840692,448.4901992483109
4,2020-01-26,0,77.30489349925831,269.8461253489916,True,5,0.011364015828898514,448.4901992483109
5,2020-01-27,0,77.30489349925831,269.8461253489916,True,6,0.013188922611162323,448.4901992483109
6,2020-01-28,0,77.30489349925831,269.8461253489916,True,7,0.015306876354799482,448.4901992483109
7,2020-01-29,0,77.30489349925831,269.8461253489916,True,8,0.017764932207842365,448.4901992483109
8,2020-01-30,0,77.30489349925831,269.8461253489916,True,9,0.02061770005880781,448.4901992483109
9,2020-01-31,0,77.30489349925831,269.8461253489916,True,10,0.02392855710898626,448.4901992483109
10,2020-02-01,0,77.30489349925831,269.8461253489916,True,11,0.027771054947983348,448.4901992483109
11,2020-02-02,0,77.30489349925831,269.8461253489916,True,12,0.032230552290106886,448.4901992483109
12,2020-02-03,0,77.30489349925831,269.8461253489916,True,13,0.03740610950583678,448.4901992483109
13,2020-02-04,0,77.30489349925831,269.8461253489916,True,14,0.043412686849113445,448.4901992483109
14,2020-02-05,0,77.30489349925831,269.8461253489916,True,15,0.050383694961134845,448.4901992483109
15,2020-02-06,0,77.30489349925831,269.8461253489916,True,16,0.05847395396709682,448.4901992483109
16,2020-02-07,0,77.30489349925831,269.8461253489916,True,17,0.0678631264375237,448.4901992483109
17,2020-02-08,0,77.30489349925831,269.8461253489916,True,18,0.07875969984845489,448.4901992483109
18,2020-02-09,0,77.30489349925831,269.8461253489916,True,19,0.09140560616015922,448.4901992483109
19,2020-02-10,0,77.30489349925831,269.8461253489916,True,20,0.10608157998854355,448.4901992483109
20,2020-02-11,0,77.30489349925831,269.8461253489916,True,21,0.12311337284791814,448.4901992483109
21,2020-02-12,0,77.30489349925831,269.8461253489916,True,22,0.14287895941766107,448.4901992483109
22,2020-02-13,0,77.30489349925831,269.8461253489916,True,23,0.16581689309033604,448.4901992483109
23,2020-02-14,0,77.30489349925831,269.8461253489916,True,24,0.19243599260281288,448.4901992483109
24,2020-02-15,0,77.30489349925831,269.8461253489916,True,25,0.22332656979217191,448.4901992483109
25,2020-02-16,0,77.30489349925831,269.8461253489916,True,26,0.25917344096370654,448.4901992483109
26,2020-02-17,0,77.30489349925831,269.8461253489916,True,27,0.300771001571017,448.4901992483109
27,2020-02-18,0,77.30489349925831,269.8461253489916,True,28,0.34904068650122244,448.4901992483109
28,2020-02-19,0,77.30489349925831,269.8461253489916,True,29,0.4050511868913664,448.4901992483109
29,2020-02-20,0,77.30489349925831,269.8461253489916,True,30,0.47004184977110397,448.4901992483109
30,2020-02-21,0,77.30489349925831,269.8461253489916,True,31,0.5454497496463951,448.4901992483109
31,2020-02-22,0,77.30489349925831,269.8461253489916,True,32,0.6329409921143353,448.4901992483109
32,2020-02-23,0,77.30489349925831,269.8461253489916,True,33,0.7344468893832573,448.4901992483109
33,2020-02-24,0,77.30489349925831,269.8461253489916,True,34,0.8522057367020245,448.4901992483109
34,2020-02-25,0,77.30489349925831,269.8461253489916,True,35,0.9888110175089247,448.4901992483109
35,2020-02-26,0,77.30489349925831,269.8461253489916,True,36,1.1472669735900862,448.4901992483109
36,2020-02-27,0,77.30489349925831,269.8461253489916,True,37,1.3310525941735671,448.4901992483109
37,2020-02-28,1,77.30489349925831,269.8461253489916,True,38,1.5441952034050324,448.4901992483109
38,2020-02-29,1,77.30489349925831,269.8461253489916,True,39,1.7913549566926943,448.4901992483109
39,2020-03-01,1,77.30489349925831,269.8461253489916,True,40,2.077921689079444,448.4901992483109
40,2020-03-02,1,77.30489349925831,269.8461253489916,True,41,2.410125687084537,448.4901992483109
41,2020-03-03,1,77.30489349925831,269.8461253489916,True,42,2.795164070449802,448.4901992483109
42,2020-03-04,1,77.30489349925831,269.8461253489916,True,43,3.2413445591313934,448.4901992483109
43,2020-03-05,1,77.30489349925831,269.8461253489916,True,44,3.7582484457432863,448.4901992483109
44,2020-03-06,1,77.30489349925831,269.8461253489916,True,45,4.356914569777463,448.4901992483109
45,2020-03-07,1,77.30489349925831,269.8461253489916,True,46,5.050045963891397,448.4901992483109
46,2020-03-08,1,77.30489349925831,269.8461253489916,True,47,5.852240569933069,448.4901992483109
47,2020-03-09,2,77.30489349925831,269.8461253489916,True,48,6.7802469450438645,448.4901992483109
48,2020-03-10,2,77.30489349925831,269.8461253489916,True,49,7.853245121438415,448.4901992483109
49,2020-03-11,2,77.30489349925831,269.8461253489916,True,50,9.093151653178518,448.4901992483109
50,2020-03-12,2,77.30489349925831,269.8461253489916,True,51,10.524946263559988,448.4901992483109
51,2020-03-13,2,77.30489349925831,269.8461253489916,True,52,12.17701525902752,448.4901992483109
52,2020-03-14,2,77.30489349925831,269.8461253489916,True,53,14.081503840230091,448.4901992483109
53,2020-03-15,2,77.30489349925831,269.8461253489916,True,54,16.274665443691415,448.4901992483109
54,2020-03-16,2,77.30489349925831,269.8461253489916,True,55,18.797191113551474,448.4901992483109
55,2020-03-17,3,77.30489349925831,269.8461253489916,True,56,21.694495481187573,448.4901992483109
56,2020-03-18,8,77.30489349925831,269.8461253489916,True,57,25.016928135880157,448.4901992483109
57,2020-03-19,8,77.30489349925831,269.8461253489916,True,58,28.81987004438127,448.4901992483109
58,2020-03-20,12,77.30489349925831,269.8461253489916,True,59,33.16366447962175,448.4901992483109
59,2020-03-21,22,77.30489349925831,269.8461253489916,True,60,38.11332123966836,448.4901992483109
