,Report_Date,Australia_queensland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.1518574888735,575.830365130617,True,1,0.013670283064261766,1120.2553638176805
1,2020-01-23,0,67.1518574888735,575.830365130617,True,2,0.016226865912061014,1120.2553638176805
2,2020-01-24,0,67.1518574888735,575.830365130617,True,3,0.01926156662390661,1120.2553638176805
3,2020-01-25,0,67.1518574888735,575.830365130617,True,4,0.02286379686513954,1120.2553638176805
4,2020-01-26,0,67.1518574888735,575.830365130617,True,5,0.02713968762262942,1120.2553638176805
5,2020-01-27,0,67.1518574888735,575.830365130617,True,6,0.03221521504736125,1120.2553638176805
6,2020-01-28,0,67.1518574888735,575.830365130617,True,7,0.0382399104804339,1120.2553638176805
7,2020-01-29,1,67.1518574888735,575.830365130617,True,8,0.045391263747978014,1120.2553638176805
8,2020-01-30,3,67.1518574888735,575.830365130617,True,9,0.05387994914276215,1120.2553638176805
9,2020-01-31,2,67.1518574888735,575.830365130617,True,10,0.063956027616883,1120.2553638176805
10,2020-02-01,3,67.1518574888735,575.830365130617,True,11,0.0759163072852941,1120.2553638176805
11,2020-02-02,2,67.1518574888735,575.830365130617,True,12,0.09011307820354389,1120.2553638176805
12,2020-02-03,2,67.1518574888735,575.830365130617,True,13,0.10696447750113906,1120.2553638176805
13,2020-02-04,3,67.1518574888735,575.830365130617,True,14,0.12696678846196377,1120.2553638176805
14,2020-02-05,3,67.1518574888735,575.830365130617,True,15,0.1507090333823335,1120.2553638176805
15,2020-02-06,4,67.1518574888735,575.830365130617,True,16,0.17889028657431413,1120.2553638176805
16,2020-02-07,5,67.1518574888735,575.830365130617,True,17,0.2123402125530684,1120.2553638176805
17,2020-02-08,5,67.1518574888735,575.830365130617,True,18,0.2520434273952305,1120.2553638176805
18,2020-02-09,5,67.1518574888735,575.830365130617,True,19,0.299168390973064,1120.2553638176805
19,2020-02-10,5,67.1518574888735,575.830365130617,True,20,0.3551016671427178,1120.2553638176805
20,2020-02-11,5,67.1518574888735,575.830365130617,True,21,0.42148854131880126,1120.2553638176805
21,2020-02-12,5,67.1518574888735,575.830365130617,True,22,0.5002811640054878,1120.2553638176805
22,2020-02-13,5,67.1518574888735,575.830365130617,True,23,0.5937955990914011,1120.2553638176805
23,2020-02-14,5,67.1518574888735,575.830365130617,True,24,0.704779401892979,1120.2553638176805
24,2020-02-15,5,67.1518574888735,575.830365130617,True,25,0.8364916394023859,1120.2553638176805
25,2020-02-16,5,67.1518574888735,575.830365130617,True,26,0.9927975997657175,1120.2553638176805
26,2020-02-17,5,67.1518574888735,575.830365130617,True,27,1.178280825805695,1120.2553638176805
27,2020-02-18,5,67.1518574888735,575.830365130617,True,28,1.3983755546016186,1120.2553638176805
28,2020-02-19,5,67.1518574888735,575.830365130617,True,29,1.6595231576009262,1120.2553638176805
29,2020-02-20,5,67.1518574888735,575.830365130617,True,30,1.969356758329195,1120.2553638176805
30,2020-02-21,5,67.1518574888735,575.830365130617,True,31,2.3369188603829643,1120.2553638176805
31,2020-02-22,5,67.1518574888735,575.830365130617,True,32,2.772917546482838,1120.2553638176805
32,2020-02-23,5,67.1518574888735,575.830365130617,True,33,3.290027603793262,1120.2553638176805
33,2020-02-24,5,67.1518574888735,575.830365130617,True,34,3.9032437766751236,1120.2553638176805
34,2020-02-25,5,67.1518574888735,575.830365130617,True,35,4.630294217711842,1120.2553638176805
35,2020-02-26,5,67.1518574888735,575.830365130617,True,36,5.492123054369545,1120.2553638176805
36,2020-02-27,5,67.1518574888735,575.830365130617,True,37,6.513451737813553,1120.2553638176805
37,2020-02-28,5,67.1518574888735,575.830365130617,True,38,7.723429379511911,1120.2553638176805
38,2020-02-29,9,67.1518574888735,575.830365130617,True,39,9.156382444385128,1120.2553638176805
39,2020-03-01,9,67.1518574888735,575.830365130617,True,40,10.852673718220107,1120.2553638176805
40,2020-03-02,9,67.1518574888735,575.830365130617,True,41,12.859679067590259,1120.2553638176805
41,2020-03-03,11,67.1518574888735,575.830365130617,True,42,15.23288770367949,1120.2553638176805
42,2020-03-04,11,67.1518574888735,575.830365130617,True,43,18.037126831372447,1120.2553638176805
43,2020-03-05,13,67.1518574888735,575.830365130617,True,44,21.347903906362642,1120.2553638176805
44,2020-03-06,13,67.1518574888735,575.830365130617,True,45,25.252848214553232,1120.2553638176805
45,2020-03-07,13,67.1518574888735,575.830365130617,True,46,29.853216884926372,1120.2553638176805
46,2020-03-08,15,67.1518574888735,575.830365130617,True,47,35.265407313457,1120.2553638176805
47,2020-03-09,15,67.1518574888735,575.830365130617,True,48,41.62238679000834,1120.2553638176805
48,2020-03-10,18,67.1518574888735,575.830365130617,True,49,49.074909502363234,1120.2553638176805
49,2020-03-11,20,67.1518574888735,575.830365130617,True,50,57.79234021670478,1120.2553638176805
50,2020-03-12,20,67.1518574888735,575.830365130617,True,51,67.96284320915471,1120.2553638176805
51,2020-03-13,35,67.1518574888735,575.830365130617,True,52,79.79262709873363,1120.2553638176805
52,2020-03-14,46,67.1518574888735,575.830365130617,True,53,93.50386737261672,1120.2553638176805
53,2020-03-15,61,67.1518574888735,575.830365130617,True,54,109.33087011761705,1120.2553638176805
54,2020-03-16,68,67.1518574888735,575.830365130617,True,55,127.51401113758489,1120.2553638176805
55,2020-03-17,78,67.1518574888735,575.830365130617,True,56,148.29101030136232,1120.2553638176805
56,2020-03-18,94,67.1518574888735,575.830365130617,True,57,171.88521434341888,1120.2553638176805
57,2020-03-19,144,67.1518574888735,575.830365130617,True,58,198.49079727661103,1120.2553638176805
58,2020-03-20,184,67.1518574888735,575.830365130617,True,59,228.25517342067153,1120.2553638176805
59,2020-03-21,221,67.1518574888735,575.830365130617,True,60,261.2594581997826,1120.2553638176805
