,Report_Date,MS Zaandam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.54743353409158,13.800571269559452,False,1,0.00031789390961710037,0.007945907692441273
1,2020-01-23,0,81.54743353409158,13.800571269559452,False,2,0.00036609591619119104,0.007945907692441273
2,2020-01-24,0,81.54743353409158,13.800571269559452,False,3,0.0004216066439351232,0.007945907692441273
3,2020-01-25,0,81.54743353409158,13.800571269559452,False,4,0.0004855342552108032,0.007945907692441273
4,2020-01-26,0,81.54743353409158,13.800571269559452,False,5,0.0005591549222059395,0.007945907692441273
5,2020-01-27,0,81.54743353409158,13.800571269559452,False,6,0.0006439382952285951,0.007945907692441273
6,2020-01-28,0,81.54743353409158,13.800571269559452,False,7,0.0007415768304279555,0.007945907692441273
7,2020-01-29,0,81.54743353409158,13.800571269559452,False,8,0.0008540195613801539,0.007945907692441273
8,2020-01-30,0,81.54743353409158,13.800571269559452,False,9,0.0009835109873457945,0.007945907692441273
9,2020-01-31,0,81.54743353409158,13.800571269559452,False,10,0.0011326358526909574,0.007945907692441273
10,2020-02-01,0,81.54743353409158,13.800571269559452,False,11,0.0013043707089585481,0.007945907692441273
11,2020-02-02,0,81.54743353409158,13.800571269559452,False,12,0.0015021432856678946,0.007945907692441273
12,2020-02-03,0,81.54743353409158,13.800571269559452,False,13,0.0017299008507286318,0.007945907692441273
13,2020-02-04,0,81.54743353409158,13.800571269559452,False,14,0.0019921889193833657,0.007945907692441273
14,2020-02-05,0,81.54743353409158,13.800571269559452,False,15,0.0022942418752807756,0.007945907692441273
15,2020-02-06,0,81.54743353409158,13.800571269559452,False,16,0.0026420873025594766,0.007945907692441273
16,2020-02-07,0,81.54743353409158,13.800571269559452,False,17,0.0030426660981867177,0.007945907692441273
17,2020-02-08,0,81.54743353409158,13.800571269559452,False,18,0.003503970744372507,0.007945907692441273
18,2020-02-09,0,81.54743353409158,13.800571269559452,False,19,0.004035204477511675,0.007945907692441273
19,2020-02-10,0,81.54743353409158,13.800571269559452,False,20,0.004646964499439582,0.007945907692441273
20,2020-02-11,0,81.54743353409158,13.800571269559452,False,21,0.005351452846365226,0.007945907692441273
21,2020-02-12,0,81.54743353409158,13.800571269559452,False,22,0.006162719069210969,0.007945907692441273
22,2020-02-13,0,81.54743353409158,13.800571269559452,False,23,0.007096939495886036,0.007945907692441273
23,2020-02-14,0,81.54743353409158,13.800571269559452,False,24,0.008172738552105017,0.007945907692441273
24,2020-02-15,0,81.54743353409158,13.800571269559452,False,25,0.009411558424894932,0.007945907692441273
25,2020-02-16,0,81.54743353409158,13.800571269559452,False,26,0.010838084275476568,0.007945907692441273
26,2020-02-17,0,81.54743353409158,13.800571269559452,False,27,0.012480733260786837,0.007945907692441273
27,2020-02-18,0,81.54743353409158,13.800571269559452,False,28,0.01437221682205958,0.007945907692441273
28,2020-02-19,0,81.54743353409158,13.800571269559452,False,29,0.016550187062612826,0.007945907692441273
29,2020-02-20,0,81.54743353409158,13.800571269559452,False,30,0.019057979584688158,0.007945907692441273
30,2020-02-21,0,81.54743353409158,13.800571269559452,False,31,0.021945466907393733,0.007945907692441273
31,2020-02-22,0,81.54743353409158,13.800571269559452,False,32,0.025270038565818345,0.007945907692441273
32,2020-02-23,0,81.54743353409158,13.800571269559452,False,33,0.029097726216650795,0.007945907692441273
33,2020-02-24,0,81.54743353409158,13.800571269559452,False,34,0.03350449456877508,0.007945907692441273
34,2020-02-25,0,81.54743353409158,13.800571269559452,False,35,0.0385777217367321,0.007945907692441273
35,2020-02-26,0,81.54743353409158,13.800571269559452,False,36,0.044417895694852744,0.007945907692441273
36,2020-02-27,0,81.54743353409158,13.800571269559452,False,37,0.0511405568974983,0.007945907692441273
37,2020-02-28,0,81.54743353409158,13.800571269559452,False,38,0.05887852082259368,0.007945907692441273
38,2020-02-29,0,81.54743353409158,13.800571269559452,False,39,0.06778441817183511,0.007945907692441273
39,2020-03-01,0,81.54743353409158,13.800571269559452,False,40,0.07803359467884802,0.007945907692441273
40,2020-03-02,0,81.54743353409158,13.800571269559452,False,41,0.08982741686091832,0.007945907692441273
41,2020-03-03,0,81.54743353409158,13.800571269559452,False,42,0.1033970344806744,0.007945907692441273
42,2020-03-04,0,81.54743353409158,13.800571269559452,False,43,0.11900765478022003,0.007945907692441273
43,2020-03-05,0,81.54743353409158,13.800571269559452,False,44,0.1369633874489032,0.007945907692441273
44,2020-03-06,0,81.54743353409158,13.800571269559452,False,45,0.15761272241593455,0.007945907692441273
45,2020-03-07,0,81.54743353409158,13.800571269559452,False,46,0.18135470440731016,0.007945907692441273
46,2020-03-08,0,81.54743353409158,13.800571269559452,False,47,0.20864586807633168,0.007945907692441273
47,2020-03-09,0,81.54743353409158,13.800571269559452,False,48,0.24000799447763108,0.007945907692441273
48,2020-03-10,0,81.54743353409158,13.800571269559452,False,49,0.27603674248081306,0.007945907692441273
49,2020-03-11,0,81.54743353409158,13.800571269559452,False,50,0.3174111958225101,0.007945907692441273
50,2020-03-12,0,81.54743353409158,13.800571269559452,False,51,0.3649043458453318,0.007945907692441273
51,2020-03-13,0,81.54743353409158,13.800571269559452,False,52,0.41939449902012965,0.007945907692441273
52,2020-03-14,0,81.54743353409158,13.800571269559452,False,53,0.4818775539543732,0.007945907692441273
53,2020-03-15,0,81.54743353409158,13.800571269559452,False,54,0.5534800309743614,0.007945907692441273
54,2020-03-16,0,81.54743353409158,13.800571269559452,False,55,0.6354726541113456,0.007945907692441273
