,Report_Date,Pakistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.40730967286515,4372.389309329539,False,1,0.11083752650645048,8744.77861865909
1,2020-01-23,0,78.40730967286515,4372.389309329539,False,2,0.12821813371907687,8744.77861865909
2,2020-01-24,0,78.40730967286515,4372.389309329539,False,3,0.14832417511204044,8744.77861865909
3,2020-01-25,0,78.40730967286515,4372.389309329539,False,4,0.17158300743034946,8744.77861865909
4,2020-01-26,0,78.40730967286515,4372.389309329539,False,5,0.19848899302749717,8744.77861865909
5,2020-01-27,0,78.40730967286515,4372.389309329539,False,6,0.2296140039404005,8744.77861865909
6,2020-01-28,0,78.40730967286515,4372.389309329539,False,7,0.2656195720214828,8744.77861865909
7,2020-01-29,0,78.40730967286515,4372.389309329539,False,8,0.3072709428712136,8744.77861865909
8,2020-01-30,0,78.40730967286515,4372.389309329539,False,9,0.3554533316032275,8744.77861865909
9,2020-01-31,0,78.40730967286515,4372.389309329539,False,10,0.41119072503721626,8744.77861865909
10,2020-02-01,0,78.40730967286515,4372.389309329539,False,11,0.4756676287212891,8744.77861865909
11,2020-02-02,0,78.40730967286515,4372.389309329539,False,12,0.5502542193515866,8744.77861865909
12,2020-02-03,0,78.40730967286515,4372.389309329539,False,13,0.6365354349671692,8744.77861865909
13,2020-02-04,0,78.40730967286515,4372.389309329539,False,14,0.7363446182296481,8744.77861865909
14,2020-02-05,0,78.40730967286515,4372.389309329539,False,15,0.8518024238464943,8744.77861865909
15,2020-02-06,0,78.40730967286515,4372.389309329539,False,16,0.9853618117114509,8744.77861865909
16,2020-02-07,0,78.40730967286515,4372.389309329539,False,17,1.1398600748459422,8744.77861865909
17,2020-02-08,0,78.40730967286515,4372.389309329539,False,18,1.3185789982843619,8744.77861865909
18,2020-02-09,0,78.40730967286515,4372.389309329539,False,19,1.5253144145681896,8744.77861865909
19,2020-02-10,0,78.40730967286515,4372.389309329539,False,20,1.7644566168201417,8744.77861865909
20,2020-02-11,0,78.40730967286515,4372.389309329539,False,21,2.0410833152338235,8744.77861865909
21,2020-02-12,0,78.40730967286515,4372.389309329539,False,22,2.361067081511752,8744.77861865909
22,2020-02-13,0,78.40730967286515,4372.389309329539,False,23,2.731199523139736,8744.77861865909
23,2020-02-14,0,78.40730967286515,4372.389309329539,False,24,3.159334770818064,8744.77861865909
24,2020-02-15,0,78.40730967286515,4372.389309329539,False,25,3.6545552539338266,8744.77861865909
25,2020-02-16,0,78.40730967286515,4372.389309329539,False,26,4.22736318737059,8744.77861865909
26,2020-02-17,0,78.40730967286515,4372.389309329539,False,27,4.889901705598019,8744.77861865909
27,2020-02-18,0,78.40730967286515,4372.389309329539,False,28,5.656210164900773,8744.77861865909
28,2020-02-19,0,78.40730967286515,4372.389309329539,False,29,6.54251880041028,8744.77861865909
29,2020-02-20,0,78.40730967286515,4372.389309329539,False,30,7.567588680361819,8744.77861865909
30,2020-02-21,0,78.40730967286515,4372.389309329539,False,31,8.753103755003767,8744.77861865909
31,2020-02-22,0,78.40730967286515,4372.389309329539,False,32,10.124122760995641,8744.77861865909
32,2020-02-23,0,78.40730967286515,4372.389309329539,False,33,11.709599822438069,8744.77861865909
33,2020-02-24,0,78.40730967286515,4372.389309329539,False,34,13.542983793921202,8744.77861865909
34,2020-02-25,0,78.40730967286515,4372.389309329539,False,35,15.66290772363088,8744.77861865909
35,2020-02-26,2,78.40730967286515,4372.389309329539,False,36,18.11398127595095,8744.77861865909
36,2020-02-27,2,78.40730967286515,4372.389309329539,False,37,20.947700537185163,8744.77861865909
37,2020-02-28,2,78.40730967286515,4372.389309329539,False,38,24.223491319786884,8744.77861865909
38,2020-02-29,4,78.40730967286515,4372.389309329539,False,39,28.009903851398647,8744.77861865909
39,2020-03-01,4,78.40730967286515,4372.389309329539,False,40,32.38597853810654,8744.77861865909
40,2020-03-02,4,78.40730967286515,4372.389309329539,False,41,37.44280425412273,8744.77861865909
41,2020-03-03,5,78.40730967286515,4372.389309329539,False,42,43.28529222547016,8744.77861865909
42,2020-03-04,5,78.40730967286515,4372.389309329539,False,43,50.034189889568594,8744.77861865909
43,2020-03-05,5,78.40730967286515,4372.389309329539,False,44,57.82835991088814,8744.77861865909
44,2020-03-06,6,78.40730967286515,4372.389309329539,False,45,66.82734951985263,8744.77861865909
45,2020-03-07,6,78.40730967286515,4372.389309329539,False,46,77.2142741195307,8744.77861865909
46,2020-03-08,6,78.40730967286515,4372.389309329539,False,47,89.19903614316485,8744.77861865909
47,2020-03-09,6,78.40730967286515,4372.389309329539,False,48,103.02189475336156,8744.77861865909
48,2020-03-10,16,78.40730967286515,4372.389309329539,False,49,118.95739326090548,8744.77861865909
49,2020-03-11,19,78.40730967286515,4372.389309329539,False,50,137.3186379835936,8744.77861865909
50,2020-03-12,20,78.40730967286515,4372.389309329539,False,51,158.46190327258424,8744.77861865909
51,2020-03-13,28,78.40730967286515,4372.389309329539,False,52,182.79151092784184,8744.77861865909
52,2020-03-14,31,78.40730967286515,4372.389309329539,False,53,210.76489624513115,8744.77861865909
53,2020-03-15,53,78.40730967286515,4372.389309329539,False,54,242.89772529145327,8744.77861865909
54,2020-03-16,136,78.40730967286515,4372.389309329539,False,55,279.7688663908251,8744.77861865909
55,2020-03-17,236,78.40730967286515,4372.389309329539,False,56,322.0249410419372,8744.77861865909
56,2020-03-18,299,78.40730967286515,4372.389309329539,False,57,370.38408393594773,8744.77861865909
