,Report_Date,UK_falkland islands (malvinas)_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,89.29408818892364,1.9599414765544487,False,1,0.00683782175169638,0.015007574475285184
1,2020-01-23,0,89.29408818892364,1.9599414765544487,False,2,0.007346715927894665,0.015007574475285184
2,2020-01-24,0,89.29408818892364,1.9599414765544487,False,3,0.007893407357400566,0.015007574475285184
3,2020-01-25,0,89.29408818892364,1.9599414765544487,False,4,0.008480691576587531,0.015007574475285184
4,2020-01-26,0,89.29408818892364,1.9599414765544487,False,5,0.009111569064425779,0.015007574475285184
5,2020-01-27,0,89.29408818892364,1.9599414765544487,False,6,0.009789259986139371,0.015007574475285184
6,2020-01-28,0,89.29408818892364,1.9599414765544487,False,7,0.010517219954036752,0.015007574475285184
7,2020-01-29,0,89.29408818892364,1.9599414765544487,False,8,0.011299156868884707,0.015007574475285184
8,2020-01-30,0,89.29408818892364,1.9599414765544487,False,9,0.01213904890804741,0.015007574475285184
9,2020-01-31,0,89.29408818892364,1.9599414765544487,False,10,0.013041163729399905,0.015007574475285184
10,2020-02-01,0,89.29408818892364,1.9599414765544487,False,11,0.014010078962704883,0.015007574475285184
11,2020-02-02,0,89.29408818892364,1.9599414765544487,False,12,0.015050704062659664,0.015007574475285184
12,2020-02-03,0,89.29408818892364,1.9599414765544487,False,13,0.016168303600113818,0.015007574475285184
13,2020-02-04,0,89.29408818892364,1.9599414765544487,False,14,0.017368522069952257,0.015007574475285184
14,2020-02-05,0,89.29408818892364,1.9599414765544487,False,15,0.018657410295746007,0.015007574475285184
15,2020-02-06,0,89.29408818892364,1.9599414765544487,False,16,0.020041453512390405,0.015007574475285184
16,2020-02-07,0,89.29408818892364,1.9599414765544487,False,17,0.02152760120845852,0.015007574475285184
17,2020-02-08,0,89.29408818892364,1.9599414765544487,False,18,0.023123298809756627,0.015007574475285184
18,2020-02-09,0,89.29408818892364,1.9599414765544487,False,19,0.024836521284417906,0.015007574475285184
19,2020-02-10,0,89.29408818892364,1.9599414765544487,False,20,0.02667580874762465,0.015007574475285184
20,2020-02-11,0,89.29408818892364,1.9599414765544487,False,21,0.02865030414049534,0.015007574475285184
21,2020-02-12,0,89.29408818892364,1.9599414765544487,False,22,0.030769793052567305,0.015007574475285184
22,2020-02-13,0,89.29408818892364,1.9599414765544487,False,23,0.03304474575037181,0.015007574475285184
23,2020-02-14,0,89.29408818892364,1.9599414765544487,False,24,0.035486361465520734,0.015007574475285184
24,2020-02-15,0,89.29408818892364,1.9599414765544487,False,25,0.0381066149841488,0.015007574475285184
25,2020-02-16,0,89.29408818892364,1.9599414765544487,False,26,0.040918305565080824,0.015007574475285184
26,2020-02-17,0,89.29408818892364,1.9599414765544487,False,27,0.04393510819627419,0.015007574475285184
27,2020-02-18,0,89.29408818892364,1.9599414765544487,False,28,0.047171627177423375,0.015007574475285184
28,2020-02-19,0,89.29408818892364,1.9599414765544487,False,29,0.050643451990552917,0.015007574475285184
29,2020-02-20,0,89.29408818892364,1.9599414765544487,False,30,0.054367215389360804,0.015007574475285184
30,2020-02-21,0,89.29408818892364,1.9599414765544487,False,31,0.058360653601340066,0.015007574475285184
31,2020-02-22,0,89.29408818892364,1.9599414765544487,False,32,0.06264266849357991,0.015007574475285184
