,Report_Date,Namibia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.3989059670963,10.168750658937055,True,1,0.0002406539749664052,19.613557371266523
1,2020-01-23,0,68.3989059670963,10.168750658937055,True,2,0.00028476898141691916,19.613557371266523
2,2020-01-24,0,68.3989059670963,10.168750658937055,True,3,0.00033697070884786736,19.613557371266523
3,2020-01-25,0,68.3989059670963,10.168750658937055,True,4,0.00039874148029872926,19.613557371266523
4,2020-01-26,0,68.3989059670963,10.168750658937055,True,5,0.00047183531212373537,19.613557371266523
5,2020-01-27,0,68.3989059670963,10.168750658937055,True,6,0.000558327703762522,19.613557371266523
6,2020-01-28,0,68.3989059670963,10.168750658937055,True,7,0.0006606745484094441,19.613557371266523
7,2020-01-29,0,68.3989059670963,10.168750658937055,True,8,0.0007817818340465177,19.613557371266523
8,2020-01-30,0,68.3989059670963,10.168750658937055,True,9,0.0009250881093284772,19.613557371266523
9,2020-01-31,0,68.3989059670963,10.168750658937055,True,10,0.0010946620493413252,19.613557371266523
10,2020-02-01,0,68.3989059670963,10.168750658937055,True,11,0.0012953178823113041,19.613557371266523
11,2020-02-02,0,68.3989059670963,10.168750658937055,True,12,0.001532751941703425,19.613557371266523
12,2020-02-03,0,68.3989059670963,10.168750658937055,True,13,0.0018137042026708592,19.613557371266523
13,2020-02-04,0,68.3989059670963,10.168750658937055,True,14,0.0021461493637644105,19.613557371266523
14,2020-02-05,0,68.3989059670963,10.168750658937055,True,15,0.0025395228632546516,19.613557371266523
15,2020-02-06,0,68.3989059670963,10.168750658937055,True,16,0.0030049881966749538,19.613557371266523
16,2020-02-07,0,68.3989059670963,10.168750658937055,True,17,0.0035557530543217615,19.613557371266523
17,2020-02-08,0,68.3989059670963,10.168750658937055,True,18,0.004207443154800062,19.613557371266523
18,2020-02-09,0,68.3989059670963,10.168750658937055,True,19,0.004978544248512836,19.613557371266523
19,2020-02-10,0,68.3989059670963,10.168750658937055,True,20,0.005890924644008566,19.613557371266523
20,2020-02-11,0,68.3989059670963,10.168750658937055,True,21,0.006970452817209543,19.613557371266523
21,2020-02-12,0,68.3989059670963,10.168750658937055,True,22,0.008247727252379357,19.613557371266523
