,Report_Date,Timor-Leste_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,62.214314766808556,0.596411838484505,True,1,1.4352857782258993e-05,1.1828101358469447
1,2020-01-23,0,62.214314766808556,0.596411838484505,True,2,1.7270490635580147e-05,1.1828101358469447
2,2020-01-24,0,62.214314766808556,0.596411838484505,True,3,2.0781206294370153e-05,1.1828101358469447
3,2020-01-25,0,62.214314766808556,0.596411838484505,True,4,2.500555923871942e-05,1.1828101358469447
4,2020-01-26,0,62.214314766808556,0.596411838484505,True,5,3.0088606688058146e-05,1.1828101358469447
5,2020-01-27,0,62.214314766808556,0.596411838484505,True,6,3.620488786301218e-05,1.1828101358469447
6,2020-01-28,0,62.214314766808556,0.596411838484505,True,7,4.3564414679526724e-05,1.1828101358469447
7,2020-01-29,0,62.214314766808556,0.596411838484505,True,8,5.2419879140213936e-05,1.1828101358469447
8,2020-01-30,0,62.214314766808556,0.596411838484505,True,9,6.307532426191208e-05,1.1828101358469447
9,2020-01-31,0,62.214314766808556,0.596411838484505,True,10,7.589657533541298e-05,1.1828101358469447
10,2020-02-01,0,62.214314766808556,0.596411838484505,True,11,9.132378832675569e-05,1.1828101358469447
11,2020-02-02,0,62.214314766808556,0.596411838484505,True,12,0.00010988654429946438,1.1828101358469447
12,2020-02-03,0,62.214314766808556,0.596411838484505,True,13,0.0001322220052505027,1.1828101358469447
13,2020-02-04,0,62.214314766808556,0.596411838484505,True,14,0.00015909675055300674,1.1828101358469447
14,2020-02-05,0,62.214314766808556,0.596411838484505,True,15,0.00019143303766620674,1.1828101358469447
15,2020-02-06,0,62.214314766808556,0.596411838484505,True,16,0.000230340379914842,1.1828101358469447
16,2020-02-07,0,62.214314766808556,0.596411838484505,True,17,0.000277153512692549,1.1828101358469447
17,2020-02-08,0,62.214314766808556,0.596411838484505,True,18,0.0003334780329797184,1.1828101358469447
18,2020-02-09,0,62.214314766808556,0.596411838484505,True,19,0.00040124525211244507,1.1828101358469447
19,2020-02-10,0,62.214314766808556,0.596411838484505,True,20,0.00048277810588809805,1.1828101358469447
20,2020-02-11,0,62.214314766808556,0.596411838484505,True,21,0.0005808703281054546,1.1828101358469447
21,2020-02-12,0,62.214314766808556,0.596411838484505,True,22,0.0006988815235137526,1.1828101358469447
22,2020-02-13,0,62.214314766808556,0.596411838484505,True,23,0.0008408512851396221,1.1828101358469447
23,2020-02-14,0,62.214314766808556,0.596411838484505,True,24,0.0010116361014948078,1.1828101358469447
24,2020-02-15,0,62.214314766808556,0.596411838484505,True,25,0.0012170735045769505,1.1828101358469447
25,2020-02-16,0,62.214314766808556,0.596411838484505,True,26,0.001464178733598658,1.1828101358469447
26,2020-02-17,0,62.214314766808556,0.596411838484505,True,27,0.0017613801452430829,1.1828101358469447
27,2020-02-18,0,62.214314766808556,0.596411838484505,True,28,0.0021188007001446373,1.1828101358469447
28,2020-02-19,0,62.214314766808556,0.596411838484505,True,29,0.002548594103989748,1.1828101358469447
29,2020-02-20,0,62.214314766808556,0.596411838484505,True,30,0.0030653455787336766,1.1828101358469447
30,2020-02-21,0,62.214314766808556,0.596411838484505,True,31,0.0036865487698168847,1.1828101358469447
31,2020-02-22,0,62.214314766808556,0.596411838484505,True,32,0.004433171921871854,1.1828101358469447
32,2020-02-23,0,62.214314766808556,0.596411838484505,True,33,0.005330328107324706,1.1828101358469447
33,2020-02-24,0,62.214314766808556,0.596411838484505,True,34,0.006408065847825163,1.1828101358469447
34,2020-02-25,0,62.214314766808556,0.596411838484505,True,35,0.0077022977314690514,1.1828101358469447
35,2020-02-26,0,62.214314766808556,0.596411838484505,True,36,0.009255885296407796,1.1828101358469447
36,2020-02-27,0,62.214314766808556,0.596411838484505,True,37,0.011119898070760447,1.1828101358469447
37,2020-02-28,0,62.214314766808556,0.596411838484505,True,38,0.013355062570907905,1.1828101358469447
38,2020-02-29,0,62.214314766808556,0.596411838484505,True,39,0.016033412331114584,1.1828101358469447
39,2020-03-01,0,62.214314766808556,0.596411838484505,True,40,0.019240141376877535,1.1828101358469447
40,2020-03-02,0,62.214314766808556,0.596411838484505,True,41,0.023075649232118165,1.1828101358469447
41,2020-03-03,0,62.214314766808556,0.596411838484505,True,42,0.027657743326044367,1.1828101358469447
42,2020-03-04,0,62.214314766808556,0.596411838484505,True,43,0.03312393176934124,1.1828101358469447
43,2020-03-05,0,62.214314766808556,0.596411838484505,True,44,0.03963369269489408,1.1828101358469447
44,2020-03-06,0,62.214314766808556,0.596411838484505,True,45,0.04737054237027941,1.1828101358469447
45,2020-03-07,0,62.214314766808556,0.596411838484505,True,46,0.0565436402975015,1.1828101358469447
46,2020-03-08,0,62.214314766808556,0.596411838484505,True,47,0.06738856451663955,1.1828101358469447
47,2020-03-09,0,62.214314766808556,0.596411838484505,True,48,0.08016676714577092,1.1828101358469447
48,2020-03-10,0,62.214314766808556,0.596411838484505,True,49,0.09516308847149707,1.1828101358469447
49,2020-03-11,0,62.214314766808556,0.596411838484505,True,50,0.11268058804712733,1.1828101358469447
50,2020-03-12,0,62.214314766808556,0.596411838484505,True,51,0.1330318786136096,1.1828101358469447
51,2020-03-13,0,62.214314766808556,0.596411838484505,True,52,0.156526176487155,1.1828101358469447
52,2020-03-14,0,62.214314766808556,0.596411838484505,True,53,0.18345148019078505,1.1828101358469447
53,2020-03-15,0,62.214314766808556,0.596411838484505,True,54,0.21405173393987906,1.1828101358469447
54,2020-03-16,0,62.214314766808556,0.596411838484505,True,55,0.24849958355955806,1.1828101358469447
