,Report_Date,Belarus_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,89.73766969095034,2073.374958710371,False,22,0.7833860575568266,4146.749917420741
22,2020-02-13,0,89.73766969095034,2073.374958710371,False,23,0.889070898067578,4146.749917420741
23,2020-02-14,0,89.73766969095034,2073.374958710371,False,24,1.0090099713676752,4146.749917420741
24,2020-02-15,0,89.73766969095034,2073.374958710371,False,25,1.1451248164324315,4146.749917420741
25,2020-02-16,0,89.73766969095034,2073.374958710371,False,26,1.2995957171356025,4146.749917420741
26,2020-02-17,0,89.73766969095034,2073.374958710371,False,27,1.4748964606797508,4146.749917420741
27,2020-02-18,0,89.73766969095034,2073.374958710371,False,28,1.6738337414185949,4146.749917420741
28,2020-02-19,0,89.73766969095034,2073.374958710371,False,29,1.899591824033818,4146.749917420741
29,2020-02-20,0,89.73766969095034,2073.374958710371,False,30,2.155783159182236,4146.749917420741
30,2020-02-21,0,89.73766969095034,2073.374958710371,False,31,2.446505733506681,4146.749917420741
31,2020-02-22,0,89.73766969095034,2073.374958710371,False,32,2.7764080353028664,4146.749917420741
32,2020-02-23,0,89.73766969095034,2073.374958710371,False,33,3.1507626282016954,4146.749917420741
33,2020-02-24,0,89.73766969095034,2073.374958710371,False,34,3.575549449040902,4146.749917420741
34,2020-02-25,0,89.73766969095034,2073.374958710371,False,35,4.057550083746456,4146.749917420741
35,2020-02-26,0,89.73766969095034,2073.374958710371,False,36,4.604454427575874,4146.749917420741
36,2020-02-27,0,89.73766969095034,2073.374958710371,False,37,5.224981304459971,4146.749917420741
37,2020-02-28,1,89.73766969095034,2073.374958710371,False,38,5.92901480522466,4146.749917420741
38,2020-02-29,1,89.73766969095034,2073.374958710371,False,39,6.727758306728179,4146.749917420741
39,2020-03-01,1,89.73766969095034,2073.374958710371,False,40,7.63390835356448,4146.749917420741
40,2020-03-02,1,89.73766969095034,2073.374958710371,False,41,8.661850820539746,4146.749917420741
41,2020-03-03,1,89.73766969095034,2073.374958710371,False,42,9.827882026396177,4146.749917420741
42,2020-03-04,6,89.73766969095034,2073.374958710371,False,43,11.150457734891276,4146.749917420741
43,2020-03-05,6,89.73766969095034,2073.374958710371,False,44,12.65047325448783,4146.749917420741
44,2020-03-06,6,89.73766969095034,2073.374958710371,False,45,14.35157812670087,4146.749917420741
45,2020-03-07,6,89.73766969095034,2073.374958710371,False,46,16.280529167056667,4146.749917420741
46,2020-03-08,6,89.73766969095034,2073.374958710371,False,47,18.46758587965223,4146.749917420741
47,2020-03-09,6,89.73766969095034,2073.374958710371,False,48,20.946952489991777,4146.749917420741
48,2020-03-10,9,89.73766969095034,2073.374958710371,False,49,23.757271008924555,4146.749917420741
49,2020-03-11,9,89.73766969095034,2073.374958710371,False,50,26.942169823669516,4146.749917420741
50,2020-03-12,12,89.73766969095034,2073.374958710371,False,51,30.550872271553242,4146.749917420741
51,2020-03-13,27,89.73766969095034,2073.374958710371,False,52,34.63886943840174,4146.749917420741
52,2020-03-14,27,89.73766969095034,2073.374958710371,False,53,39.26866097290711,4146.749917420741
53,2020-03-15,27,89.73766969095034,2073.374958710371,False,54,44.51056694045901,4146.749917420741
54,2020-03-16,36,89.73766969095034,2073.374958710371,False,55,50.44361255481291,4146.749917420741
55,2020-03-17,36,89.73766969095034,2073.374958710371,False,56,57.15648590046148,4146.749917420741
56,2020-03-18,51,89.73766969095034,2073.374958710371,False,57,64.74856634349395,4146.749917420741
57,2020-03-19,51,89.73766969095034,2073.374958710371,False,58,73.33101804637249,4146.749917420741
58,2020-03-20,69,89.73766969095034,2073.374958710371,False,59,83.02793864513633,4146.749917420741
59,2020-03-21,76,89.73766969095034,2073.374958710371,False,60,93.97754748049604,4146.749917420741
60,2020-03-22,76,89.73766969095034,2073.374958710371,False,61,106.33339053846916,4146.749917420741
61,2020-03-23,81,89.73766969095034,2073.374958710371,False,62,120.26553018107957,4146.749917420741
62,2020-03-24,81,89.73766969095034,2073.374958710371,False,63,135.96167657050856,4146.749917420741
63,2020-03-25,86,89.73766969095034,2073.374958710371,False,64,153.62820418791273,4146.749917420741
64,2020-03-26,86,89.73766969095034,2073.374958710371,False,65,173.49098088531693,4146.749917420741
65,2020-03-27,94,89.73766969095034,2073.374958710371,False,66,195.7959185054513,4146.749917420741
66,2020-03-28,94,89.73766969095034,2073.374958710371,False,67,220.80913352783128,4146.749917420741
67,2020-03-29,94,89.73766969095034,2073.374958710371,False,68,248.81658408436854,4146.749917420741
68,2020-03-30,152,89.73766969095034,2073.374958710371,False,69,280.12302718070015,4146.749917420741
69,2020-03-31,152,89.73766969095034,2073.374958710371,False,70,315.0501188823615,4146.749917420741
70,2020-04-01,163,89.73766969095034,2073.374958710371,False,71,353.93346324168004,4146.749917420741
71,2020-04-02,304,89.73766969095034,2073.374958710371,False,72,397.1184064949589,4146.749917420741
72,2020-04-03,351,89.73766969095034,2073.374958710371,False,73,444.95437623194834,4146.749917420741
73,2020-04-04,440,89.73766969095034,2073.374958710371,False,74,497.7875864635429,4146.749917420741
74,2020-04-05,562,89.73766969095034,2073.374958710371,False,75,555.9519750479725,4146.749917420741
75,2020-04-06,700,89.73766969095034,2073.374958710371,False,76,619.7583160080159,4146.749917420741
76,2020-04-07,861,89.73766969095034,2073.374958710371,False,77,689.4815610030067,4146.749917420741
77,2020-04-08,1066,89.73766969095034,2073.374958710371,False,78,765.34661410349,4146.749917420741
