,Report_Date,Belarus_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,89.73766969095034,2073.374958710371,False,1,0.05490955951991919,4146.749917420741
1,2020-01-23,0,89.73766969095034,2073.374958710371,False,2,0.06231876117546482,4146.749917420741
2,2020-01-24,0,89.73766969095034,2073.374958710371,False,3,0.07072770373805054,4146.749917420741
3,2020-01-25,0,89.73766969095034,2073.374958710371,False,4,0.08027127967398905,4146.749917420741
4,2020-01-26,0,89.73766969095034,2073.374958710371,False,5,0.09110258072761789,4146.749917420741
5,2020-01-27,0,89.73766969095034,2073.374958710371,False,6,0.10339535290444066,4146.749917420741
6,2020-01-28,0,89.73766969095034,2073.374958710371,False,7,0.11734678250063885,4146.749917420741
7,2020-01-29,0,89.73766969095034,2073.374958710371,False,8,0.13318065778562943,4146.749917420741
8,2020-01-30,0,89.73766969095034,2073.374958710371,False,9,0.15115095694509967,4146.749917420741
9,2020-01-31,0,89.73766969095034,2073.374958710371,False,10,0.17154591969714794,4146.749917420741
10,2020-02-01,0,89.73766969095034,2073.374958710371,False,11,0.19469266771083918,4146.749917420741
11,2020-02-02,0,89.73766969095034,2073.374958710371,False,12,0.22096244770567075,4146.749917420741
12,2020-02-03,0,89.73766969095034,2073.374958710371,False,13,0.25077658102895317,4146.749917420741
13,2020-02-04,0,89.73766969095034,2073.374958710371,False,14,0.2846132147504758,4146.749917420741
14,2020-02-05,0,89.73766969095034,2073.374958710371,False,15,0.32301498205451534,4146.749917420741
15,2020-02-06,0,89.73766969095034,2073.374958710371,False,16,0.3665976941450566,4146.749917420741
16,2020-02-07,0,89.73766969095034,2073.374958710371,False,17,0.4160602022328424,4146.749917420741
17,2020-02-08,0,89.73766969095034,2073.374958710371,False,18,0.4721955866923118,4146.749917420741
18,2020-02-09,0,89.73766969095034,2073.374958710371,False,19,0.5359038514435193,4146.749917420741
19,2020-02-10,0,89.73766969095034,2073.374958710371,False,20,0.6082063253442547,4146.749917420741
20,2020-02-11,0,89.73766969095034,2073.374958710371,False,21,0.6902619992246642,4146.749917420741
