,Report_Date,UK_channel islands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.38645007960301,569.1680684784249,False,1,0.01307274023586914,1138.3361369568495
1,2020-01-23,0,83.38645007960301,569.1680684784249,False,2,0.015008109250290143,1138.3361369568495
2,2020-01-24,0,83.38645007960301,569.1680684784249,False,3,0.017229997881797837,1138.3361369568495
3,2020-01-25,0,83.38645007960301,569.1680684784249,False,4,0.01978082223871725,1138.3361369568495
4,2020-01-26,0,83.38645007960301,569.1680684784249,False,5,0.02270927723359637,1138.3361369568495
5,2020-01-27,0,83.38645007960301,569.1680684784249,False,6,0.026071265887380922,1138.3361369568495
6,2020-01-28,0,83.38645007960301,569.1680684784249,False,7,0.02993096613234303,1138.3361369568495
7,2020-01-29,0,83.38645007960301,569.1680684784249,False,8,0.03436205544381169,1138.3361369568495
8,2020-01-30,0,83.38645007960301,569.1680684784249,False,9,0.03944911663219032,1138.3361369568495
9,2020-01-31,0,83.38645007960301,569.1680684784249,False,10,0.04528925156987437,1138.3361369568495
10,2020-02-01,0,83.38645007960301,569.1680684784249,False,11,0.05199393357704517,1138.3361369568495
11,2020-02-02,0,83.38645007960301,569.1680684784249,False,12,0.059691133719744376,1138.3361369568495
12,2020-02-03,0,83.38645007960301,569.1680684784249,False,13,0.06852776146753403,1138.3361369568495
13,2020-02-04,0,83.38645007960301,569.1680684784249,False,14,0.07867246611285458,1138.3361369568495
14,2020-02-05,0,83.38645007960301,569.1680684784249,False,15,0.09031885218000696,1138.3361369568495
15,2020-02-06,0,83.38645007960301,569.1680684784249,False,16,0.10368916987408751,1138.3361369568495
16,2020-02-07,0,83.38645007960301,569.1680684784249,False,17,0.11903855058231336,1138.3361369568495
17,2020-02-08,0,83.38645007960301,569.1680684784249,False,18,0.13665986770487845,1138.3361369568495
18,2020-02-09,0,83.38645007960301,569.1680684784249,False,19,0.15688931484494129,1138.3361369568495
19,2020-02-10,0,83.38645007960301,569.1680684784249,False,20,0.18011280683769648,1138.3361369568495
20,2020-02-11,0,83.38645007960301,569.1680684784249,False,21,0.2067733244847579,1138.3361369568495
21,2020-02-12,0,83.38645007960301,569.1680684784249,False,22,0.23737934145135023,1138.3361369568495
22,2020-02-13,0,83.38645007960301,569.1680684784249,False,23,0.2725144918833876,1138.3361369568495
23,2020-02-14,0,83.38645007960301,569.1680684784249,False,24,0.3128486602503784,1138.3361369568495
24,2020-02-15,0,83.38645007960301,569.1680684784249,False,25,0.3591507011000207,1138.3361369568495
25,2020-02-16,0,83.38645007960301,569.1680684784249,False,26,0.4123030262470786,1138.3361369568495
26,2020-02-17,0,83.38645007960301,569.1680684784249,False,27,0.4733183308847901,1138.3361369568495
27,2020-02-18,0,83.38645007960301,569.1680684784249,False,28,0.5433587687219065,1138.3361369568495
28,2020-02-19,0,83.38645007960301,569.1680684784249,False,29,0.6237579300811973,1138.3361369568495
29,2020-02-20,0,83.38645007960301,569.1680684784249,False,30,0.7160460265611822,1138.3361369568495
30,2020-02-21,0,83.38645007960301,569.1680684784249,False,31,0.821978742019255,1138.3361369568495
31,2020-02-22,0,83.38645007960301,569.1680684784249,False,32,0.9435702729713166,1138.3361369568495
32,2020-02-23,0,83.38645007960301,569.1680684784249,False,33,1.0831311527284908,1138.3361369568495
33,2020-02-24,0,83.38645007960301,569.1680684784249,False,34,1.2433115334079812,1138.3361369568495
34,2020-02-25,0,83.38645007960301,569.1680684784249,False,35,1.4271506890251489,1138.3361369568495
35,2020-02-26,0,83.38645007960301,569.1680684784249,False,36,1.6381336017704855,1138.3361369568495
36,2020-02-27,0,83.38645007960301,569.1680684784249,False,37,1.880255602711941,1138.3361369568495
37,2020-02-28,0,83.38645007960301,569.1680684784249,False,38,2.1580961576974635,1138.3361369568495
38,2020-02-29,0,83.38645007960301,569.1680684784249,False,39,2.4769030189345536,1138.3361369568495
39,2020-03-01,0,83.38645007960301,569.1680684784249,False,40,2.8426881017971093,1138.3361369568495
40,2020-03-02,0,83.38645007960301,569.1680684784249,False,41,3.26233659325694,1138.3361369568495
41,2020-03-03,0,83.38645007960301,569.1680684784249,False,42,3.743730950244044,1138.3361369568495
42,2020-03-04,0,83.38645007960301,569.1680684784249,False,43,4.295891598967887,1138.3361369568495
43,2020-03-05,0,83.38645007960301,569.1680684784249,False,44,4.929136293487823,1138.3361369568495
44,2020-03-06,0,83.38645007960301,569.1680684784249,False,45,5.655260224575399,1138.3361369568495
