,Report_Date,Central African Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.56066863408729,12.243047587009997,False,1,0.008378562650737708,0.06206299632328049
1,2020-01-23,0,85.56066863408729,12.243047587009997,False,2,0.009207429963687397,0.06206299632328049
2,2020-01-24,0,85.56066863408729,12.243047587009997,False,3,0.010118260861541719,0.06206299632328049
3,2020-01-25,0,85.56066863408729,12.243047587009997,False,4,0.011119153379003188,0.06206299632328049
4,2020-01-26,0,85.56066863408729,12.243047587009997,False,5,0.012219004178852346,0.06206299632328049
5,2020-01-27,0,85.56066863408729,12.243047587009997,False,6,0.013427587009313464,0.06206299632328049
6,2020-01-28,0,85.56066863408729,12.243047587009997,False,7,0.014755638806072393,0.06206299632328049
7,2020-01-29,0,85.56066863408729,12.243047587009997,False,8,0.01621495417070299,0.06206299632328049
8,2020-01-30,0,85.56066863408729,12.243047587009997,False,9,0.01781848902455926,0.06206299632328049
9,2020-01-31,0,85.56066863408729,12.243047587009997,False,10,0.019580474310098954,0.06206299632328049
10,2020-02-01,0,85.56066863408729,12.243047587009997,False,11,0.021516540690460998,0.06206299632328049
11,2020-02-02,0,85.56066863408729,12.243047587009997,False,12,0.02364385528325374,0.06206299632328049
12,2020-02-03,0,85.56066863408729,12.243047587009997,False,13,0.02598127155623353,0.06206299632328049
13,2020-02-04,0,85.56066863408729,12.243047587009997,False,14,0.02854949361114273,0.06206299632328049
14,2020-02-05,0,85.56066863408729,12.243047587009997,False,15,0.03137125618766327,0.06206299632328049
15,2020-02-06,0,85.56066863408729,12.243047587009997,False,16,0.03447152183239103,0.06206299632328049
16,2020-02-07,0,85.56066863408729,12.243047587009997,False,17,0.03787769679802046,0.06206299632328049
17,2020-02-08,0,85.56066863408729,12.243047587009997,False,18,0.04161986736550051,0.06206299632328049
18,2020-02-09,0,85.56066863408729,12.243047587009997,False,19,0.04573105841657741,0.06206299632328049
19,2020-02-10,0,85.56066863408729,12.243047587009997,False,20,0.050247516225469545,0.06206299632328049
20,2020-02-11,0,85.56066863408729,12.243047587009997,False,21,0.0552090175857614,0.06206299632328049
21,2020-02-12,0,85.56066863408729,12.243047587009997,False,22,0.06065920754097108,0.06206299632328049
22,2020-02-13,0,85.56066863408729,12.243047587009997,False,23,0.06664596814325248,0.06206299632328049
23,2020-02-14,0,85.56066863408729,12.243047587009997,False,24,0.07322182082245234,0.06206299632328049
24,2020-02-15,0,85.56066863408729,12.243047587009997,False,25,0.08044436510476191,0.06206299632328049
25,2020-02-16,0,85.56066863408729,12.243047587009997,False,26,0.08837675657323894,0.06206299632328049
26,2020-02-17,0,85.56066863408729,12.243047587009997,False,27,0.0970882271073846,0.06206299632328049
27,2020-02-18,0,85.56066863408729,12.243047587009997,False,28,0.10665465057049875,0.06206299632328049
28,2020-02-19,0,85.56066863408729,12.243047587009997,False,29,0.11715915722515295,0.06206299632328049
29,2020-02-20,0,85.56066863408729,12.243047587009997,False,30,0.12869280024068927,0.06206299632328049
30,2020-02-21,0,85.56066863408729,12.243047587009997,False,31,0.1413552777021824,0.06206299632328049
31,2020-02-22,0,85.56066863408729,12.243047587009997,False,32,0.1552557135256004,0.06206299632328049
32,2020-02-23,0,85.56066863408729,12.243047587009997,False,33,0.17051350061418127,0.06206299632328049
33,2020-02-24,0,85.56066863408729,12.243047587009997,False,34,0.18725920943850738,0.06206299632328049
34,2020-02-25,0,85.56066863408729,12.243047587009997,False,35,0.20563556496610946,0.06206299632328049
35,2020-02-26,0,85.56066863408729,12.243047587009997,False,36,0.2257984944803558,0.06206299632328049
36,2020-02-27,0,85.56066863408729,12.243047587009997,False,37,0.24791824828299927,0.06206299632328049
37,2020-02-28,0,85.56066863408729,12.243047587009997,False,38,0.27218059453505017,0.06206299632328049
38,2020-02-29,0,85.56066863408729,12.243047587009997,False,39,0.2987880885158935,0.06206299632328049
39,2020-03-01,0,85.56066863408729,12.243047587009997,False,40,0.3279614153238121,0.06206299632328049
40,2020-03-02,0,85.56066863408729,12.243047587009997,False,41,0.3599408034486883,0.06206299632328049
41,2020-03-03,0,85.56066863408729,12.243047587009997,False,42,0.394987504659017,0.06206299632328049
42,2020-03-04,0,85.56066863408729,12.243047587009997,False,43,0.43338533319288436,0.06206299632328049
43,2020-03-05,0,85.56066863408729,12.243047587009997,False,44,0.47544225425194164,0.06206299632328049
44,2020-03-06,0,85.56066863408729,12.243047587009997,False,45,0.521492008188532,0.06206299632328049
45,2020-03-07,0,85.56066863408729,12.243047587009997,False,46,0.5718957524645967,0.06206299632328049
46,2020-03-08,0,85.56066863408729,12.243047587009997,False,47,0.6270436983607203,0.06206299632328049
47,2020-03-09,0,85.56066863408729,12.243047587009997,False,48,0.6873567134405788,0.06206299632328049
48,2020-03-10,0,85.56066863408729,12.243047587009997,False,49,0.7532878538535751,0.06206299632328049
49,2020-03-11,0,85.56066863408729,12.243047587009997,False,50,0.8253237826248042,0.06206299632328049
50,2020-03-12,0,85.56066863408729,12.243047587009997,False,51,0.9039860210996522,0.06206299632328049
51,2020-03-13,0,85.56066863408729,12.243047587009997,False,52,0.9898319706805113,0.06206299632328049
52,2020-03-14,0,85.56066863408729,12.243047587009997,False,53,1.0834556309688403,0.06206299632328049
53,2020-03-15,1,85.56066863408729,12.243047587009997,False,54,1.1854879285332662,0.06206299632328049
54,2020-03-16,1,85.56066863408729,12.243047587009997,False,55,1.2965965579856218,0.06206299632328049
55,2020-03-17,1,85.56066863408729,12.243047587009997,False,56,1.4174852242058915,0.06206299632328049
56,2020-03-18,1,85.56066863408729,12.243047587009997,False,57,1.5488921619094804,0.06206299632328049
57,2020-03-19,1,85.56066863408729,12.243047587009997,False,58,1.6915877969729993,0.06206299632328049
58,2020-03-20,3,85.56066863408729,12.243047587009997,False,59,1.8463714039152617,0.06206299632328049
59,2020-03-21,3,85.56066863408729,12.243047587009997,False,60,2.014066606790262,0.06206299632328049
60,2020-03-22,3,85.56066863408729,12.243047587009997,False,61,2.195515567858644,0.06206299632328049
61,2020-03-23,3,85.56066863408729,12.243047587009997,False,62,2.3915717113793606,0.06206299632328049
62,2020-03-24,3,85.56066863408729,12.243047587009997,False,63,2.6030908405371713,0.06206299632328049
63,2020-03-25,3,85.56066863408729,12.243047587009997,False,64,2.8309205258832444,0.06206299632328049
64,2020-03-26,3,85.56066863408729,12.243047587009997,False,65,3.075887675752863,0.06206299632328049
65,2020-03-27,3,85.56066863408729,12.243047587009997,False,66,3.33878424486191,0.06206299632328049
66,2020-03-28,3,85.56066863408729,12.243047587009997,False,67,3.620351098266116,0.06206299632328049
67,2020-03-29,3,85.56066863408729,12.243047587009997,False,68,3.921260125074861,0.06206299632328049
68,2020-03-30,3,85.56066863408729,12.243047587009997,False,69,4.242094789778404,0.06206299632328049
69,2020-03-31,3,85.56066863408729,12.243047587009997,False,70,4.583329417495066,0.06206299632328049
70,2020-04-01,3,85.56066863408729,12.243047587009997,False,71,4.9453076299183465,0.06206299632328049
71,2020-04-02,3,85.56066863408729,12.243047587009997,False,72,5.328220476306154,0.06206299632328049
72,2020-04-03,8,85.56066863408729,12.243047587009997,False,73,5.732084931402447,0.06206299632328049
73,2020-04-04,8,85.56066863408729,12.243047587009997,False,74,6.156723550467688,0.06206299632328049
74,2020-04-05,8,85.56066863408729,12.243047587009997,False,75,6.601746169526774,0.06206299632328049
75,2020-04-06,8,85.56066863408729,12.243047587009997,False,76,7.066534604232808,0.06206299632328049
76,2020-04-07,8,85.56066863408729,12.243047587009997,False,77,7.5502313209249206,0.06206299632328049
77,2020-04-08,8,85.56066863408729,12.243047587009997,False,78,8.051733017245217,0.06206299632328049
