,Report_Date,Romania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.64357051874285,5500.475812081095,False,1,0.12711738297863523,11000.951624162188
1,2020-01-23,0,79.64357051874285,5500.475812081095,False,2,0.1468871720119071,11000.951624162188
2,2020-01-24,0,79.64357051874285,5500.475812081095,False,3,0.1697315879681531,11000.951624162188
3,2020-01-25,0,79.64357051874285,5500.475812081095,False,4,0.19612878548508772,11000.951624162188
4,2020-01-26,0,79.64357051874285,5500.475812081095,False,5,0.22663127471466507,11000.951624162188
5,2020-01-27,0,79.64357051874285,5500.475812081095,False,6,0.26187748220213575,11000.951624162188
6,2020-01-28,0,79.64357051874285,5500.475812081095,False,7,0.30260510866445534,11000.951624162188
7,2020-01-29,0,79.64357051874285,5500.475812081095,False,8,0.34966656275798635,11000.951624162188
8,2020-01-30,0,79.64357051874285,5500.475812081095,False,9,0.4040467932056383,11000.951624162188
9,2020-01-31,0,79.64357051874285,5500.475812081095,False,10,0.46688389162292043,11000.951624162188
10,2020-02-01,0,79.64357051874285,5500.475812081095,False,11,0.5394928960670868,11000.951624162188
11,2020-02-02,0,79.64357051874285,5500.475812081095,False,12,0.6233932919147641,11000.951624162188
12,2020-02-03,0,79.64357051874285,5500.475812081095,False,13,0.7203407835096937,11000.951624162188
13,2020-02-04,0,79.64357051874285,5500.475812081095,False,14,0.8323639986749154,11000.951624162188
14,2020-02-05,0,79.64357051874285,5500.475812081095,False,15,0.9618068904459043,11000.951624162188
15,2020-02-06,0,79.64357051874285,5500.475812081095,False,16,1.1113777183097882,11000.951624162188
16,2020-02-07,0,79.64357051874285,5500.475812081095,False,17,1.284205627187714,11000.951624162188
17,2020-02-08,0,79.64357051874285,5500.475812081095,False,18,1.4839059990695342,11000.951624162188
18,2020-02-09,0,79.64357051874285,5500.475812081095,False,19,1.7146559326829707,11000.951624162188
19,2020-02-10,0,79.64357051874285,5500.475812081095,False,20,1.981281414365804,11000.951624162188
20,2020-02-11,0,79.64357051874285,5500.475812081095,False,21,2.289357982405173,11000.951624162188
21,2020-02-12,0,79.64357051874285,5500.475812081095,False,22,2.645326962045646,11000.951624162188
22,2020-02-13,0,79.64357051874285,5500.475812081095,False,23,3.0566296642732307,11000.951624162188
23,2020-02-14,0,79.64357051874285,5500.475812081095,False,24,3.5318623041297164,11000.951624162188
24,2020-02-15,0,79.64357051874285,5500.475812081095,False,25,4.0809548101732895,11000.951624162188
25,2020-02-16,0,79.64357051874285,5500.475812081095,False,26,4.715377172992241,11000.951624162188
26,2020-02-17,0,79.64357051874285,5500.475812081095,False,27,5.448377525383399,11000.951624162188
27,2020-02-18,0,79.64357051874285,5500.475812081095,False,28,6.295256768684131,11000.951624162188
28,2020-02-19,0,79.64357051874285,5500.475812081095,False,29,7.273685268294848,11000.951624162188
29,2020-02-20,0,79.64357051874285,5500.475812081095,False,30,8.40406794679795,11000.951624162188
30,2020-02-21,0,79.64357051874285,5500.475812081095,False,31,9.709965015902046,11000.951624162188
31,2020-02-22,0,79.64357051874285,5500.475812081095,False,32,11.218576619552776,11000.951624162188
32,2020-02-23,0,79.64357051874285,5500.475812081095,False,33,12.961300820553609,11000.951624162188
33,2020-02-24,0,79.64357051874285,5500.475812081095,False,34,14.974375661641789,11000.951624162188
34,2020-02-25,0,79.64357051874285,5500.475812081095,False,35,17.299617477039426,11000.951624162188
35,2020-02-26,1,79.64357051874285,5500.475812081095,False,36,19.985269226735568,11000.951624162188
36,2020-02-27,1,79.64357051874285,5500.475812081095,False,37,23.086974372779437,11000.951624162188
37,2020-02-28,3,79.64357051874285,5500.475812081095,False,38,26.668893706662317,11000.951624162188
38,2020-02-29,3,79.64357051874285,5500.475812081095,False,39,30.804984550269072,11000.951624162188
39,2020-03-01,3,79.64357051874285,5500.475812081095,False,40,35.580463854857264,11000.951624162188
40,2020-03-02,3,79.64357051874285,5500.475812081095,False,41,41.09347885591452,11000.951624162188
41,2020-03-03,3,79.64357051874285,5500.475812081095,False,42,47.45701101901753,11000.951624162188
42,2020-03-04,4,79.64357051874285,5500.475812081095,False,43,54.801040904340724,11000.951624162188
43,2020-03-05,6,79.64357051874285,5500.475812081095,False,44,63.27500310172938,11000.951624162188
44,2020-03-06,9,79.64357051874285,5500.475812081095,False,45,73.05056128837953,11000.951624162188
45,2020-03-07,9,79.64357051874285,5500.475812081095,False,46,84.32473338708171,11000.951624162188
46,2020-03-08,15,79.64357051874285,5500.475812081095,False,47,97.32339528370552,11000.951624162188
47,2020-03-09,15,79.64357051874285,5500.475812081095,False,48,112.30518797432278,11000.951624162188
48,2020-03-10,25,79.64357051874285,5500.475812081095,False,49,129.56584654162086,11000.951624162188
49,2020-03-11,45,79.64357051874285,5500.475812081095,False,50,149.44295896331354,11000.951624162188
50,2020-03-12,49,79.64357051874285,5500.475812081095,False,51,172.32114711659978,11000.951624162188
51,2020-03-13,89,79.64357051874285,5500.475812081095,False,52,198.63763983799223,11000.951624162188
52,2020-03-14,123,79.64357051874285,5500.475812081095,False,53,228.8881765705315,11000.951624162188
53,2020-03-15,131,79.64357051874285,5500.475812081095,False,54,263.63313769703905,11000.951624162188
54,2020-03-16,158,79.64357051874285,5500.475812081095,False,55,303.5037415646534,11000.951624162188
55,2020-03-17,184,79.64357051874285,5500.475812081095,False,56,349.20807576798285,11000.951624162188
56,2020-03-18,260,79.64357051874285,5500.475812081095,False,57,401.5366389294011,11000.951624162188
