,Report_Date,China_guangxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,13.216600811328792,126.41070291231496,True,1,16.00239790050163,252.82138847493675
1,2020-01-23,5,13.216600811328792,126.41070291231496,True,2,19.64463906173301,252.82138847493675
2,2020-01-24,23,13.216600811328792,126.41070291231496,True,3,24.03175177507506,252.82138847493675
3,2020-01-25,23,13.216600811328792,126.41070291231496,True,4,29.275602351765507,252.82138847493675
4,2020-01-26,36,13.216600811328792,126.41070291231496,True,5,35.48621230181581,252.82138847493675
5,2020-01-27,46,13.216600811328792,126.41070291231496,True,6,42.76232576286286,252.82138847493675
6,2020-01-28,51,13.216600811328792,126.41070291231496,True,7,51.17901910090705,252.82138847493675
7,2020-01-29,58,13.216600811328792,126.41070291231496,True,8,60.773045697689305,252.82138847493675
8,2020-01-30,78,13.216600811328792,126.41070291231496,True,9,71.52759785528302,252.82138847493675
9,2020-01-31,87,13.216600811328792,126.41070291231496,True,10,83.35923297561561,252.82138847493675
10,2020-02-01,100,13.216600811328792,126.41070291231496,True,11,96.11044426882879,252.82138847493675
11,2020-02-02,111,13.216600811328792,126.41070291231496,True,12,109.55123220432957,252.82138847493675
12,2020-02-03,127,13.216600811328792,126.41070291231496,True,13,123.3916659910032,252.82138847493675
13,2020-02-04,139,13.216600811328792,126.41070291231496,True,14,137.30490397692378,252.82138847493675
14,2020-02-05,150,13.216600811328792,126.41070291231496,True,15,150.95720867250958,252.82138847493675
15,2020-02-06,168,13.216600811328792,126.41070291231496,True,16,164.039312574962,252.82138847493675
16,2020-02-07,172,13.216600811328792,126.41070291231496,True,17,176.29305268842518,252.82138847493675
17,2020-02-08,183,13.216600811328792,126.41070291231496,True,18,187.52870273009964,252.82138847493675
18,2020-02-09,195,13.216600811328792,126.41070291231496,True,19,197.63118777568417,252.82138847493675
19,2020-02-10,210,13.216600811328792,126.41070291231496,True,20,206.55619167557768,252.82138847493675
20,2020-02-11,215,13.216600811328792,126.41070291231496,True,21,214.3190829930343,252.82138847493675
21,2020-02-12,222,13.216600811328792,126.41070291231496,True,22,220.98022084158987,252.82138847493675
22,2020-02-13,222,13.216600811328792,126.41070291231496,True,23,226.6297763339634,252.82138847493675
23,2020-02-14,226,13.216600811328792,126.41070291231496,True,24,231.3742231087729,252.82138847493675
24,2020-02-15,235,13.216600811328792,126.41070291231496,True,25,235.32559127894876,252.82138847493675
25,2020-02-16,237,13.216600811328792,126.41070291231496,True,26,238.5937360849848,252.82138847493675
26,2020-02-17,238,13.216600811328792,126.41070291231496,True,27,241.28134208691122,252.82138847493675
27,2020-02-18,242,13.216600811328792,126.41070291231496,True,28,243.4811340459177,252.82138847493675
28,2020-02-19,244,13.216600811328792,126.41070291231496,True,29,245.27471248870535,252.82138847493675
29,2020-02-20,245,13.216600811328792,126.41070291231496,True,30,246.73248961102317,252.82138847493675
30,2020-02-21,246,13.216600811328792,126.41070291231496,True,31,247.91430508445762,252.82138847493675
31,2020-02-22,249,13.216600811328792,126.41070291231496,True,32,248.8704117083741,252.82138847493675
32,2020-02-23,249,13.216600811328792,126.41070291231496,True,33,249.64261775457055,252.82138847493675
33,2020-02-24,251,13.216600811328792,126.41070291231496,True,34,250.26544923847212,252.82138847493675
34,2020-02-25,252,13.216600811328792,126.41070291231496,True,35,250.76725122842117,252.82138847493675
35,2020-02-26,252,13.216600811328792,126.41070291231496,True,36,251.1711858033774,252.82138847493675
36,2020-02-27,252,13.216600811328792,126.41070291231496,True,37,251.4961093684252,252.82138847493675
37,2020-02-28,252,13.216600811328792,126.41070291231496,True,38,251.7573274545512,252.82138847493675
38,2020-02-29,252,13.216600811328792,126.41070291231496,True,39,251.96723389806914,252.82138847493675
39,2020-03-01,252,13.216600811328792,126.41070291231496,True,40,252.13584570147648,252.82138847493675
40,2020-03-02,252,13.216600811328792,126.41070291231496,True,41,252.2712465506798,252.82138847493675
41,2020-03-03,252,13.216600811328792,126.41070291231496,True,42,252.37995201576896,252.82138847493675
42,2020-03-04,252,13.216600811328792,126.41070291231496,True,43,252.46720862520837,252.82138847493675
43,2020-03-05,252,13.216600811328792,126.41070291231496,True,44,252.5372377398379,252.82138847493675
44,2020-03-06,252,13.216600811328792,126.41070291231496,True,45,252.59343374501535,252.82138847493675
45,2020-03-07,252,13.216600811328792,126.41070291231496,True,46,252.63852468868564,252.82138847493675
46,2020-03-08,252,13.216600811328792,126.41070291231496,True,47,252.67470220599589,252.82138847493675
47,2020-03-09,252,13.216600811328792,126.41070291231496,True,48,252.70372642613825,252.82138847493675
48,2020-03-10,252,13.216600811328792,126.41070291231496,True,49,252.72701056533754,252.82138847493675
49,2020-03-11,252,13.216600811328792,126.41070291231496,True,50,252.74568906665718,252.82138847493675
50,2020-03-12,252,13.216600811328792,126.41070291231496,True,51,252.7606724399322,252.82138847493675
51,2020-03-13,252,13.216600811328792,126.41070291231496,True,52,252.77269136768598,252.82138847493675
52,2020-03-14,252,13.216600811328792,126.41070291231496,True,53,252.78233215870034,252.82138847493675
53,2020-03-15,252,13.216600811328792,126.41070291231496,True,54,252.7900652341568,252.82138847493675
54,2020-03-16,252,13.216600811328792,126.41070291231496,True,55,252.79626800761153,252.82138847493675
55,2020-03-17,253,13.216600811328792,126.41070291231496,True,56,252.80124325697605,252.82138847493675
56,2020-03-18,253,13.216600811328792,126.41070291231496,True,57,252.80523387339852,252.82138847493675
57,2020-03-19,253,13.216600811328792,126.41070291231496,True,58,252.80843469942332,252.82138847493675
