,Report_Date,Philippines_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.47493187155115,4641.828840515184,False,1,0.10730674415431768,9283.657681030367
1,2020-01-23,0,79.47493187155115,4641.828840515184,False,2,0.1240335446017834,9283.657681030367
2,2020-01-24,0,79.47493187155115,4641.828840515184,False,3,0.1433676511848292,9283.657681030367
3,2020-01-25,0,79.47493187155115,4641.828840515184,False,4,0.165715466727986,9283.657681030367
4,2020-01-26,0,79.47493187155115,4641.828840515184,False,5,0.19154673583121268,9283.657681030367
5,2020-01-27,0,79.47493187155115,4641.828840515184,False,6,0.22140441576459563,9283.657681030367
6,2020-01-28,0,79.47493187155115,4641.828840515184,False,7,0.25591608508493147,9283.657681030367
7,2020-01-29,0,79.47493187155115,4641.828840515184,False,8,0.29580712935320097,9283.657681030367
8,2020-01-30,1,79.47493187155115,4641.828840515184,False,9,0.3419159805383482,9283.657681030367
9,2020-01-31,1,79.47493187155115,4641.828840515184,False,10,0.3952117296626168,9283.657681030367
10,2020-02-01,1,79.47493187155115,4641.828840515184,False,11,0.4568144818631873,9283.657681030367
11,2020-02-02,2,79.47493187155115,4641.828840515184,False,12,0.5280188803342654,9283.657681030367
12,2020-02-03,2,79.47493187155115,4641.828840515184,False,13,0.6103212917469187,9283.657681030367
13,2020-02-04,2,79.47493187155115,4641.828840515184,False,14,0.7054512220703801,9283.657681030367
14,2020-02-05,2,79.47493187155115,4641.828840515184,False,15,0.8154076197883419,9283.657681030367
15,2020-02-06,2,79.47493187155115,4641.828840515184,False,16,0.9425008250957323,9283.657681030367
16,2020-02-07,3,79.47493187155115,4641.828840515184,False,17,1.0894010408142278,9283.657681030367
17,2020-02-08,3,79.47493187155115,4641.828840515184,False,18,1.2591943358116224,9283.657681030367
18,2020-02-09,3,79.47493187155115,4641.828840515184,False,19,1.4554473473171294,9283.657681030367
19,2020-02-10,3,79.47493187155115,4641.828840515184,False,20,1.6822820277321275,9283.657681030367
20,2020-02-11,3,79.47493187155115,4641.828840515184,False,21,1.9444619878029687,9283.657681030367
21,2020-02-12,3,79.47493187155115,4641.828840515184,False,22,2.247492225274247,9283.657681030367
