,Report_Date,China_hainan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,13.515486200126594,84.34084901583714,True,1,8.502633905084924,168.68169367918983
1,2020-01-23,5,13.515486200126594,84.34084901583714,True,2,10.609185664183743,168.68169367918983
2,2020-01-24,8,13.515486200126594,84.34084901583714,True,3,13.194650088180431,168.68169367918983
3,2020-01-25,19,13.515486200126594,84.34084901583714,True,4,16.34504207209681,168.68169367918983
4,2020-01-26,22,13.515486200126594,84.34084901583714,True,5,20.15015058861132,168.68169367918983
5,2020-01-27,33,13.515486200126594,84.34084901583714,True,6,24.697470566770537,168.68169367918983
6,2020-01-28,40,13.515486200126594,84.34084901583714,True,7,30.063285571507343,168.68169367918983
7,2020-01-29,43,13.515486200126594,84.34084901583714,True,8,36.300971456539834,168.68169367918983
8,2020-01-30,46,13.515486200126594,84.34084901583714,True,9,43.42741938030241,168.68169367918983
9,2020-01-31,52,13.515486200126594,84.34084901583714,True,10,51.40959079680311,168.68169367918983
10,2020-02-01,62,13.515486200126594,84.34084901583714,True,11,60.154308649163035,168.68169367918983
11,2020-02-02,64,13.515486200126594,84.34084901583714,True,12,69.50490085575751,168.68169367918983
12,2020-02-03,72,13.515486200126594,84.34084901583714,True,13,79.24763168290005,168.68169367918983
13,2020-02-04,80,13.515486200126594,84.34084901583714,True,14,89.12872508730584,168.68169367918983
14,2020-02-05,99,13.515486200126594,84.34084901583714,True,15,98.87969621216313,168.68169367918983
15,2020-02-06,106,13.515486200126594,84.34084901583714,True,16,108.24590149586201,168.68169367918983
16,2020-02-07,117,13.515486200126594,84.34084901583714,True,17,117.0120575857016,168.68169367918983
17,2020-02-08,124,13.515486200126594,84.34084901583714,True,18,125.01957300214585,168.68169367918983
18,2020-02-09,131,13.515486200126594,84.34084901583714,True,19,132.1733099696818,168.68169367918983
19,2020-02-10,138,13.515486200126594,84.34084901583714,True,20,138.4384943757407,168.68169367918983
20,2020-02-11,144,13.515486200126594,84.34084901583714,True,21,143.830664858951,168.68169367918983
21,2020-02-12,157,13.515486200126594,84.34084901583714,True,22,148.4022766632545,168.68169367918983
22,2020-02-13,157,13.515486200126594,84.34084901583714,True,23,152.2290923891018,168.68169367918983
23,2020-02-14,159,13.515486200126594,84.34084901583714,True,24,155.39840871776266,168.68169367918983
24,2020-02-15,162,13.515486200126594,84.34084901583714,True,25,158.0000486217792,168.68169367918983
25,2020-02-16,162,13.515486200126594,84.34084901583714,True,26,160.12020942817287,168.68169367918983
26,2020-02-17,163,13.515486200126594,84.34084901583714,True,27,161.8377757533727,168.68169367918983
27,2020-02-18,163,13.515486200126594,84.34084901583714,True,28,163.22251971363357,168.68169367918983
28,2020-02-19,168,13.515486200126594,84.34084901583714,True,29,164.33461155757533,168.68169367918983
29,2020-02-20,168,13.515486200126594,84.34084901583714,True,30,165.22495642245255,168.68169367918983
30,2020-02-21,168,13.515486200126594,84.34084901583714,True,31,165.93599284571818,168.68169367918983
31,2020-02-22,168,13.515486200126594,84.34084901583714,True,32,166.50270107605428,168.68169367918983
32,2020-02-23,168,13.515486200126594,84.34084901583714,True,33,166.95365991142899,168.68169367918983
33,2020-02-24,168,13.515486200126594,84.34084901583714,True,34,167.31205734494316,168.68169367918983
34,2020-02-25,168,13.515486200126594,84.34084901583714,True,35,167.59660577933028,168.68169367918983
35,2020-02-26,168,13.515486200126594,84.34084901583714,True,36,167.82234175180417,168.68169367918983
36,2020-02-27,168,13.515486200126594,84.34084901583714,True,37,168.00130763574882,168.68169367918983
37,2020-02-28,168,13.515486200126594,84.34084901583714,True,38,168.1431224549299,168.68169367918983
38,2020-02-29,168,13.515486200126594,84.34084901583714,True,39,168.25545358750867,168.68169367918983
39,2020-03-01,168,13.515486200126594,84.34084901583714,True,40,168.34440272580727,168.68169367918983
40,2020-03-02,168,13.515486200126594,84.34084901583714,True,41,168.41481930665415,168.68169367918983
41,2020-03-03,168,13.515486200126594,84.34084901583714,True,42,168.47055357314838,168.68169367918983
