,Report_Date,China_shanghai_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,9,23.86494324588126,251.59355080221417,True,1,116.61748741016812,486.31980108455355
1,2020-01-23,16,23.86494324588126,251.59355080221417,True,2,121.37901778638847,486.31980108455355
2,2020-01-24,20,23.86494324588126,251.59355080221417,True,3,126.27145816058076,486.31980108455355
3,2020-01-25,33,23.86494324588126,251.59355080221417,True,4,131.2932870495301,486.31980108455355
4,2020-01-26,40,23.86494324588126,251.59355080221417,True,5,136.44253692901847,486.31980108455355
5,2020-01-27,53,23.86494324588126,251.59355080221417,True,6,141.71678060173505,486.31980108455355
6,2020-01-28,66,23.86494324588126,251.59355080221417,True,7,147.11312027182606,486.31980108455355
7,2020-01-29,96,23.86494324588126,251.59355080221417,True,8,152.62817963676167,486.31980108455355
8,2020-01-30,112,23.86494324588126,251.59355080221417,True,9,158.2580992875034,486.31980108455355
9,2020-01-31,135,23.86494324588126,251.59355080221417,True,10,163.99853568100613,486.31980108455355
10,2020-02-01,169,23.86494324588126,251.59355080221417,True,11,169.8446639148385,486.31980108455355
11,2020-02-02,182,23.86494324588126,251.59355080221417,True,12,175.79118449232035,486.31980108455355
12,2020-02-03,203,23.86494324588126,251.59355080221417,True,13,181.83233421845125,486.31980108455355
13,2020-02-04,219,23.86494324588126,251.59355080221417,True,14,187.961901312666,486.31980108455355
14,2020-02-05,243,23.86494324588126,251.59355080221417,True,15,194.17324476497842,486.31980108455355
15,2020-02-06,257,23.86494324588126,251.59355080221417,True,16,200.4593178984451,486.31980108455355
16,2020-02-07,277,23.86494324588126,251.59355080221417,True,17,206.8126960344163,486.31980108455355
17,2020-02-08,286,23.86494324588126,251.59355080221417,True,18,213.2256080892035,486.31980108455355
18,2020-02-09,293,23.86494324588126,251.59355080221417,True,19,219.68997186321133,486.31980108455355
19,2020-02-10,299,23.86494324588126,251.59355080221417,True,20,226.19743271793843,486.31980108455355
20,2020-02-11,303,23.86494324588126,251.59355080221417,True,21,232.73940527429087,486.31980108455355
21,2020-02-12,311,23.86494324588126,251.59355080221417,True,22,239.30711770904284,486.31980108455355
22,2020-02-13,315,23.86494324588126,251.59355080221417,True,23,245.89165817663746,486.31980108455355
23,2020-02-14,318,23.86494324588126,251.59355080221417,True,24,252.48402284225767,486.31980108455355
24,2020-02-15,326,23.86494324588126,251.59355080221417,True,25,259.0751649804402,486.31980108455355
