,Report_Date,Guyana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,89.88211065581348,65.69913102618149,False,1,0.02320314047223356,26.434737911088806
1,2020-01-23,0,89.88211065581348,65.69913102618149,False,2,0.0255719017805283,26.434737911088806
2,2020-01-24,0,89.88211065581348,65.69913102618149,False,3,0.02818243322637707,26.434737911088806
3,2020-01-25,0,89.88211065581348,65.69913102618149,False,4,0.031059400203759,26.434737911088806
4,2020-01-26,0,89.88211065581348,65.69913102618149,False,5,0.034229982081991545,26.434737911088806
5,2020-01-27,0,89.88211065581348,65.69913102618149,False,6,0.0377241279255232,26.434737911088806
6,2020-01-28,0,89.88211065581348,65.69913102618149,False,7,0.04157483811534104,26.434737911088806
7,2020-01-29,0,89.88211065581348,65.69913102618149,False,8,0.045818474471903285,26.434737911088806
8,2020-01-30,0,89.88211065581348,65.69913102618149,False,9,0.050495101735385114,26.434737911088806
9,2020-01-31,0,89.88211065581348,65.69913102618149,False,10,0.05564886353898031,26.434737911088806
10,2020-02-01,0,89.88211065581348,65.69913102618149,False,11,0.06132839631705907,26.434737911088806
11,2020-02-02,0,89.88211065581348,65.69913102618149,False,12,0.06758728492427618,26.434737911088806
12,2020-02-03,0,89.88211065581348,65.69913102618149,False,13,0.0744845641064993,26.434737911088806
13,2020-02-04,0,89.88211065581348,65.69913102618149,False,14,0.08208527036201986,26.434737911088806
14,2020-02-05,0,89.88211065581348,65.69913102618149,False,15,0.09046104916433309,26.434737911088806
15,2020-02-06,0,89.88211065581348,65.69913102618149,False,16,0.0996908229882856,26.434737911088806
16,2020-02-07,0,89.88211065581348,65.69913102618149,False,17,0.10986152609206787,26.434737911088806
17,2020-02-08,0,89.88211065581348,65.69913102618149,False,18,0.12106891256080698,26.434737911088806
18,2020-02-09,0,89.88211065581348,65.69913102618149,False,19,0.13341844471573455,26.434737911088806
19,2020-02-10,0,89.88211065581348,65.69913102618149,False,20,0.14702626963822255,26.434737911088806
20,2020-02-11,0,89.88211065581348,65.69913102618149,False,21,0.16202029225227135,26.434737911088806
21,2020-02-12,0,89.88211065581348,65.69913102618149,False,22,0.17854135415375455,26.434737911088806
22,2020-02-13,0,89.88211065581348,65.69913102618149,False,23,0.19674452817075472,26.434737911088806
23,2020-02-14,0,89.88211065581348,65.69913102618149,False,24,0.216800539486742,26.434737911088806
24,2020-02-15,0,89.88211065581348,65.69913102618149,False,25,0.23889732505620853,26.434737911088806
25,2020-02-16,0,89.88211065581348,65.69913102618149,False,26,0.26324174398834754,26.434737911088806
26,2020-02-17,0,89.88211065581348,65.69913102618149,False,27,0.2900614525644064,26.434737911088806
27,2020-02-18,0,89.88211065581348,65.69913102618149,False,28,0.31960695858216537,26.434737911088806
28,2020-02-19,0,89.88211065581348,65.69913102618149,False,29,0.352153870777532,26.434737911088806
29,2020-02-20,0,89.88211065581348,65.69913102618149,False,30,0.3880053601459614,26.434737911088806
30,2020-02-21,0,89.88211065581348,65.69913102618149,False,31,0.4274948510584465,26.434737911088806
31,2020-02-22,0,89.88211065581348,65.69913102618149,False,32,0.47098896111602967,26.434737911088806
32,2020-02-23,0,89.88211065581348,65.69913102618149,False,33,0.518890709684519,26.434737911088806
33,2020-02-24,0,89.88211065581348,65.69913102618149,False,34,0.5716430159608153,26.434737911088806
34,2020-02-25,0,89.88211065581348,65.69913102618149,False,35,0.62973250819792,26.434737911088806
35,2020-02-26,0,89.88211065581348,65.69913102618149,False,36,0.6936936662997528,26.434737911088806
36,2020-02-27,0,89.88211065581348,65.69913102618149,False,37,0.7641133203181478,26.434737911088806
37,2020-02-28,0,89.88211065581348,65.69913102618149,False,38,0.8416355273553167,26.434737911088806
38,2020-02-29,0,89.88211065581348,65.69913102618149,False,39,0.9269668488889451,26.434737911088806
39,2020-03-01,0,89.88211065581348,65.69913102618149,False,40,1.0208820494647246,26.434737911088806
40,2020-03-02,0,89.88211065581348,65.69913102618149,False,41,1.1242302358871321,26.434737911088806
41,2020-03-03,0,89.88211065581348,65.69913102618149,False,42,1.237941453298085,26.434737911088806
42,2020-03-04,0,89.88211065581348,65.69913102618149,False,43,1.3630337506447743,26.434737911088806
