,Report_Date,UK_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.38180566232498,94640.0394218193,False,1,2.1730266280448616,189280.07884363885
1,2020-01-23,0,83.38180566232498,94640.0394218193,False,2,2.4947637795125397,189280.07884363885
2,2020-01-24,0,83.38180566232498,94640.0394218193,False,3,2.864136439409767,189280.07884363885
3,2020-01-25,0,83.38180566232498,94640.0394218193,False,4,3.28819715946832,189280.07884363885
4,2020-01-26,0,83.38180566232498,94640.0394218193,False,5,3.775042565776379,189280.07884363885
5,2020-01-27,0,83.38180566232498,94640.0394218193,False,6,4.3339679025191415,189280.07884363885
6,2020-01-28,0,83.38180566232498,94640.0394218193,False,7,4.975644443887504,189280.07884363885
7,2020-01-29,0,83.38180566232498,94640.0394218193,False,8,5.712323155660912,189280.07884363885
8,2020-01-30,0,83.38180566232498,94640.0394218193,False,9,6.558068487246098,189280.07884363885
9,2020-01-31,2,83.38180566232498,94640.0394218193,False,10,7.529026747709034,189280.07884363885
10,2020-02-01,2,83.38180566232498,94640.0394218193,False,11,8.64373417631167,189280.07884363885
11,2020-02-02,2,83.38180566232498,94640.0394218193,False,12,9.923470571541571,189280.07884363885
12,2020-02-03,2,83.38180566232498,94640.0394218193,False,13,11.392665206645267,189280.07884363885
13,2020-02-04,2,83.38180566232498,94640.0394218193,False,14,13.079362750289736,189280.07884363885
14,2020-02-05,2,83.38180566232498,94640.0394218193,False,15,15.015758046499874,189280.07884363885
15,2020-02-06,2,83.38180566232498,94640.0394218193,False,16,17.23880990934863,189280.07884363885
16,2020-02-07,3,83.38180566232498,94640.0394218193,False,17,19.790945578822985,189280.07884363885
17,2020-02-08,3,83.38180566232498,94640.0394218193,False,18,22.720869191957092,189280.07884363885
18,2020-02-09,3,83.38180566232498,94640.0394218193,False,19,26.084489578522724,189280.07884363885
19,2020-02-10,8,83.38180566232498,94640.0394218193,False,20,29.945984928262256,189280.07884363885
20,2020-02-11,8,83.38180566232498,94640.0394218193,False,21,34.37902443644872,189280.07884363885
21,2020-02-12,9,83.38180566232498,94640.0394218193,False,22,39.46816996123277,189280.07884363885
