,Report_Date,Denmark_faroe islands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,61.652179871879724,100.92272490931941,True,1,0.002432841761751443,200.38310637343423
1,2020-01-23,0,61.652179871879724,100.92272490931941,True,2,0.00293233052085334,200.38310637343423
2,2020-01-24,0,61.652179871879724,100.92272490931941,True,3,0.0035343679354901767,200.38310637343423
3,2020-01-25,0,61.652179871879724,100.92272490931941,True,4,0.004260007173434765,200.38310637343423
4,2020-01-26,0,61.652179871879724,100.92272490931941,True,5,0.005134623235065503,200.38310637343423
5,2020-01-27,0,61.652179871879724,100.92272490931941,True,6,0.006188799980359562,200.38310637343423
6,2020-01-28,0,61.652179871879724,100.92272490931941,True,7,0.007459399136729547,200.38310637343423
7,2020-01-29,0,61.652179871879724,100.92272490931941,True,8,0.008990848588391663,200.38310637343423
8,2020-01-30,0,61.652179871879724,100.92272490931941,True,9,0.01083669487801479,200.38310637343423
9,2020-01-31,0,61.652179871879724,100.92272490931941,True,10,0.013061474035218852,200.38310637343423
10,2020-02-01,0,61.652179871879724,100.92272490931941,True,11,0.015742965897286052,200.38310637343423
11,2020-02-02,0,61.652179871879724,100.92272490931941,True,12,0.01897491038012972,200.38310637343423
12,2020-02-03,0,61.652179871879724,100.92272490931941,True,13,0.02287028014021735,200.38310637343423
13,2020-02-04,0,61.652179871879724,100.92272490931941,True,14,0.0275652232753373,200.38310637343423
14,2020-02-05,0,61.652179871879724,100.92272490931941,True,15,0.03322381278015936,200.38310637343423
15,2020-02-06,0,61.652179871879724,100.92272490931941,True,16,0.0400437671568362,200.38310637343423
16,2020-02-07,0,61.652179871879724,100.92272490931941,True,17,0.048263339775057805,200.38310637343423
17,2020-02-08,0,61.652179871879724,100.92272490931941,True,18,0.058169614332720436,200.38310637343423
18,2020-02-09,0,61.652179871879724,100.92272490931941,True,19,0.07010849132121624,200.38310637343423
19,2020-02-10,0,61.652179871879724,100.92272490931941,True,20,0.08449670718388291,200.38310637343423
20,2020-02-11,0,61.652179871879724,100.92272490931941,True,21,0.10183629552865299,200.38310637343423
21,2020-02-12,0,61.652179871879724,100.92272490931941,True,22,0.12273198020565003,200.38310637343423
22,2020-02-13,0,61.652179871879724,100.92272490931941,True,23,0.1479120854098187,200.38310637343423
23,2020-02-14,0,61.652179871879724,100.92272490931941,True,24,0.1782536605526227,200.38310637343423
24,2020-02-15,0,61.652179871879724,100.92272490931941,True,25,0.21481264995814428,200.38310637343423
25,2020-02-16,0,61.652179871879724,100.92272490931941,True,26,0.2588600920195713,200.38310637343423
26,2020-02-17,0,61.652179871879724,100.92272490931941,True,27,0.31192551170204985,200.38310637343423
27,2020-02-18,0,61.652179871879724,100.92272490931941,True,28,0.3758488761396104,200.38310637343423
28,2020-02-19,0,61.652179871879724,100.92272490931941,True,29,0.45284271653246244,200.38310637343423
29,2020-02-20,0,61.652179871879724,100.92272490931941,True,30,0.545566279866302,200.38310637343423
30,2020-02-21,0,61.652179871879724,100.92272490931941,True,31,0.6572138575289564,200.38310637343423
31,2020-02-22,0,61.652179871879724,100.92272490931941,True,32,0.7916197364971779,200.38310637343423
32,2020-02-23,0,61.652179871879724,100.92272490931941,True,33,0.9533825171816447,200.38310637343423
33,2020-02-24,0,61.652179871879724,100.92272490931941,True,34,1.1480118145055518,200.38310637343423
34,2020-02-25,0,61.652179871879724,100.92272490931941,True,35,1.38210056422443,200.38310637343423
35,2020-02-26,0,61.652179871879724,100.92272490931941,True,36,1.6635262317324306,200.38310637343423
36,2020-02-27,0,61.652179871879724,100.92272490931941,True,37,2.0016840716854976,200.38310637343423
37,2020-02-28,0,61.652179871879724,100.92272490931941,True,38,2.4077550776332726,200.38310637343423
38,2020-02-29,0,61.652179871879724,100.92272490931941,True,39,2.8950101995030533,200.38310637343423
39,2020-03-01,0,61.652179871879724,100.92272490931941,True,40,3.479150529678473,200.38310637343423
40,2020-03-02,0,61.652179871879724,100.92272490931941,True,41,4.1786801149854265,200.38310637343423
