,Report_Date,China_hubei_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,444,19.69653351762289,33877.28464380292,True,1,832.9632747902041,67754.56184579812
1,2020-01-23,444,19.69653351762289,33877.28464380292,True,2,1049.793289532131,67754.56184579812
2,2020-01-24,549,19.69653351762289,33877.28464380292,True,3,1321.951708019751,67754.56184579812
3,2020-01-25,761,19.69653351762289,33877.28464380292,True,4,1662.9081287777158,67754.56184579812
4,2020-01-26,1058,19.69653351762289,33877.28464380292,True,5,2089.0383463171474,67754.56184579812
5,2020-01-27,1423,19.69653351762289,33877.28464380292,True,6,2620.0380991713946,67754.56184579812
6,2020-01-28,3554,19.69653351762289,33877.28464380292,True,7,3279.2690589111908,67754.56184579812
7,2020-01-29,3554,19.69653351762289,33877.28464380292,True,8,4093.944386822749,67754.56184579812
8,2020-01-30,4903,19.69653351762289,33877.28464380292,True,9,5095.017592834601,67754.56184579812
9,2020-01-31,5806,19.69653351762289,33877.28464380292,True,10,6316.590033591882,67754.56184579812
10,2020-02-01,7153,19.69653351762289,33877.28464380292,True,11,7794.611110936345,67754.56184579812
11,2020-02-02,11177,19.69653351762289,33877.28464380292,True,12,9564.634234725603,67754.56184579812
12,2020-02-03,13522,19.69653351762289,33877.28464380292,True,13,11658.446906836678,67754.56184579812
13,2020-02-04,16678,19.69653351762289,33877.28464380292,True,14,14099.558327444784,67754.56184579812
14,2020-02-05,19665,19.69653351762289,33877.28464380292,True,15,16897.834638248027,67754.56184579812
15,2020-02-06,22112,19.69653351762289,33877.28464380292,True,16,20044.004923886612,67754.56184579812
16,2020-02-07,24953,19.69653351762289,33877.28464380292,True,17,23505.21569771694,67754.56184579812
17,2020-02-08,27100,19.69653351762289,33877.28464380292,True,18,27223.079086604263,67754.56184579812
18,2020-02-09,29631,19.69653351762289,33877.28464380292,True,19,31115.48781507965,67754.56184579812
19,2020-02-10,31728,19.69653351762289,33877.28464380292,True,20,35082.71452512574,67754.56184579812
20,2020-02-11,33366,19.69653351762289,33877.28464380292,True,21,39017.11129109549,67754.56184579812
21,2020-02-12,33366,19.69653351762289,33877.28464380292,True,22,42814.532848219285,67754.56184579812
22,2020-02-13,48206,19.69653351762289,33877.28464380292,True,23,46384.98980046649,67754.56184579812
23,2020-02-14,54406,19.69653351762289,33877.28464380292,True,24,49660.31719431204,67754.56184579812
24,2020-02-15,56249,19.69653351762289,33877.28464380292,True,25,52597.672020601596,67754.56184579812
25,2020-02-16,58182,19.69653351762289,33877.28464380292,True,26,55178.9388681887,67754.56184579812
26,2020-02-17,59989,19.69653351762289,33877.28464380292,True,27,57407.089495837885,67754.56184579812
27,2020-02-18,61682,19.69653351762289,33877.28464380292,True,28,59300.93875121412,67754.56184579812
28,2020-02-19,62031,19.69653351762289,33877.28464380292,True,29,60889.61627960437,67754.56184579812
29,2020-02-20,62442,19.69653351762289,33877.28464380292,True,30,62207.66269706443,67754.56184579812
30,2020-02-21,62662,19.69653351762289,33877.28464380292,True,31,63291.19890149254,67754.56184579812
31,2020-02-22,64084,19.69653351762289,33877.28464380292,True,32,64175.254914161014,67754.56184579812
32,2020-02-23,64084,19.69653351762289,33877.28464380292,True,33,64892.126059101676,67754.56184579812
33,2020-02-24,64287,19.69653351762289,33877.28464380292,True,34,65470.53100440585,67754.56184579812
34,2020-02-25,64786,19.69653351762289,33877.28464380292,True,35,65935.33607295158,67754.56184579812
35,2020-02-26,65187,19.69653351762289,33877.28464380292,True,36,66307.64308848348,67754.56184579812
36,2020-02-27,65596,19.69653351762289,33877.28464380292,True,37,66605.08558888822,67754.56184579812
37,2020-02-28,65914,19.69653351762289,33877.28464380292,True,38,66842.22457797862,67754.56184579812
38,2020-02-29,66337,19.69653351762289,33877.28464380292,True,39,67030.97317618955,67754.56184579812
39,2020-03-01,66907,19.69653351762289,33877.28464380292,True,40,67181.00797219563,67754.56184579812
40,2020-03-02,67103,19.69653351762289,33877.28464380292,True,41,67300.14454462889,67754.56184579812
41,2020-03-03,67217,19.69653351762289,33877.28464380292,True,42,67394.66738351434,67754.56184579812
42,2020-03-04,67332,19.69653351762289,33877.28464380292,True,43,67469.61220171966,67754.56184579812
43,2020-03-05,67466,19.69653351762289,33877.28464380292,True,44,67529.00298468619,67754.56184579812
44,2020-03-06,67592,19.69653351762289,33877.28464380292,True,45,67576.04828715748,67754.56184579812
45,2020-03-07,67666,19.69653351762289,33877.28464380292,True,46,67613.30209848263,67754.56184579812
46,2020-03-08,67707,19.69653351762289,33877.28464380292,True,47,67642.79463311072,67754.56184579812
47,2020-03-09,67743,19.69653351762289,33877.28464380292,True,48,67666.13802594254,67754.56184579812
48,2020-03-10,67760,19.69653351762289,33877.28464380292,True,49,67684.61134847866,67754.56184579812
49,2020-03-11,67773,19.69653351762289,33877.28464380292,True,50,67699.22874339734,67754.56184579812
50,2020-03-12,67781,19.69653351762289,33877.28464380292,True,51,67710.79387511742,67754.56184579812
51,2020-03-13,67786,19.69653351762289,33877.28464380292,True,52,67719.94334823302,67754.56184579812
52,2020-03-14,67790,19.69653351762289,33877.28464380292,True,53,67727.18126888303,67754.56184579812
53,2020-03-15,67794,19.69653351762289,33877.28464380292,True,54,67732.90671829529,67754.56184579812
54,2020-03-16,67798,19.69653351762289,33877.28464380292,True,55,67737.43556862611,67754.56184579812
55,2020-03-17,67799,19.69653351762289,33877.28464380292,True,56,67741.0177915537,67754.56184579812
56,2020-03-18,67800,19.69653351762289,33877.28464380292,True,57,67743.85118168803,67754.56184579812
57,2020-03-19,67800,19.69653351762289,33877.28464380292,True,58,67746.0922316857,67754.56184579812
58,2020-03-20,67800,19.69653351762289,33877.28464380292,True,59,67747.86474665694,67754.56184579812
59,2020-03-21,67800,19.69653351762289,33877.28464380292,True,60,67749.26666558196,67754.56184579812
60,2020-03-22,67800,19.69653351762289,33877.28464380292,True,61,67750.37546152904,67754.56184579812
61,2020-03-23,67800,19.69653351762289,33877.28464380292,True,62,67751.2524158973,67754.56184579812
62,2020-03-24,67801,19.69653351762289,33877.28464380292,True,63,67751.94600090964,67754.56184579812
63,2020-03-25,67801,19.69653351762289,33877.28464380292,True,64,67752.49455606246,67754.56184579812
64,2020-03-26,67801,19.69653351762289,33877.28464380292,True,65,67752.92840569402,67754.56184579812
65,2020-03-27,67801,19.69653351762289,33877.28464380292,True,66,67753.27153424021,67754.56184579812
66,2020-03-28,67801,19.69653351762289,33877.28464380292,True,67,67753.54291148316,67754.56184579812
67,2020-03-29,67801,19.69653351762289,33877.28464380292,True,68,67753.75754086663,67754.56184579812
68,2020-03-30,67801,19.69653351762289,33877.28464380292,True,69,67753.9272887152,67754.56184579812
69,2020-03-31,67801,19.69653351762289,33877.28464380292,True,70,67754.0615401278,67754.56184579812
70,2020-04-01,67802,19.69653351762289,33877.28464380292,True,71,67754.16771776143,67754.56184579812
71,2020-04-02,67802,19.69653351762289,33877.28464380292,True,72,67754.25169215913,67754.56184579812
72,2020-04-03,67802,19.69653351762289,33877.28464380292,True,73,67754.31810629074,67754.56184579812
73,2020-04-04,67803,19.69653351762289,33877.28464380292,True,74,67754.37063223853,67754.56184579812
74,2020-04-05,67803,19.69653351762289,33877.28464380292,True,75,67754.41217421327,67754.56184579812
75,2020-04-06,67803,19.69653351762289,33877.28464380292,True,76,67754.44502912095,67754.56184579812
76,2020-04-07,67803,19.69653351762289,33877.28464380292,True,77,67754.47101355516,67754.56184579812
77,2020-04-08,67803,19.69653351762289,33877.28464380292,True,78,67754.49156423532,67754.56184579812
