,Report_Date,Indonesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.29643581861001,2235.0819956928794,True,1,0.0521934932091069,3992.597986100957
1,2020-01-23,0,74.29643581861001,2235.0819956928794,True,2,0.060941549682085865,3992.597986100957
2,2020-01-24,0,74.29643581861001,2235.0819956928794,True,3,0.07115582865060102,3992.597986100957
3,2020-01-25,0,74.29643581861001,2235.0819956928794,True,4,0.08308206860909148,3992.597986100957
4,2020-01-26,0,74.29643581861001,2235.0819956928794,True,5,0.0970071906766717,3992.597986100957
5,2020-01-27,0,74.29643581861001,2235.0819956928794,True,6,0.11326619915841671,3992.597986100957
6,2020-01-28,0,74.29643581861001,2235.0819956928794,True,7,0.1322502379581902,3992.597986100957
7,2020-01-29,0,74.29643581861001,2235.0819956928794,True,8,0.15441599630166944,3992.597986100957
8,2020-01-30,0,74.29643581861001,2235.0819956928794,True,9,0.1802966895543391,3992.597986100957
9,2020-01-31,0,74.29643581861001,2235.0819956928794,True,10,0.21051487862737905,3992.597986100957
10,2020-02-01,0,74.29643581861001,2235.0819956928794,True,11,0.2457974354435179,3992.597986100957
11,2020-02-02,0,74.29643581861001,2235.0819956928794,True,12,0.28699301321825854,3992.597986100957
12,2020-02-03,0,74.29643581861001,2235.0819956928794,True,13,0.33509244009928196,3992.597986100957
13,2020-02-04,0,74.29643581861001,2235.0819956928794,True,14,0.3912525243904461,3992.597986100957
14,2020-02-05,0,74.29643581861001,2235.0819956928794,True,15,0.4568238407800671,3992.597986100957
15,2020-02-06,0,74.29643581861001,2235.0819956928794,True,16,0.533383161563547,3992.597986100957
16,2020-02-07,0,74.29643581861001,2235.0819956928794,True,17,0.6227713069560459,3992.597986100957
17,2020-02-08,0,74.29643581861001,2235.0819956928794,True,18,0.7271373167211737,3992.597986100957
18,2020-02-09,0,74.29643581861001,2235.0819956928794,True,19,0.8489899943618955,3992.597986100957
19,2020-02-10,0,74.29643581861001,2235.0819956928794,True,20,0.9912580483190933,3992.597986100957
20,2020-02-11,0,74.29643581861001,2235.0819956928794,True,21,1.157360255765218,3992.597986100957
21,2020-02-12,0,74.29643581861001,2235.0819956928794,True,22,1.351287307955435,3992.597986100957
22,2020-02-13,0,74.29643581861001,2235.0819956928794,True,23,1.5776972665739537,3992.597986100957
23,2020-02-14,0,74.29643581861001,2235.0819956928794,True,24,1.8420268735793104,3992.597986100957
24,2020-02-15,0,74.29643581861001,2235.0819956928794,True,25,2.150621318857965,3992.597986100957
25,2020-02-16,0,74.29643581861001,2235.0819956928794,True,26,2.5108854873643747,3992.597986100957
26,2020-02-17,0,74.29643581861001,2235.0819956928794,True,27,2.93146018784297,3992.597986100957
