,Report_Date,Malawi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.5459895844877,5.701952229347833,False,1,0.014255475274176446,0.043680903892662146
1,2020-01-23,0,88.5459895844877,5.701952229347833,False,2,0.015384839354046314,0.043680903892662146
2,2020-01-24,0,88.5459895844877,5.701952229347833,False,3,0.016603544817636054,0.043680903892662146
3,2020-01-25,0,88.5459895844877,5.701952229347833,False,4,0.017918637776681814,0.043680903892662146
4,2020-01-26,0,88.5459895844877,5.701952229347833,False,5,0.019337716514358682,0.043680903892662146
5,2020-01-27,0,88.5459895844877,5.701952229347833,False,6,0.020868974173996347,0.043680903892662146
6,2020-01-28,0,88.5459895844877,5.701952229347833,False,7,0.02252124465194019,0.043680903892662146
7,2020-01-29,0,88.5459895844877,5.701952229347833,False,8,0.02430405191906929,0.043680903892662146
8,2020-01-30,0,88.5459895844877,5.701952229347833,False,9,0.02622766300850256,0.043680903892662146
9,2020-01-31,0,88.5459895844877,5.701952229347833,False,10,0.028303144920312658,0.043680903892662146
10,2020-02-01,0,88.5459895844877,5.701952229347833,False,11,0.03054242570752706,0.043680903892662146
11,2020-02-02,0,88.5459895844877,5.701952229347833,False,12,0.03295836002120247,0.043680903892662146
12,2020-02-03,0,88.5459895844877,5.701952229347833,False,13,0.03556479940575898,0.043680903892662146
13,2020-02-04,0,88.5459895844877,5.701952229347833,False,14,0.03837666764886378,0.043680903892662146
14,2020-02-05,0,88.5459895844877,5.701952229347833,False,15,0.041410041502730054,0.043680903892662146
15,2020-02-06,0,88.5459895844877,5.701952229347833,False,16,0.04468223710546476,0.043680903892662146
16,2020-02-07,0,88.5459895844877,5.701952229347833,False,17,0.04821190244172213,0.043680903892662146
17,2020-02-08,0,88.5459895844877,5.701952229347833,False,18,0.05201911619099856,0.043680903892662146
18,2020-02-09,0,88.5459895844877,5.701952229347833,False,19,0.056125493318959954,0.043680903892662146
19,2020-02-10,0,88.5459895844877,5.701952229347833,False,20,0.060554297771662796,0.043680903892662146
20,2020-02-11,0,88.5459895844877,5.701952229347833,False,21,0.06533056263375348,0.043680903892662146
21,2020-02-12,0,88.5459895844877,5.701952229347833,False,22,0.07048121810893115,0.043680903892662146
22,2020-02-13,0,88.5459895844877,5.701952229347833,False,23,0.07603522767323558,0.043680903892662146
23,2020-02-14,0,88.5459895844877,5.701952229347833,False,24,0.08202373273802728,0.043680903892662146
24,2020-02-15,0,88.5459895844877,5.701952229347833,False,25,0.08848020613864953,0.043680903892662146
25,2020-02-16,0,88.5459895844877,5.701952229347833,False,26,0.09544061473531573,0.043680903892662146
26,2020-02-17,0,88.5459895844877,5.701952229347833,False,27,0.10294359137315055,0.043680903892662146
27,2020-02-18,0,88.5459895844877,5.701952229347833,False,28,0.11103061639672085,0.043680903892662146
28,2020-02-19,0,88.5459895844877,5.701952229347833,False,29,0.11974620884875746,0.043680903892662146
29,2020-02-20,0,88.5459895844877,5.701952229347833,False,30,0.12913812740077096,0.043680903892662146
30,2020-02-21,0,88.5459895844877,5.701952229347833,False,31,0.13925758096229257,0.043680903892662146
31,2020-02-22,0,88.5459895844877,5.701952229347833,False,32,0.1501594487926201,0.043680903892662146
32,2020-02-23,0,88.5459895844877,5.701952229347833,False,33,0.16190250979099213,0.043680903892662146
33,2020-02-24,0,88.5459895844877,5.701952229347833,False,34,0.17454968046451397,0.043680903892662146
34,2020-02-25,0,88.5459895844877,5.701952229347833,False,35,0.18816826086405247,0.043680903892662146
35,2020-02-26,0,88.5459895844877,5.701952229347833,False,36,0.2028301875325472,0.043680903892662146
36,2020-02-27,0,88.5459895844877,5.701952229347833,False,37,0.2186122922233102,0.043680903892662146
37,2020-02-28,0,88.5459895844877,5.701952229347833,False,38,0.2355965648132518,0.043680903892662146
