,Report_Date,Rwanda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.51699075733056,70.88833459877573,True,1,0.0016731100442986555,135.43305479469632
1,2020-01-23,0,69.51699075733056,70.88833459877573,True,2,0.001974460481414729,135.43305479469632
2,2020-01-24,0,69.51699075733056,70.88833459877573,True,3,0.0023300874401218446,135.43305479469632
3,2020-01-25,0,69.51699075733056,70.88833459877573,True,4,0.0027497663674616647,135.43305479469632
4,2020-01-26,0,69.51699075733056,70.88833459877573,True,5,0.0032450331751620624,135.43305479469632
5,2020-01-27,0,69.51699075733056,70.88833459877573,True,6,0.0038295012285122477,135.43305479469632
6,2020-01-28,0,69.51699075733056,70.88833459877573,True,7,0.004519235390976194,135.43305479469632
7,2020-01-29,0,69.51699075733056,70.88833459877573,True,8,0.005333193385842625,135.43305479469632
8,2020-01-30,0,69.51699075733056,70.88833459877573,True,9,0.006293746578401529,135.43305479469632
9,2020-01-31,0,69.51699075733056,70.88833459877573,True,10,0.007427294453768686,135.43305479469632
10,2020-02-01,0,69.51699075733056,70.88833459877573,True,11,0.00876498962495882,135.43305479469632
11,2020-02-02,0,69.51699075733056,70.88833459877573,True,12,0.01034359322169866,135.43305479469632
12,2020-02-03,0,69.51699075733056,70.88833459877573,True,13,0.012206484063178877,135.43305479469632
13,2020-02-04,0,69.51699075733056,70.88833459877573,True,14,0.014404849201651368,135.43305479469632
14,2020-02-05,0,69.51699075733056,70.88833459877573,True,15,0.016999088348648668,135.43305479469632
15,2020-02-06,0,69.51699075733056,70.88833459877573,True,16,0.020060470490275907,135.43305479469632
16,2020-02-07,0,69.51699075733056,70.88833459877573,True,17,0.023673087812410443,135.43305479469632
17,2020-02-08,0,69.51699075733056,70.88833459877573,True,18,0.02793616006500739,135.43305479469632
18,2020-02-09,0,69.51699075733056,70.88833459877573,True,19,0.032966751899031074,135.43305479469632
19,2020-02-10,0,69.51699075733056,70.88833459877573,True,20,0.03890297674306538,135.43305479469632
20,2020-02-11,0,69.51699075733056,70.88833459877573,True,21,0.045907773717572146,135.43305479469632
21,2020-02-12,0,69.51699075733056,70.88833459877573,True,22,0.05417335921968535,135.43305479469632
22,2020-02-13,0,69.51699075733056,70.88833459877573,True,23,0.06392647249852539,135.43305479469632
23,2020-02-14,0,69.51699075733056,70.88833459877573,True,24,0.0754345551722096,135.43305479469632
24,2020-02-15,0,69.51699075733056,70.88833459877573,True,25,0.08901302864924647,135.43305479469632
25,2020-02-16,0,69.51699075733056,70.88833459877573,True,26,0.1050338612872186,135.43305479469632
26,2020-02-17,0,69.51699075733056,70.88833459877573,True,27,0.12393564936478677,135.43305479469632
27,2020-02-18,0,69.51699075733056,70.88833459877573,True,28,0.14623547309631005,135.43305479469632
28,2020-02-19,0,69.51699075733056,70.88833459877573,True,29,0.1725428315198058,135.43305479469632
29,2020-02-20,0,69.51699075733056,70.88833459877573,True,30,0.20357600864128078,135.43305479469632
30,2020-02-21,0,69.51699075733056,70.88833459877573,True,31,0.2401812781332828,135.43305479469632
31,2020-02-22,0,69.51699075733056,70.88833459877573,True,32,0.2833554153995866,135.43305479469632
32,2020-02-23,0,69.51699075733056,70.88833459877573,True,33,0.334272053870268,135.43305479469632
33,2020-02-24,0,69.51699075733056,70.88833459877573,True,34,0.39431249644672073,135.43305479469632
34,2020-02-25,0,69.51699075733056,70.88833459877573,True,35,0.4651016718143898,135.43305479469632
35,2020-02-26,0,69.51699075733056,70.88833459877573,True,36,0.5485500065480888,135.43305479469632
36,2020-02-27,0,69.51699075733056,70.88833459877573,True,37,0.6469020636615546,135.43305479469632
37,2020-02-28,0,69.51699075733056,70.88833459877573,True,38,0.7627928704019692,135.43305479469632
38,2020-02-29,0,69.51699075733056,70.88833459877573,True,39,0.8993129134831843,135.43305479469632
39,2020-03-01,0,69.51699075733056,70.88833459877573,True,40,1.0600828051822322,135.43305479469632
40,2020-03-02,0,69.51699075733056,70.88833459877573,True,41,1.2493385996846849,135.43305479469632
41,2020-03-03,0,69.51699075733056,70.88833459877573,True,42,1.4720286391005626,135.43305479469632
42,2020-03-04,0,69.51699075733056,70.88833459877573,True,43,1.7339225962528813,135.43305479469632
43,2020-03-05,0,69.51699075733056,70.88833459877573,True,44,2.0417330079029146,135.43305479469632
44,2020-03-06,0,69.51699075733056,70.88833459877573,True,45,2.4032489937248855,135.43305479469632
45,2020-03-07,0,69.51699075733056,70.88833459877573,True,46,2.8274809518098323,135.43305479469632
46,2020-03-08,0,69.51699075733056,70.88833459877573,True,47,3.3248137105991886,135.43305479469632
47,2020-03-09,0,69.51699075733056,70.88833459877573,True,48,3.907163781758807,135.43305479469632
48,2020-03-10,0,69.51699075733056,70.88833459877573,True,49,4.588133867739443,135.43305479469632
49,2020-03-11,0,69.51699075733056,70.88833459877573,True,50,5.3831545008728545,135.43305479469632
50,2020-03-12,0,69.51699075733056,70.88833459877573,True,51,6.309598521813561,135.43305479469632
51,2020-03-13,0,69.51699075733056,70.88833459877573,True,52,7.386849004611075,135.43305479469632
52,2020-03-14,1,69.51699075733056,70.88833459877573,True,53,8.636295296145196,135.43305479469632
53,2020-03-15,1,69.51699075733056,70.88833459877573,True,54,10.081225376315205,135.43305479469632
54,2020-03-16,5,69.51699075733056,70.88833459877573,True,55,11.7465764248265,135.43305479469632
55,2020-03-17,7,69.51699075733056,70.88833459877573,True,56,13.658500445510816,135.43305479469632
56,2020-03-18,8,69.51699075733056,70.88833459877573,True,57,15.843699799295146,135.43305479469632
