,Report_Date,France_reunion_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.8030257187201,268.79373719482385,True,1,0.006310721164819793,500.3166111329667
1,2020-01-23,0,71.8030257187201,268.79373719482385,True,2,0.007408206054733325,500.3166111329667
2,2020-01-24,0,71.8030257187201,268.79373719482385,True,3,0.008696549258165853,500.3166111329667
3,2020-01-25,0,71.8030257187201,268.79373719482385,True,4,0.010208940858270678,500.3166111329667
4,2020-01-26,0,71.8030257187201,268.79373719482385,True,5,0.011984342221482378,500.3166111329667
5,2020-01-27,0,71.8030257187201,268.79373719482385,True,6,0.01406848937473854,500.3166111329667
6,2020-01-28,0,71.8030257187201,268.79373719482385,True,7,0.016515070763646233,500.3166111329667
7,2020-01-29,0,71.8030257187201,268.79373719482385,True,8,0.01938710967410818,500.3166111329667
8,2020-01-30,0,71.8030257187201,268.79373719482385,True,9,0.022758586849683824,500.3166111329667
9,2020-01-31,0,71.8030257187201,268.79373719482385,True,10,0.026716344993403467,500.3166111329667
10,2020-02-01,0,71.8030257187201,268.79373719482385,True,11,0.03136232406118049,500.3166111329667
11,2020-02-02,0,71.8030257187201,268.79373719482385,True,12,0.036816184715785794,500.3166111329667
12,2020-02-03,0,71.8030257187201,268.79373719482385,True,13,0.043218387227280115,500.3166111329667
13,2020-02-04,0,71.8030257187201,268.79373719482385,True,14,0.0507338047246782,500.3166111329667
14,2020-02-05,0,71.8030257187201,268.79373719482385,True,15,0.059555963311858265,500.3166111329667
15,2020-02-06,0,71.8030257187201,268.79373719482385,True,16,0.06991201749249427,500.3166111329667
16,2020-02-07,0,71.8030257187201,268.79373719482385,True,17,0.08206858799190979,500.3166111329667
17,2020-02-08,0,71.8030257187201,268.79373719482385,True,18,0.09633861086738138,500.3166111329667
18,2020-02-09,0,71.8030257187201,268.79373719482385,True,19,0.11308937228140001,500.3166111329667
19,2020-02-10,0,71.8030257187201,268.79373719482385,True,20,0.13275193307221134,500.3166111329667
20,2020-02-11,0,71.8030257187201,268.79373719482385,True,21,0.1558321819780566,500.3166111329667
21,2020-02-12,0,71.8030257187201,268.79373719482385,True,22,0.182923796838678,500.3166111329667
22,2020-02-13,0,71.8030257187201,268.79373719482385,True,23,0.21472344019863468,500.3166111329667
