,Report_Date,China_hong kong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,76.83401305884024,973.2566315140203,True,1,1.303686858706068,1451.599363479943
1,2020-01-23,2,76.83401305884024,973.2566315140203,True,2,1.4354752369601227,1451.599363479943
2,2020-01-24,2,76.83401305884024,973.2566315140203,True,3,1.5805751432538622,1451.599363479943
3,2020-01-25,5,76.83401305884024,973.2566315140203,True,4,1.7403288342547298,1451.599363479943
4,2020-01-26,8,76.83401305884024,973.2566315140203,True,5,1.9162134238763817,1451.599363479943
5,2020-01-27,8,76.83401305884024,973.2566315140203,True,6,2.1098543288157035,1451.599363479943
6,2020-01-28,8,76.83401305884024,973.2566315140203,True,7,2.323040032602201,1451.599363479943
7,2020-01-29,10,76.83401305884024,973.2566315140203,True,8,2.557738292754663,1451.599363479943
8,2020-01-30,10,76.83401305884024,973.2566315140203,True,9,2.816113926399417,1451.599363479943
9,2020-01-31,12,76.83401305884024,973.2566315140203,True,10,3.10054832116801,1451.599363479943
10,2020-02-01,13,76.83401305884024,973.2566315140203,True,11,3.4136608303518496,1451.599363479943
11,2020-02-02,15,76.83401305884024,973.2566315140203,True,12,3.758332224122659,1451.599363479943
12,2020-02-03,15,76.83401305884024,973.2566315140203,True,13,4.137730382084278,1451.599363479943
13,2020-02-04,17,76.83401305884024,973.2566315140203,True,14,4.555338426429788,1451.599363479943
14,2020-02-05,21,76.83401305884024,973.2566315140203,True,15,5.0149855094300735,1451.599363479943
15,2020-02-06,24,76.83401305884024,973.2566315140203,True,16,5.520880483724407,1451.599363479943
16,2020-02-07,25,76.83401305884024,973.2566315140203,True,17,6.0776486987157305,1451.599363479943
17,2020-02-08,26,76.83401305884024,973.2566315140203,True,18,6.690372181022623,1451.599363479943
18,2020-02-09,29,76.83401305884024,973.2566315140203,True,19,7.364633471055114,1451.599363479943
19,2020-02-10,38,76.83401305884024,973.2566315140203,True,20,8.106563400913622,1451.599363479943
20,2020-02-11,49,76.83401305884024,973.2566315140203,True,21,8.922893110391566,1451.599363479943
21,2020-02-12,50,76.83401305884024,973.2566315140203,True,22,9.821010607182286,1451.599363479943
22,2020-02-13,53,76.83401305884024,973.2566315140203,True,23,10.80902218356866,1451.599363479943
23,2020-02-14,56,76.83401305884024,973.2566315140203,True,24,11.895819003825636,1451.599363479943
24,2020-02-15,56,76.83401305884024,973.2566315140203,True,25,13.091149172967345,1451.599363479943
25,2020-02-16,57,76.83401305884024,973.2566315140203,True,26,14.40569558671677,1451.599363479943
26,2020-02-17,60,76.83401305884024,973.2566315140203,True,27,15.851159842732974,1451.599363479943
27,2020-02-18,62,76.83401305884024,973.2566315140203,True,28,17.44035246188545,1451.599363479943
28,2020-02-19,63,76.83401305884024,973.2566315140203,True,29,19.18728962296997,1451.599363479943
29,2020-02-20,68,76.83401305884024,973.2566315140203,True,30,21.1072965514746,1451.599363479943
30,2020-02-21,68,76.83401305884024,973.2566315140203,True,31,23.217117619037378,1451.599363479943
31,2020-02-22,69,76.83401305884024,973.2566315140203,True,32,25.535033100690814,1451.599363479943
32,2020-02-23,74,76.83401305884024,973.2566315140203,True,33,28.08098239680926,1451.599363479943
33,2020-02-24,79,76.83401305884024,973.2566315140203,True,34,30.876693350119307,1451.599363479943
34,2020-02-25,84,76.83401305884024,973.2566315140203,True,35,33.94581706875445,1451.599363479943
35,2020-02-26,91,76.83401305884024,973.2566315140203,True,36,37.314067397006404,1451.599363479943
36,2020-02-27,92,76.83401305884024,973.2566315140203,True,37,41.00936384841027,1451.599363479943
37,2020-02-28,94,76.83401305884024,973.2566315140203,True,38,45.06197642290037,1451.599363479943
38,2020-02-29,95,76.83401305884024,973.2566315140203,True,39,49.5046702625576,1451.599363479943
39,2020-03-01,96,76.83401305884024,973.2566315140203,True,40,54.372847550643044,1451.599363479943
40,2020-03-02,100,76.83401305884024,973.2566315140203,True,41,59.70468341854209,1451.599363479943
41,2020-03-03,100,76.83401305884024,973.2566315140203,True,42,65.54125188867496,1451.599363479943
