,Report_Date,Taiwan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,64.29588223743667,225.27020009267352,True,1,0.06003200645086035,435.146457645468
1,2020-01-23,1,64.29588223743667,225.27020009267352,True,2,0.0691192695019668,435.146457645468
2,2020-01-24,3,64.29588223743667,225.27020009267352,True,3,0.07958186158753366,435.146457645468
3,2020-01-25,3,64.29588223743667,225.27020009267352,True,4,0.09162785535112548,435.146457645468
4,2020-01-26,4,64.29588223743667,225.27020009267352,True,5,0.1054967768448655,435.146457645468
5,2020-01-27,5,64.29588223743667,225.27020009267352,True,6,0.12146435180964574,435.146457645468
6,2020-01-28,8,64.29588223743667,225.27020009267352,True,7,0.13984796543039973,435.146457645468
7,2020-01-29,8,64.29588223743667,225.27020009267352,True,8,0.16101294192743457,435.146457645468
8,2020-01-30,9,64.29588223743667,225.27020009267352,True,9,0.18537976590956753,435.146457645468
9,2020-01-31,10,64.29588223743667,225.27020009267352,True,10,0.2134323851616844,435.146457645468
10,2020-02-01,10,64.29588223743667,225.27020009267352,True,11,0.24572775474238326,435.146457645468
11,2020-02-02,10,64.29588223743667,225.27020009267352,True,12,0.28290680522404094,435.146457645468
12,2020-02-03,10,64.29588223743667,225.27020009267352,True,13,0.32570704393655375,435.146457645468
13,2020-02-04,11,64.29588223743667,225.27020009267352,True,14,0.37497702751258816,435.146457645468
14,2020-02-05,11,64.29588223743667,225.27020009267352,True,15,0.4316929772212493,435.146457645468
15,2020-02-06,16,64.29588223743667,225.27020009267352,True,16,0.4969778458612721,435.146457645468
16,2020-02-07,16,64.29588223743667,225.27020009267352,True,17,0.5721231866872272,435.146457645468
17,2020-02-08,17,64.29588223743667,225.27020009267352,True,18,0.6586142212411585,435.146457645468
18,2020-02-09,18,64.29588223743667,225.27020009267352,True,19,0.7581585542554476,435.146457645468
19,2020-02-10,18,64.29588223743667,225.27020009267352,True,20,0.8727190400483535,435.146457645468
20,2020-02-11,18,64.29588223743667,225.27020009267352,True,21,1.004551365921171,435.146457645468
21,2020-02-12,18,64.29588223743667,225.27020009267352,True,22,1.1562469835641653,435.146457645468
22,2020-02-13,18,64.29588223743667,225.27020009267352,True,23,1.3307820885517205,435.146457645468
23,2020-02-14,18,64.29588223743667,225.27020009267352,True,24,1.5315734192409025,435.146457645468
24,2020-02-15,18,64.29588223743667,225.27020009267352,True,25,1.7625417175724039,435.146457645468
25,2020-02-16,20,64.29588223743667,225.27020009267352,True,26,2.0281837621234375,435.146457645468
26,2020-02-17,22,64.29588223743667,225.27020009267352,True,27,2.333653943556215,435.146457645468
27,2020-02-18,22,64.29588223743667,225.27020009267352,True,28,2.684856397724602,435.146457645468
28,2020-02-19,23,64.29588223743667,225.27020009267352,True,29,3.088548733054018,435.146457645468
29,2020-02-20,24,64.29588223743667,225.27020009267352,True,30,3.5524583741212075,435.146457645468
30,2020-02-21,26,64.29588223743667,225.27020009267352,True,31,4.085412476313451,435.146457645468
31,2020-02-22,26,64.29588223743667,225.27020009267352,True,32,4.697482225666593,435.146457645468
32,2020-02-23,28,64.29588223743667,225.27020009267352,True,33,5.400142095883043,435.146457645468
33,2020-02-24,30,64.29588223743667,225.27020009267352,True,34,6.206444256067878,435.146457645468
34,2020-02-25,31,64.29588223743667,225.27020009267352,True,35,7.131207764135706,435.146457645468
35,2020-02-26,32,64.29588223743667,225.27020009267352,True,36,8.191221388587882,435.146457645468
36,2020-02-27,32,64.29588223743667,225.27020009267352,True,37,9.405457811499717,435.146457645468
37,2020-02-28,34,64.29588223743667,225.27020009267352,True,38,10.795295504076389,435.146457645468
38,2020-02-29,39,64.29588223743667,225.27020009267352,True,39,12.384742650881867,435.146457645468
39,2020-03-01,40,64.29588223743667,225.27020009267352,True,40,14.200655044053862,435.146457645468
40,2020-03-02,41,64.29588223743667,225.27020009267352,True,41,16.2729367935601,435.146457645468
41,2020-03-03,42,64.29588223743667,225.27020009267352,True,42,18.634708941778133,435.146457645468
42,2020-03-04,42,64.29588223743667,225.27020009267352,True,43,21.32242660885411,435.146457645468
43,2020-03-05,44,64.29588223743667,225.27020009267352,True,44,24.375920179648393,435.146457645468
44,2020-03-06,45,64.29588223743667,225.27020009267352,True,45,27.838330438114717,435.146457645468
45,2020-03-07,45,64.29588223743667,225.27020009267352,True,46,31.755901793483673,435.146457645468
46,2020-03-08,45,64.29588223743667,225.27020009267352,True,47,36.17759238875021,435.146457645468
47,2020-03-09,45,64.29588223743667,225.27020009267352,True,48,41.15445579582795,435.146457645468
48,2020-03-10,47,64.29588223743667,225.27020009267352,True,49,46.738747391139796,435.146457645468
49,2020-03-11,48,64.29588223743667,225.27020009267352,True,50,52.98271093999421,435.146457645468
50,2020-03-12,49,64.29588223743667,225.27020009267352,True,51,59.937009270441365,435.146457645468
51,2020-03-13,50,64.29588223743667,225.27020009267352,True,52,67.64877918674176,435.146457645468
52,2020-03-14,53,64.29588223743667,225.27020009267352,True,53,76.15931674666024,435.146457645468
53,2020-03-15,59,64.29588223743667,225.27020009267352,True,54,85.50143575227507,435.146457645468
54,2020-03-16,67,64.29588223743667,225.27020009267352,True,55,95.69658938340547,435.146457645468
55,2020-03-17,77,64.29588223743667,225.27020009267352,True,56,106.75189971087303,435.146457645468
56,2020-03-18,100,64.29588223743667,225.27020009267352,True,57,118.65729684797222,435.146457645468
57,2020-03-19,108,64.29588223743667,225.27020009267352,True,58,131.38302009376105,435.146457645468
58,2020-03-20,135,64.29588223743667,225.27020009267352,True,59,144.87776638848214,435.146457645468
