,Report_Date,"Moldova, Republic of_cases",fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,87.57809684205515,2441.5722645099468,False,1,0.05783593102340762,4883.144529019894
1,2020-01-23,0,87.57809684205515,2441.5722645099468,False,2,0.06593247148706617,4883.144529019894
2,2020-01-24,0,87.57809684205515,2441.5722645099468,False,3,0.07516244159016458,4883.144529019894
3,2020-01-25,0,87.57809684205515,2441.5722645099468,False,4,0.08568450421297172,4883.144529019894
4,2020-01-26,0,87.57809684205515,2441.5722645099468,False,5,0.09767953105578835,4883.144529019894
5,2020-01-27,0,87.57809684205515,2441.5722645099468,False,6,0.11135371084713147,4883.144529019894
6,2020-01-28,0,87.57809684205515,2441.5722645099468,False,7,0.12694209241685897,4883.144529019894
7,2020-01-29,0,87.57809684205515,2441.5722645099468,False,8,0.14471262343346125,4883.144529019894
8,2020-01-30,0,87.57809684205515,2441.5722645099468,False,9,0.1649707540925764,4883.144529019894
9,2020-01-31,0,87.57809684205515,2441.5722645099468,False,10,0.18806468471276905,4883.144529019894
10,2020-02-01,0,87.57809684205515,2441.5722645099468,False,11,0.21439134720798522,4883.144529019894
11,2020-02-02,0,87.57809684205515,2441.5722645099468,False,12,0.2444032229493026,4883.144529019894
12,2020-02-03,0,87.57809684205515,2441.5722645099468,False,13,0.27861611381222556,4883.144529019894
13,2020-02-04,0,87.57809684205515,2441.5722645099468,False,14,0.3176179994688225,4883.144529019894
14,2020-02-05,0,87.57809684205515,2441.5722645099468,False,15,0.3620791324975328,4883.144529019894
15,2020-02-06,0,87.57809684205515,2441.5722645099468,False,16,0.4127635439546785,4883.144529019894
16,2020-02-07,0,87.57809684205515,2441.5722645099468,False,17,0.4705421560284725,4883.144529019894
17,2020-02-08,0,87.57809684205515,2441.5722645099468,False,18,0.5364077256721219,4883.144529019894
18,2020-02-09,0,87.57809684205515,2441.5722645099468,False,19,0.611491874132134,4883.144529019894
19,2020-02-10,0,87.57809684205515,2441.5722645099468,False,20,0.697084492552892,4883.144529019894
20,2020-02-11,0,87.57809684205515,2441.5722645099468,False,21,0.7946558539143077,4883.144529019894
21,2020-02-12,0,87.57809684205515,2441.5722645099468,False,22,0.905881807081695,4883.144529019894
22,2020-02-13,0,87.57809684205515,2441.5722645099468,False,23,1.0326724804295317,4883.144529019894
23,2020-02-14,0,87.57809684205515,2441.5722645099468,False,24,1.1772049811424103,4883.144529019894
24,2020-02-15,0,87.57809684205515,2441.5722645099468,False,25,1.341960642789108,4883.144529019894
25,2020-02-16,0,87.57809684205515,2441.5722645099468,False,26,1.5297674491015079,4883.144529019894
26,2020-02-17,0,87.57809684205515,2441.5722645099468,False,27,1.7438483471685315,4883.144529019894
27,2020-02-18,0,87.57809684205515,2441.5722645099468,False,28,1.9878762596883006,4883.144529019894
28,2020-02-19,0,87.57809684205515,2441.5722645099468,False,29,2.26603671483803,4883.144529019894
29,2020-02-20,0,87.57809684205515,2441.5722645099468,False,30,2.5830991351660995,4883.144529019894
30,2020-02-21,0,87.57809684205515,2441.5722645099468,False,31,2.944497965242873,4883.144529019894
