,Report_Date,Hungary_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.28970463163331,688.213706487821,True,1,0.016071348531901678,1229.5402099782348
1,2020-01-23,0,74.28970463163331,688.213706487821,True,2,0.01876530149767151,1229.5402099782348
2,2020-01-24,0,74.28970463163331,688.213706487821,True,3,0.02191081999563896,1229.5402099782348
3,2020-01-25,0,74.28970463163331,688.213706487821,True,4,0.025583593689326067,1229.5402099782348
4,2020-01-26,0,74.28970463163331,688.213706487821,True,5,0.029871998101144704,1229.5402099782348
5,2020-01-27,0,74.28970463163331,688.213706487821,True,6,0.03487922046299667,1229.5402099782348
6,2020-01-28,0,74.28970463163331,688.213706487821,True,7,0.04072574168398117,1229.5402099782348
7,2020-01-29,0,74.28970463163331,688.213706487821,True,8,0.04755223404551863,1229.5402099782348
8,2020-01-30,0,74.28970463163331,688.213706487821,True,9,0.055522944195800554,1229.5402099782348
9,2020-01-31,0,74.28970463163331,688.213706487821,True,10,0.06482964263576242,1229.5402099782348
10,2020-02-01,0,74.28970463163331,688.213706487821,True,11,0.07569623444174467,1229.5402099782348
11,2020-02-02,0,74.28970463163331,688.213706487821,True,12,0.08838414177410937,1229.5402099782348
12,2020-02-03,0,74.28970463163331,688.213706487821,True,13,0.10319858714615325,1229.5402099782348
13,2020-02-04,0,74.28970463163331,688.213706487821,True,14,0.12049592790280396,1229.5402099782348
14,2020-02-05,0,74.28970463163331,688.213706487821,True,15,0.14069221738112406,1229.5402099782348
15,2020-02-06,0,74.28970463163331,688.213706487821,True,16,0.16427319737020082,1229.5402099782348
16,2020-02-07,0,74.28970463163331,688.213706487821,True,17,0.19180596042179626,1229.5402099782348
17,2020-02-08,0,74.28970463163331,688.213706487821,True,18,0.22395256005251815,1229.5402099782348
18,2020-02-09,0,74.28970463163331,688.213706487821,True,19,0.26148589280646684,1229.5402099782348
19,2020-02-10,0,74.28970463163331,688.213706487821,True,20,0.3053082295281822,1229.5402099782348
20,2020-02-11,0,74.28970463163331,688.213706487821,True,21,0.3564728351894398,1229.5402099782348
21,2020-02-12,0,74.28970463163331,688.213706487821,True,22,0.41620918854249916,1229.5402099782348
22,2020-02-13,0,74.28970463163331,688.213706487821,True,23,0.4859523962371932,1229.5402099782348
23,2020-02-14,0,74.28970463163331,688.213706487821,True,24,0.5673774925322164,1229.5402099782348
24,2020-02-15,0,74.28970463163331,688.213706487821,True,25,0.6624394272475046,1229.5402099782348
25,2020-02-16,0,74.28970463163331,688.213706487821,True,26,0.7734196732481183,1229.5402099782348
26,2020-02-17,0,74.28970463163331,688.213706487821,True,27,0.9029805328278143,1229.5402099782348
27,2020-02-18,0,74.28970463163331,688.213706487821,True,28,1.0542283923648974,1229.5402099782348
28,2020-02-19,0,74.28970463163331,688.213706487821,True,29,1.2307873691911004,1229.5402099782348
29,2020-02-20,0,74.28970463163331,688.213706487821,True,30,1.4368850164560676,1229.5402099782348
30,2020-02-21,0,74.28970463163331,688.213706487821,True,31,1.6774520035509024,1229.5402099782348
31,2020-02-22,0,74.28970463163331,688.213706487821,True,32,1.9582379738137452,1229.5402099782348
32,2020-02-23,0,74.28970463163331,688.213706487821,True,33,2.2859460997220866,1229.5402099782348
33,2020-02-24,0,74.28970463163331,688.213706487821,True,34,2.6683892096340704,1229.5402099782348
34,2020-02-25,0,74.28970463163331,688.213706487821,True,35,3.1146707489776464,1229.5402099782348
35,2020-02-26,0,74.28970463163331,688.213706487821,True,36,3.635394259965923,1229.5402099782348
36,2020-02-27,0,74.28970463163331,688.213706487821,True,37,4.2429055114729834,1229.5402099782348
37,2020-02-28,0,74.28970463163331,688.213706487821,True,38,4.9515718738476275,1229.5402099782348
38,2020-02-29,0,74.28970463163331,688.213706487821,True,39,5.7781039945433,1229.5402099782348
39,2020-03-01,0,74.28970463163331,688.213706487821,True,40,6.741925262340731,1229.5402099782348
40,2020-03-02,0,74.28970463163331,688.213706487821,True,41,7.8655949103982925,1229.5402099782348
41,2020-03-03,0,74.28970463163331,688.213706487821,True,42,9.175290843468233,1229.5402099782348
42,2020-03-04,2,74.28970463163331,688.213706487821,True,43,10.701358300901896,1229.5402099782348
43,2020-03-05,2,74.28970463163331,688.213706487821,True,44,12.478930172188775,1229.5402099782348
44,2020-03-06,2,74.28970463163331,688.213706487821,True,45,14.548624013591725,1229.5402099782348
45,2020-03-07,4,74.28970463163331,688.213706487821,True,46,16.957319370567895,1229.5402099782348
46,2020-03-08,7,74.28970463163331,688.213706487821,True,47,19.759016626854187,1229.5402099782348
47,2020-03-09,9,74.28970463163331,688.213706487821,True,48,23.01577493939174,1229.5402099782348
48,2020-03-10,9,74.28970463163331,688.213706487821,True,49,26.79872145677595,1229.5402099782348
49,2020-03-11,13,74.28970463163331,688.213706487821,True,50,31.189116446478643,1229.5402099782348
50,2020-03-12,13,74.28970463163331,688.213706487821,True,51,36.279448577190934,1229.5402099782348
51,2020-03-13,19,74.28970463163331,688.213706487821,True,52,42.17452076089874,1229.5402099782348
52,2020-03-14,30,74.28970463163331,688.213706487821,True,53,48.992468991563456,1229.5402099782348
53,2020-03-15,32,74.28970463163331,688.213706487821,True,54,56.86563395473791,1229.5402099782348
54,2020-03-16,39,74.28970463163331,688.213706487821,True,55,65.94117751960712,1229.5402099782348
55,2020-03-17,50,74.28970463163331,688.213706487821,True,56,76.38130377956139,1229.5402099782348
56,2020-03-18,58,74.28970463163331,688.213706487821,True,57,88.36290819184823,1229.5402099782348
