,Report_Date,Australia_tasmania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.21152770188944,56.24239889846237,True,1,0.0013316499697582254,108.63492068892127
1,2020-01-23,0,68.21152770188944,56.24239889846237,True,2,0.00157648749888176,108.63492068892127
2,2020-01-24,0,68.21152770188944,56.24239889846237,True,3,0.0018663401764351284,108.63492068892127
3,2020-01-25,0,68.21152770188944,56.24239889846237,True,4,0.0022094840627446557,108.63492068892127
4,2020-01-26,0,68.21152770188944,56.24239889846237,True,5,0.002615716656060694,108.63492068892127
5,2020-01-27,0,68.21152770188944,56.24239889846237,True,6,0.003096636539288485,108.63492068892127
6,2020-01-28,0,68.21152770188944,56.24239889846237,True,7,0.0036659744075584386,108.63492068892127
7,2020-01-29,0,68.21152770188944,56.24239889846237,True,8,0.00433998490928914,108.63492068892127
8,2020-01-30,0,68.21152770188944,56.24239889846237,True,9,0.005137910461941016,108.63492068892127
9,2020-01-31,0,68.21152770188944,56.24239889846237,True,10,0.00608253024770288,108.63492068892127
10,2020-02-01,0,68.21152770188944,56.24239889846237,True,11,0.00720081001097715,108.63492068892127
11,2020-02-02,0,68.21152770188944,56.24239889846237,True,12,0.008524671135934407,108.63492068892127
12,2020-02-03,0,68.21152770188944,56.24239889846237,True,13,0.010091900857630778,108.63492068892127
13,2020-02-04,0,68.21152770188944,56.24239889846237,True,14,0.011947229447059652,108.63492068892127
14,2020-02-05,0,68.21152770188944,56.24239889846237,True,15,0.01414360491792704,108.63492068892127
15,2020-02-06,0,68.21152770188944,56.24239889846237,True,16,0.016743701358369084,108.63492068892127
16,2020-02-07,0,68.21152770188944,56.24239889846237,True,17,0.019821703543175802,108.63492068892127
17,2020-02-08,0,68.21152770188944,56.24239889846237,True,18,0.023465418204825242,108.63492068892127
18,2020-02-09,0,68.21152770188944,56.24239889846237,True,19,0.027778771436217698,108.63492068892127
19,2020-02-10,0,68.21152770188944,56.24239889846237,True,20,0.03288476239743394,108.63492068892127
20,2020-02-11,0,68.21152770188944,56.24239889846237,True,21,0.03892895607129816,108.63492068892127
21,2020-02-12,0,68.21152770188944,56.24239889846237,True,22,0.04608361256477231,108.63492068892127
22,2020-02-13,0,68.21152770188944,56.24239889846237,True,23,0.05455256773344742,108.63492068892127
23,2020-02-14,0,68.21152770188944,56.24239889846237,True,24,0.06457700010597807,108.63492068892127
24,2020-02-15,0,68.21152770188944,56.24239889846237,True,25,0.07644224263841794,108.63492068892127
25,2020-02-16,0,68.21152770188944,56.24239889846237,True,26,0.09048582520853221,108.63492068892127
26,2020-02-17,0,68.21152770188944,56.24239889846237,True,27,0.10710696547139657,108.63492068892127
27,2020-02-18,0,68.21152770188944,56.24239889846237,True,28,0.12677776225836823,108.63492068892127
28,2020-02-19,0,68.21152770188944,56.24239889846237,True,29,0.15005638761685744,108.63492068892127
29,2020-02-20,0,68.21152770188944,56.24239889846237,True,30,0.17760262130563143,108.63492068892127
30,2020-02-21,0,68.21152770188944,56.24239889846237,True,31,0.21019612540147917,108.63492068892127
31,2020-02-22,0,68.21152770188944,56.24239889846237,True,32,0.24875791673277636,108.63492068892127
32,2020-02-23,0,68.21152770188944,56.24239889846237,True,33,0.29437556085337196,108.63492068892127
33,2020-02-24,0,68.21152770188944,56.24239889846237,True,34,0.348332682337624,108.63492068892127
34,2020-02-25,0,68.21152770188944,56.24239889846237,True,35,0.41214346055641576,108.63492068892127
35,2020-02-26,0,68.21152770188944,56.24239889846237,True,36,0.4875928547178011,108.63492068892127
36,2020-02-27,0,68.21152770188944,56.24239889846237,True,37,0.5767833718725777,108.63492068892127
37,2020-02-28,0,68.21152770188944,56.24239889846237,True,38,0.6821892491779135,108.63492068892127
38,2020-02-29,0,68.21152770188944,56.24239889846237,True,39,0.8067189556635668,108.63492068892127
39,2020-03-01,0,68.21152770188944,56.24239889846237,True,40,0.953786912687193,108.63492068892127
40,2020-03-02,1,68.21152770188944,56.24239889846237,True,41,1.1273952630659612,108.63492068892127
41,2020-03-03,1,68.21152770188944,56.24239889846237,True,42,1.332226354533218,108.63492068892127
42,2020-03-04,1,68.21152770188944,56.24239889846237,True,43,1.573746300366916,108.63492068892127
43,2020-03-05,1,68.21152770188944,56.24239889846237,True,44,1.8583194814474935,108.63492068892127
44,2020-03-06,1,68.21152770188944,56.24239889846237,True,45,2.1933330857648587,108.63492068892127
45,2020-03-07,1,68.21152770188944,56.24239889846237,True,46,2.587329651379911,108.63492068892127
46,2020-03-08,2,68.21152770188944,56.24239889846237,True,47,3.0501439769508205,108.63492068892127
