,Report_Date,Burma_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.48930258425754,27.75293356729668,False,1,0.0014380766344822573,0.20131854588448791
1,2020-01-23,0,79.48930258425754,27.75293356729668,False,2,0.0016451886520280053,0.20131854588448791
2,2020-01-24,0,79.48930258425754,27.75293356729668,False,3,0.0018821279626552191,0.20131854588448791
3,2020-01-25,0,79.48930258425754,27.75293356729668,False,4,0.00215318983970566,0.20131854588448791
4,2020-01-26,0,79.48930258425754,27.75293356729668,False,5,0.002463288000058713,0.20131854588448791
5,2020-01-27,0,79.48930258425754,27.75293356729668,False,6,0.0028180436193064083,0.20131854588448791
6,2020-01-28,0,79.48930258425754,27.75293356729668,False,7,0.003223887150061488,0.20131854588448791
7,2020-01-29,0,79.48930258425754,27.75293356729668,False,8,0.0036881747820450396,0.20131854588448791
8,2020-01-30,0,79.48930258425754,27.75293356729668,False,9,0.004219321645769237,0.20131854588448791
9,2020-01-31,0,79.48930258425754,27.75293356729668,False,10,0.004826954162196287,0.20131854588448791
10,2020-02-01,0,79.48930258425754,27.75293356729668,False,11,0.005522084283946669,0.20131854588448791
11,2020-02-02,0,79.48930258425754,27.75293356729668,False,12,0.006317308765383395,0.20131854588448791
12,2020-02-03,0,79.48930258425754,27.75293356729668,False,13,0.007227037045941085,0.20131854588448791
13,2020-02-04,0,79.48930258425754,27.75293356729668,False,14,0.008267751841013122,0.20131854588448791
14,2020-02-05,0,79.48930258425754,27.75293356729668,False,15,0.009458307116159696,0.20131854588448791
15,2020-02-06,0,79.48930258425754,27.75293356729668,False,16,0.010820268783055472,0.20131854588448791
16,2020-02-07,0,79.48930258425754,27.75293356729668,False,17,0.012378304210373557,0.20131854588448791
17,2020-02-08,0,79.48930258425754,27.75293356729668,False,18,0.014160627501949258,0.20131854588448791
18,2020-02-09,0,79.48930258425754,27.75293356729668,False,19,0.016199508471782174,0.20131854588448791
19,2020-02-10,0,79.48930258425754,27.75293356729668,False,20,0.018531854355980308,0.20131854588448791
20,2020-02-11,0,79.48930258425754,27.75293356729668,False,21,0.021199874562553497,0.20131854588448791
21,2020-02-12,0,79.48930258425754,27.75293356729668,False,22,0.024251840189694278,0.20131854588448791
22,2020-02-13,0,79.48930258425754,27.75293356729668,False,23,0.027742951662294284,0.20131854588448791
23,2020-02-14,0,79.48930258425754,27.75293356729668,False,24,0.03173632966714637,0.20131854588448791
24,2020-02-15,0,79.48930258425754,27.75293356729668,False,25,0.036304146633450336,0.20131854588448791
25,2020-02-16,0,79.48930258425754,27.75293356729668,False,26,0.041528918332178345,0.20131854588448791
26,2020-02-17,0,79.48930258425754,27.75293356729668,False,27,0.04750497778190892,0.20131854588448791
27,2020-02-18,0,79.48930258425754,27.75293356729668,False,28,0.054340156576652865,0.20131854588448791
28,2020-02-19,0,79.48930258425754,27.75293356729668,False,29,0.06215770201917605,0.20131854588448791
29,2020-02-20,0,79.48930258425754,27.75293356729668,False,30,0.07109846207564846,0.20131854588448791
30,2020-02-21,0,79.48930258425754,27.75293356729668,False,31,0.08132337418451169,0.20131854588448791
31,2020-02-22,0,79.48930258425754,27.75293356729668,False,32,0.0930162983680562,0.20131854588448791
32,2020-02-23,0,79.48930258425754,27.75293356729668,False,33,0.10638723991281825,0.20131854588448791
33,2020-02-24,0,79.48930258425754,27.75293356729668,False,34,0.12167601209271395,0.20131854588448791
34,2020-02-25,0,79.48930258425754,27.75293356729668,False,35,0.13915639497296237,0.20131854588448791
