,Report_Date,Guinea-Bissau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.37875877336666,34.971394725893134,False,1,0.024322258114907958,1.3133457829246473
1,2020-01-23,0,88.37875877336666,34.971394725893134,False,2,0.02664225906965393,1.3133457829246473
2,2020-01-24,0,88.37875877336666,34.971394725893134,False,3,0.02918346308161113,1.3133457829246473
3,2020-01-25,0,88.37875877336666,34.971394725893134,False,4,0.03196694254125804,1.3133457829246473
4,2020-01-26,0,88.37875877336666,34.971394725893134,False,5,0.03501577356204793,1.3133457829246473
5,2020-01-27,0,88.37875877336666,34.971394725893134,False,6,0.03835522577237952,1.3133457829246473
6,2020-01-28,0,88.37875877336666,34.971394725893134,False,7,0.04201296993717339,1.3133457829246473
7,2020-01-29,0,88.37875877336666,34.971394725893134,False,8,0.046019305054480146,1.3133457829246473
8,2020-01-30,0,88.37875877336666,34.971394725893134,False,9,0.05040740671844767,1.3133457829246473
9,2020-01-31,0,88.37875877336666,34.971394725893134,False,10,0.055213598697598086,1.3133457829246473
10,2020-02-01,0,88.37875877336666,34.971394725893134,False,11,0.06047764984739821,1.3133457829246473
11,2020-02-02,0,88.37875877336666,34.971394725893134,False,12,0.06624309865921567,1.3133457829246473
12,2020-02-03,0,88.37875877336666,34.971394725893134,False,13,0.07255760794456735,1.3133457829246473
13,2020-02-04,0,88.37875877336666,34.971394725893134,False,14,0.07947335236465732,1.3133457829246473
14,2020-02-05,0,88.37875877336666,34.971394725893134,False,15,0.08704744174105071,1.3133457829246473
15,2020-02-06,0,88.37875877336666,34.971394725893134,False,16,0.09534238332429575,1.3133457829246473
16,2020-02-07,0,88.37875877336666,34.971394725893134,False,17,0.10442658645358058,1.3133457829246473
17,2020-02-08,0,88.37875877336666,34.971394725893134,False,18,0.11437491331206563,1.3133457829246473
18,2020-02-09,0,88.37875877336666,34.971394725893134,False,19,0.12526927976904778,1.3133457829246473
19,2020-02-10,0,88.37875877336666,34.971394725893134,False,20,0.13719931060091084,1.3133457829246473
20,2020-02-11,0,88.37875877336666,34.971394725893134,False,21,0.15026305369675091,1.3133457829246473
21,2020-02-12,0,88.37875877336666,34.971394725893134,False,22,0.16456775817991431,1.3133457829246473
22,2020-02-13,0,88.37875877336666,34.971394725893134,False,23,0.18023072171100968,1.3133457829246473
23,2020-02-14,0,88.37875877336666,34.971394725893134,False,24,0.1973802125779305,1.3133457829246473
