,Report_Date,Turkey_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,86.44153266568914,71410.09280715171,False,1,1.6316507201546873,142820.18561430345
1,2020-01-23,0,86.44153266568914,71410.09280715171,False,2,1.8640993518589528,142820.18561430345
2,2020-01-24,0,86.44153266568914,71410.09280715171,False,3,2.1296626446859346,142820.18561430345
3,2020-01-25,0,86.44153266568914,71410.09280715171,False,4,2.433057966680123,142820.18561430345
4,2020-01-26,0,86.44153266568914,71410.09280715171,False,5,2.7796746552550555,142820.18561430345
5,2020-01-27,0,86.44153266568914,71410.09280715171,False,6,3.1756697223820183,142820.18561430345
6,2020-01-28,0,86.44153266568914,71410.09280715171,False,7,3.6280771862978365,142820.18561430345
7,2020-01-29,0,86.44153266568914,71410.09280715171,False,8,4.1449329685694805,142820.18561430345
8,2020-01-30,0,86.44153266568914,71410.09280715171,False,9,4.735417570819721,142820.18561430345
9,2020-01-31,0,86.44153266568914,71410.09280715171,False,10,5.41001905990038,142820.18561430345
10,2020-02-01,0,86.44153266568914,71410.09280715171,False,11,6.180719249286553,142820.18561430345
11,2020-02-02,0,86.44153266568914,71410.09280715171,False,12,7.061206374205952,142820.18561430345
12,2020-02-03,0,86.44153266568914,71410.09280715171,False,13,8.067118025624277,142820.18561430345
13,2020-02-04,0,86.44153266568914,71410.09280715171,False,14,9.216318641769382,142820.18561430345
14,2020-02-05,0,86.44153266568914,71410.09280715171,False,15,10.529216464588423,142820.18561430345
15,2020-02-06,0,86.44153266568914,71410.09280715171,False,16,12.02912556283579,142820.18561430345
16,2020-02-07,0,86.44153266568914,71410.09280715171,False,17,13.742679315235838,142820.18561430345
17,2020-02-08,0,86.44153266568914,71410.09280715171,False,18,15.70030264978708,142820.18561430345
18,2020-02-09,0,86.44153266568914,71410.09280715171,False,19,17.936751363984893,142820.18561430345
19,2020-02-10,0,86.44153266568914,71410.09280715171,False,20,20.491728022738602,142820.18561430345
20,2020-02-11,0,86.44153266568914,71410.09280715171,False,21,23.410585265465077,142820.18561430345
21,2020-02-12,0,86.44153266568914,71410.09280715171,False,22,26.745128873137876,142820.18561430345
22,2020-02-13,0,86.44153266568914,71410.09280715171,False,23,30.55453467456613,142820.18561430345
23,2020-02-14,0,86.44153266568914,71410.09280715171,False,24,34.906395336470204,142820.18561430345
24,2020-02-15,0,86.44153266568914,71410.09280715171,False,25,39.87791531487361,142820.18561430345
25,2020-02-16,0,86.44153266568914,71410.09280715171,False,26,45.55727478033432,142820.18561430345
26,2020-02-17,0,86.44153266568914,71410.09280715171,False,27,52.04518620474623,142820.18561430345
27,2020-02-18,0,86.44153266568914,71410.09280715171,False,28,59.45667055497188,142820.18561430345
28,2020-02-19,0,86.44153266568914,71410.09280715171,False,29,67.92308372461751,142820.18561430345
29,2020-02-20,0,86.44153266568914,71410.09280715171,False,30,77.59442800011904,142820.18561430345
30,2020-02-21,0,86.44153266568914,71410.09280715171,False,31,88.64198805518208,142820.18561430345
31,2020-02-22,0,86.44153266568914,71410.09280715171,False,32,101.26133625624036,142820.18561430345
32,2020-02-23,0,86.44153266568914,71410.09280715171,False,33,115.6757580014519,142820.18561430345
33,2020-02-24,0,86.44153266568914,71410.09280715171,False,34,132.14015446888618,142820.18561430345
