,Report_Date,Malta_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.37340137540049,173.21590222760133,True,1,0.011268110520038902,326.8533411148302
1,2020-01-23,0,69.37340137540049,173.21590222760133,True,2,0.0131064397147786,326.8533411148302
2,2020-01-24,0,69.37340137540049,173.21590222760133,True,3,0.015244668835518664,326.8533411148302
3,2020-01-25,0,69.37340137540049,173.21590222760133,True,4,0.0177317180667982,326.8533411148302
4,2020-01-26,0,69.37340137540049,173.21590222760133,True,5,0.02062448589299385,326.8533411148302
5,2020-01-27,0,69.37340137540049,173.21590222760133,True,6,0.023989149684038022,326.8533411148302
6,2020-01-28,0,69.37340137540049,173.21590222760133,True,7,0.0279026780919379,326.8533411148302
7,2020-01-29,0,69.37340137540049,173.21590222760133,True,8,0.03245458968092724,326.8533411148302
8,2020-01-30,0,69.37340137540049,173.21590222760133,True,9,0.03774899778285639,326.8533411148302
9,2020-01-31,0,69.37340137540049,173.21590222760133,True,10,0.0439069880300665,326.8533411148302
10,2020-02-01,0,69.37340137540049,173.21590222760133,True,11,0.05106938251013407,326.8533411148302
11,2020-02-02,0,69.37340137540049,173.21590222760133,True,12,0.05939995317086197,326.8533411148302
12,2020-02-03,0,69.37340137540049,173.21590222760133,True,13,0.06908915716345121,326.8533411148302
13,2020-02-04,0,69.37340137540049,173.21590222760133,True,14,0.08035847845683705,326.8533411148302
14,2020-02-05,0,69.37340137540049,173.21590222760133,True,15,0.09346547352579691,326.8533411148302
15,2020-02-06,0,69.37340137540049,173.21590222760133,True,16,0.10870963448085398,326.8533411148302
16,2020-02-07,0,69.37340137540049,173.21590222760133,True,17,0.12643920097541078,326.8533411148302
17,2020-02-08,0,69.37340137540049,173.21590222760133,True,18,0.14705907293860587,326.8533411148302
18,2020-02-09,0,69.37340137540049,173.21590222760133,True,19,0.17104000002396905,326.8533411148302
19,2020-02-10,0,69.37340137540049,173.21590222760133,True,20,0.1989292510567013,326.8533411148302
20,2020-02-11,0,69.37340137540049,173.21590222760133,True,21,0.23136299816736391,326.8533411148302
21,2020-02-12,0,69.37340137540049,173.21590222760133,True,22,0.26908068621210374,326.8533411148302
22,2020-02-13,0,69.37340137540049,173.21590222760133,True,23,0.31294169901999985,326.8533411148302
23,2020-02-14,0,69.37340137540049,173.21590222760133,True,24,0.3639446805082866,326.8533411148302
24,2020-02-15,0,69.37340137540049,173.21590222760133,True,25,0.4232499212850794,326.8533411148302
25,2020-02-16,0,69.37340137540049,173.21590222760133,True,26,0.49220528048754947,326.8533411148302
26,2020-02-17,0,69.37340137540049,173.21590222760133,True,27,0.5723761786512673,326.8533411148302
27,2020-02-18,0,69.37340137540049,173.21590222760133,True,28,0.6655802705674467,326.8533411148302
28,2020-02-19,0,69.37340137540049,173.21590222760133,True,29,0.773927487269894,326.8533411148302
29,2020-02-20,0,69.37340137540049,173.21590222760133,True,30,0.8998662229821649,326.8533411148302
30,2020-02-21,0,69.37340137540049,173.21590222760133,True,31,1.0462365348920262,326.8533411148302
31,2020-02-22,0,69.37340137540049,173.21590222760133,True,32,1.2163313189372587,326.8533411148302
32,2020-02-23,0,69.37340137540049,173.21590222760133,True,33,1.413966520033426,326.8533411148302
33,2020-02-24,0,69.37340137540049,173.21590222760133,True,34,1.6435615252243807,326.8533411148302
34,2020-02-25,0,69.37340137540049,173.21590222760133,True,35,1.9102309655437817,326.8533411148302
