,Report_Date,Australia_northern territory_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.89105231131938,21.944372851980614,True,1,0.0005139769090483538,40.19267155331775
1,2020-01-23,0,72.89105231131938,21.944372851980614,True,2,0.0006019192920202282,40.19267155331775
2,2020-01-24,0,72.89105231131938,21.944372851980614,True,3,0.0007049085348210006,40.19267155331775
3,2020-01-25,0,72.89105231131938,21.944372851980614,True,4,0.0008255190513768645,40.19267155331775
4,2020-01-26,0,72.89105231131938,21.944372851980614,True,5,0.0009667656867286948,40.19267155331775
5,2020-01-27,0,72.89105231131938,21.944372851980614,True,6,0.0011321790536634251,40.19267155331775
6,2020-01-28,0,72.89105231131938,21.944372851980614,True,7,0.001325893751226133,40.19267155331775
7,2020-01-29,0,72.89105231131938,21.944372851980614,True,8,0.001552751666087864,40.19267155331775
8,2020-01-30,0,72.89105231131938,21.944372851980614,True,9,0.0018184229331635572,40.19267155331775
9,2020-01-31,0,72.89105231131938,21.944372851980614,True,10,0.002129547571092694,40.19267155331775
10,2020-02-01,0,72.89105231131938,21.944372851980614,True,11,0.0024939013219665526,40.19267155331775
11,2020-02-02,0,72.89105231131938,21.944372851980614,True,12,0.0029205898255442414,40.19267155331775
12,2020-02-03,0,72.89105231131938,21.944372851980614,True,13,0.003420275960741092,40.19267155331775
13,2020-02-04,0,72.89105231131938,21.944372851980614,True,14,0.004005446008378224,40.19267155331775
14,2020-02-05,0,72.89105231131938,21.944372851980614,True,15,0.004690721248782163,40.19267155331775
15,2020-02-06,0,72.89105231131938,21.944372851980614,True,16,0.005493222728713455,40.19267155331775
16,2020-02-07,0,72.89105231131938,21.944372851980614,True,17,0.006432998240804864,40.19267155331775
17,2020-02-08,0,72.89105231131938,21.944372851980614,True,18,0.007533522085864514,40.19267155331775
18,2020-02-09,0,72.89105231131938,21.944372851980614,True,19,0.008822279969409567,40.19267155331775
19,2020-02-10,0,72.89105231131938,21.944372851980614,True,20,0.010331453459308197,40.19267155331775
20,2020-02-11,0,72.89105231131938,21.944372851980614,True,21,0.012098720848024437,40.19267155331775
21,2020-02-12,0,72.89105231131938,21.944372851980614,True,22,0.014168194073860826,40.19267155331775
22,2020-02-13,0,72.89105231131938,21.944372851980614,True,23,0.016591514621142923,40.19267155331775
23,2020-02-14,0,72.89105231131938,21.944372851980614,True,24,0.019429135107569794,40.19267155331775
24,2020-02-15,0,72.89105231131938,21.944372851980614,True,25,0.0227518176541243,40.19267155331775
25,2020-02-16,0,72.89105231131938,21.944372851980614,True,26,0.02664238520331433,40.19267155331775
26,2020-02-17,0,72.89105231131938,21.944372851980614,True,27,0.03119776779719641,40.19267155331775
