,Report_Date,UK_montserrat_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.45973588864211,5.474836458670885,True,1,0.00012863688544081974,10.237047713236663
1,2020-01-23,0,71.45973588864211,5.474836458670885,True,2,0.00015112422844443303,10.237047713236663
2,2020-01-24,0,71.45973588864211,5.474836458670885,True,3,0.00017754257766151483,10.237047713236663
3,2020-01-25,0,71.45973588864211,5.474836458670885,True,4,0.00020857908696835683,10.237047713236663
4,2020-01-26,0,71.45973588864211,5.474836458670885,True,5,0.00024504101797142875,10.237047713236663
5,2020-01-27,0,71.45973588864211,5.474836458670885,True,6,0.00028787673015317404,10.237047713236663
6,2020-01-28,0,71.45973588864211,5.474836458670885,True,7,0.00033820033794483437,10.237047713236663
7,2020-01-29,0,71.45973588864211,5.474836458670885,True,8,0.0003973206748231672,10.237047713236663
8,2020-01-30,0,71.45973588864211,5.474836458670885,True,9,0.00046677531607035717,10.237047713236663
9,2020-01-31,0,71.45973588864211,5.474836458670885,True,10,0.00054837054274283,10.237047713236663
10,2020-02-01,0,71.45973588864211,5.474836458670885,True,11,0.0006442282829987826,10.237047713236663
11,2020-02-02,0,71.45973588864211,5.474836458670885,True,12,0.0007568412471330076,10.237047713236663
12,2020-02-03,0,71.45973588864211,5.474836458670885,True,13,0.0008891376840123442,10.237047713236663
13,2020-02-04,0,71.45973588864211,5.474836458670885,True,14,0.0010445574344056289,10.237047713236663
14,2020-02-05,0,71.45973588864211,5.474836458670885,True,15,0.0012271412471452357,10.237047713236663
15,2020-02-06,0,71.45973588864211,5.474836458670885,True,16,0.0014416356643409721,10.237047713236663
16,2020-02-07,0,71.45973588864211,5.474836458670885,True,17,0.001693616180350048,10.237047713236663
17,2020-02-08,0,71.45973588864211,5.474836458670885,True,18,0.0019896318455749416,10.237047713236663
18,2020-02-09,0,71.45973588864211,5.474836458670885,True,19,0.002337375031608523,10.237047713236663
19,2020-02-10,0,71.45973588864211,5.474836458670885,True,20,0.0027458807116693988,10.237047713236663
20,2020-02-11,0,71.45973588864211,5.474836458670885,True,21,0.0032257603544704953,10.237047713236663
21,2020-02-12,0,71.45973588864211,5.474836458670885,True,22,0.003789476397545598,10.237047713236663
22,2020-02-13,0,71.45973588864211,5.474836458670885,True,23,0.004451664276817956,10.237047713236663
