,Report_Date,China_yunnan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,11.377248697552641,87.87461422684686,True,1,11.64795095745929,175.74922787558552
1,2020-01-23,2,11.377248697552641,87.87461422684686,True,2,14.746238239691639,175.74922787558552
2,2020-01-24,5,11.377248697552641,87.87461422684686,True,3,18.575365344339023,175.74922787558552
3,2020-01-25,11,11.377248697552641,87.87461422684686,True,4,23.255178059818864,175.74922787558552
4,2020-01-26,16,11.377248697552641,87.87461422684686,True,5,28.89723824722663,175.74922787558552
5,2020-01-27,26,11.377248697552641,87.87461422684686,True,6,35.58868932069881,175.74922787558552
6,2020-01-28,44,11.377248697552641,87.87461422684686,True,7,43.37198511818404,175.74922787558552
7,2020-01-29,55,11.377248697552641,87.87461422684686,True,8,52.22325901567355,175.74922787558552
8,2020-01-30,70,11.377248697552641,87.87461422684686,True,9,62.03439508437745,175.74922787558552
9,2020-01-31,83,11.377248697552641,87.87461422684686,True,10,72.60534995257768,175.74922787558552
10,2020-02-01,93,11.377248697552641,87.87461422684686,True,11,83.65251776516473,175.74922787558552
11,2020-02-02,105,11.377248697552641,87.87461422684686,True,12,94.83508836705344,175.74922787558552
12,2020-02-03,117,11.377248697552641,87.87461422684686,True,13,105.79530939334485,175.74922787558552
13,2020-02-04,122,11.377248697552641,87.87461422684686,True,14,116.20309195725557,175.74922787558552
14,2020-02-05,128,11.377248697552641,87.87461422684686,True,15,125.79357602557566,175.74922787558552
15,2020-02-06,133,11.377248697552641,87.87461422684686,True,16,134.38920151683203,175.74922787558552
16,2020-02-07,138,11.377248697552641,87.87461422684686,True,17,141.90375494853444,175.74922787558552
17,2020-02-08,138,11.377248697552641,87.87461422684686,True,18,148.33155904497644,175.74922787558552
18,2020-02-09,141,11.377248697552641,87.87461422684686,True,19,153.72805871458715,175.74922787558552
19,2020-02-10,149,11.377248697552641,87.87461422684686,True,20,158.18814006885512,175.74922787558552
