,Report_Date,Canada_alberta_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.46246854110684,1114.5117349044472,True,1,0.026017016584222567,1984.342831141256
1,2020-01-23,0,74.46246854110684,1114.5117349044472,True,2,0.030367187278240556,1984.342831141256
2,2020-01-24,0,74.46246854110684,1114.5117349044472,True,3,0.03544471593366921,1984.342831141256
3,2020-01-25,0,74.46246854110684,1114.5117349044472,True,4,0.041371214185684325,1984.342831141256
4,2020-01-26,0,74.46246854110684,1114.5117349044472,True,5,0.048288625178730574,1984.342831141256
5,2020-01-27,0,74.46246854110684,1114.5117349044472,True,6,0.056362622117498734,1984.342831141256
6,2020-01-28,0,74.46246854110684,1114.5117349044472,True,7,0.0657865747095422,1984.342831141256
7,2020-01-29,0,74.46246854110684,1114.5117349044472,True,8,0.07678617832091392,1984.342831141256
8,2020-01-30,0,74.46246854110684,1114.5117349044472,True,9,0.08962485647242215,1984.342831141256
9,2020-01-31,0,74.46246854110684,1114.5117349044472,True,10,0.10461006573563056,1984.342831141256
10,2020-02-01,0,74.46246854110684,1114.5117349044472,True,11,0.12210065357716737,1984.342831141256
11,2020-02-02,0,74.46246854110684,1114.5117349044472,True,12,0.14251544474987995,1984.342831141256
12,2020-02-03,0,74.46246854110684,1114.5117349044472,True,13,0.16634326102340793,1984.342831141256
13,2020-02-04,0,74.46246854110684,1114.5117349044472,True,14,0.19415461306166704,1984.342831141256
14,2020-02-05,0,74.46246854110684,1114.5117349044472,True,15,0.2266153428747094,1984.342831141256
15,2020-02-06,0,74.46246854110684,1114.5117349044472,True,16,0.26450254140482604,1984.342831141256
16,2020-02-07,0,74.46246854110684,1114.5117349044472,True,17,0.3087231194998743,1984.342831141256
17,2020-02-08,0,74.46246854110684,1114.5117349044472,True,18,0.3603354729895798,1984.342831141256
18,2020-02-09,0,74.46246854110684,1114.5117349044472,True,19,0.42057475520405607,1984.342831141256
19,2020-02-10,0,74.46246854110684,1114.5117349044472,True,20,0.490882354654557,1984.342831141256
20,2020-02-11,0,74.46246854110684,1114.5117349044472,True,21,0.5729402735611236,1984.342831141256
21,2020-02-12,0,74.46246854110684,1114.5117349044472,True,22,0.6687112165421057,1984.342831141256
22,2020-02-13,0,74.46246854110684,1114.5117349044472,True,23,0.780485330438291,1984.342831141256
