,Report_Date,Canada_prince edward island_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.17294337513377,18.35174095212014,True,1,0.00043050699369855295,33.98213903453702
1,2020-01-23,0,72.17294337513377,18.35174095212014,True,2,0.0005049604558926805,33.98213903453702
2,2020-01-24,0,72.17294337513377,18.35174095212014,True,3,0.0005922899657686577,33.98213903453702
3,2020-01-25,0,72.17294337513377,18.35174095212014,True,4,0.0006947222403287615,33.98213903453702
4,2020-01-26,0,72.17294337513377,18.35174095212014,True,5,0.0008148690441376517,33.98213903453702
5,2020-01-27,0,72.17294337513377,18.35174095212014,True,6,0.0009557937613522186,33.98213903453702
6,2020-01-28,0,72.17294337513377,18.35174095212014,True,7,0.0011210894734456553,33.98213903453702
7,2020-01-29,0,72.17294337513377,18.35174095212014,True,8,0.0013149705296061573,33.98213903453702
8,2020-01-30,0,72.17294337513377,18.35174095212014,True,9,0.0015423799393475878,33.98213903453702
9,2020-01-31,0,72.17294337513377,18.35174095212014,True,10,0.0018091153182632658,33.98213903453702
10,2020-02-01,0,72.17294337513377,18.35174095212014,True,11,0.00212197658810755,33.98213903453702
11,2020-02-02,0,72.17294337513377,18.35174095212014,True,12,0.002488939183201925,33.98213903453702
12,2020-02-03,0,72.17294337513377,18.35174095212014,True,13,0.002919357160176115,33.98213903453702
13,2020-02-04,0,72.17294337513377,18.35174095212014,True,14,0.0034242013631647058,33.98213903453702
14,2020-02-05,0,72.17294337513377,18.35174095212014,True,15,0.004016338680280104,33.98213903453702
15,2020-02-06,0,72.17294337513377,18.35174095212014,True,16,0.004710859460961226,33.98213903453702
16,2020-02-07,0,72.17294337513377,18.35174095212014,True,17,0.0055254613725766386,33.98213903453702
17,2020-02-08,0,72.17294337513377,18.35174095212014,True,18,0.006480899387287118,33.98213903453702
18,2020-02-09,0,72.17294337513377,18.35174095212014,True,19,0.00760151323994918,33.98213903453702
19,2020-02-10,0,72.17294337513377,18.35174095212014,True,20,0.008915845623101604,33.98213903453702
20,2020-02-11,0,72.17294337513377,18.35174095212014,True,21,0.010457366629783063,33.98213903453702
21,2020-02-12,0,72.17294337513377,18.35174095212014,True,22,0.0122653225692699,33.98213903453702
22,2020-02-13,0,72.17294337513377,18.35174095212014,True,23,0.014385730321783634,33.98213903453702
