,Report_Date,Kosovo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.28305799012765,151.49848937799263,True,1,0.00353060590403601,265.08498398412775
1,2020-01-23,0,75.28305799012765,151.49848937799263,True,2,0.004114001185433083,265.08498398412775
2,2020-01-24,0,75.28305799012765,151.49848937799263,True,3,0.004793794841153637,265.08498398412775
3,2020-01-25,0,75.28305799012765,151.49848937799263,True,4,0.005585914885221997,265.08498398412775
4,2020-01-26,0,75.28305799012765,151.49848937799263,True,5,0.006508920940466597,265.08498398412775
5,2020-01-27,0,75.28305799012765,151.49848937799263,True,6,0.007584438960156341,265.08498398412775
6,2020-01-28,0,75.28305799012765,151.49848937799263,True,7,0.00883766773733329,265.08498398412775
7,2020-01-29,0,75.28305799012765,151.49848937799263,True,8,0.01029796904755061,265.08498398412775
8,2020-01-30,0,75.28305799012765,151.49848937799263,True,9,0.01199955522218857,265.08498398412775
9,2020-01-31,0,75.28305799012765,151.49848937799263,True,10,0.013982290221323534,265.08498398412775
10,2020-02-01,0,75.28305799012765,151.49848937799263,True,11,0.016292622919439434,265.08498398412775
11,2020-02-02,0,75.28305799012765,151.49848937799263,True,12,0.01898467439462158,265.08498398412775
12,2020-02-03,0,75.28305799012765,151.49848937799263,True,13,0.022121504592414902,265.08498398412775
13,2020-02-04,0,75.28305799012765,151.49848937799263,True,14,0.025776587900512408,265.08498398412775
14,2020-02-05,0,75.28305799012765,151.49848937799263,True,15,0.030035532013861218,265.08498398412775
15,2020-02-06,0,75.28305799012765,151.49848937799263,True,16,0.034998080100242565,265.08498398412775
16,2020-02-07,0,75.28305799012765,151.49848937799263,True,17,0.040780442819205676,265.08498398412775
17,2020-02-08,0,75.28305799012765,151.49848937799263,True,18,0.04751801434673666,265.08498398412775
18,2020-02-09,0,75.28305799012765,151.49848937799263,True,19,0.05536853538009597,265.08498398412775
19,2020-02-10,0,75.28305799012765,151.49848937799263,True,20,0.06451577633203634,265.08498398412775
20,2020-02-11,0,75.28305799012765,151.49848937799263,True,21,0.07517382578850011,265.08498398412775
21,2020-02-12,0,75.28305799012765,151.49848937799263,True,22,0.0875920830464802,265.08498398412775
22,2020-02-13,0,75.28305799012765,151.49848937799263,True,23,0.10206106944978201,265.08498398412775
23,2020-02-14,0,75.28305799012765,151.49848937799263,True,24,0.11891919161663327,265.08498398412775
24,2020-02-15,0,75.28305799012765,151.49848937799263,True,25,0.13856061085930038,265.08498398412775
25,2020-02-16,0,75.28305799012765,151.49848937799263,True,26,0.16144439752640652,265.08498398412775
26,2020-02-17,0,75.28305799012765,151.49848937799263,True,27,0.18810517708708288,265.08498398412775
27,2020-02-18,0,75.28305799012765,151.49848937799263,True,28,0.21916550699266804,265.08498398412775
28,2020-02-19,0,75.28305799012765,151.49848937799263,True,29,0.2553502601971706,265.08498398412775
29,2020-02-20,0,75.28305799012765,151.49848937799263,True,30,0.2975033332120575,265.08498398412775
30,2020-02-21,0,75.28305799012765,151.49848937799263,True,31,0.3466070442343649,265.08498398412775
31,2020-02-22,0,75.28305799012765,151.49848937799263,True,32,0.4038046407108764,265.08498398412775
32,2020-02-23,0,75.28305799012765,151.49848937799263,True,33,0.4704263961032082,265.08498398412775
33,2020-02-24,0,75.28305799012765,151.49848937799263,True,34,0.5480198428796627,265.08498398412775
34,2020-02-25,0,75.28305799012765,151.49848937799263,True,35,0.6383847629307188,265.08498398412775
35,2020-02-26,0,75.28305799012765,151.49848937799263,True,36,0.7436136373781561,265.08498398412775
36,2020-02-27,0,75.28305799012765,151.49848937799263,True,37,0.8661383442769763,265.08498398412775
37,2020-02-28,0,75.28305799012765,151.49848937799263,True,38,1.0087839833645047,265.08498398412775
38,2020-02-29,0,75.28305799012765,151.49848937799263,True,39,1.1748307990463702,265.08498398412775
39,2020-03-01,0,75.28305799012765,151.49848937799263,True,40,1.3680852619182464,265.08498398412775
40,2020-03-02,0,75.28305799012765,151.49848937799263,True,41,1.5929614488525625,265.08498398412775
41,2020-03-03,0,75.28305799012765,151.49848937799263,True,42,1.854573922667309,265.08498398412775
42,2020-03-04,0,75.28305799012765,151.49848937799263,True,43,2.1588433413852877,265.08498398412775
43,2020-03-05,0,75.28305799012765,151.49848937799263,True,44,2.5126160057073172,265.08498398412775
44,2020-03-06,0,75.28305799012765,151.49848937799263,True,45,2.92379845653847,265.08498398412775
45,2020-03-07,0,75.28305799012765,151.49848937799263,True,46,3.4015080287412585,265.08498398412775
46,2020-03-08,0,75.28305799012765,151.49848937799263,True,47,3.956239908727644,265.08498398412775
47,2020-03-09,0,75.28305799012765,151.49848937799263,True,48,4.600050675259901,265.08498398412775
48,2020-03-10,0,75.28305799012765,151.49848937799263,True,49,5.346757453204134,265.08498398412775
49,2020-03-11,0,75.28305799012765,151.49848937799263,True,50,6.212150590705333,265.08498398412775
50,2020-03-12,0,75.28305799012765,151.49848937799263,True,51,7.214216076121499,265.08498398412775
51,2020-03-13,0,75.28305799012765,151.49848937799263,True,52,8.373361621963936,265.08498398412775
52,2020-03-14,0,75.28305799012765,151.49848937799263,True,53,9.712637330289327,265.08498398412775
53,2020-03-15,0,75.28305799012765,151.49848937799263,True,54,11.257937993016576,265.08498398412775
54,2020-03-16,0,75.28305799012765,151.49848937799263,True,55,13.038169274278347,265.08498398412775
55,2020-03-17,0,75.28305799012765,151.49848937799263,True,56,15.085354237158672,265.08498398412775
56,2020-03-18,0,75.28305799012765,151.49848937799263,True,57,17.434650000448677,265.08498398412775
