,Report_Date,Dominican Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.06193916407204,2161.676282855751,False,1,0.0501034142443026,4323.352565711506
1,2020-01-23,0,78.06193916407204,2161.676282855751,False,2,0.05806550704213737,4323.352565711506
2,2020-01-24,0,78.06193916407204,2161.676282855751,False,3,0.06729286161755497,4323.352565711506
3,2020-01-25,0,78.06193916407204,2161.676282855751,False,4,0.07798653485461526,4323.352565711506
4,2020-01-26,0,78.06193916407204,2161.676282855751,False,5,0.09037953033678836,4323.352565711506
5,2020-01-27,0,78.06193916407204,2161.676282855751,False,6,0.10474187368527932,4323.352565711506
6,2020-01-28,0,78.06193916407204,2161.676282855751,False,7,0.12138649393813888,4323.352565711506
7,2020-01-29,0,78.06193916407204,2161.676282855751,False,8,0.14067603888806207,4323.352565711506
8,2020-01-30,0,78.06193916407204,2161.676282855751,False,9,0.16303077256509918,4323.352565711506
9,2020-01-31,0,78.06193916407204,2161.676282855751,False,10,0.1889377265192711,4323.352565711506
10,2020-02-01,0,78.06193916407204,2161.676282855751,False,11,0.21896130372885927,4323.352565711506
11,2020-02-02,0,78.06193916407204,2161.676282855751,False,12,0.253755565411804,4323.352565711506
12,2020-02-03,0,78.06193916407204,2161.676282855751,False,13,0.29407846741781374,4323.352565711506
13,2020-02-04,0,78.06193916407204,2161.676282855751,False,14,0.34080835499685136,4323.352565711506
14,2020-02-05,0,78.06193916407204,2161.676282855751,False,15,0.39496307346143467,4323.352565711506
15,2020-02-06,0,78.06193916407204,2161.676282855751,False,16,0.45772210860445595,4323.352565711506
16,2020-02-07,0,78.06193916407204,2161.676282855751,False,17,0.5304522358711619,4323.352565711506
17,2020-02-08,0,78.06193916407204,2161.676282855751,False,18,0.6147372325556211,4323.352565711506
18,2020-02-09,0,78.06193916407204,2161.676282855751,False,19,0.7124122942348945,4323.352565711506
19,2020-02-10,0,78.06193916407204,2161.676282855751,False,20,0.82560389702354,4323.352565711506
20,2020-02-11,0,78.06193916407204,2161.676282855751,False,21,0.9567759630273015,4323.352565711506
21,2020-02-12,0,78.06193916407204,2161.676282855751,False,22,1.1087833198705561,4323.352565711506
22,2020-02-13,0,78.06193916407204,2161.676282855751,False,23,1.2849335989400879,4323.352565711506
23,2020-02-14,0,78.06193916407204,2161.676282855751,False,24,1.4890588939280447,4323.352565711506
24,2020-02-15,0,78.06193916407204,2161.676282855751,False,25,1.7255987046208818,4323.352565711506
25,2020-02-16,0,78.06193916407204,2161.676282855751,False,26,1.9996959242902996,4323.352565711506
26,2020-02-17,0,78.06193916407204,2161.676282855751,False,27,2.3173078964979354,4323.352565711506
27,2020-02-18,0,78.06193916407204,2161.676282855751,False,28,2.6853348730029767,4323.352565711506
