,Report_Date,Canada_saskatchewan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.69693651737113,189.58768149146493,True,1,0.004452182911653044,353.3934204332753
1,2020-01-23,0,71.69693651737113,189.58768149146493,True,2,0.005227693257272256,353.3934204332753
2,2020-01-24,0,71.69693651737113,189.58768149146493,True,3,0.006138284881434432,353.3934204332753
3,2020-01-25,0,71.69693651737113,189.58768149146493,True,4,0.007207485915848706,353.3934204332753
4,2020-01-26,0,71.69693651737113,189.58768149146493,True,5,0.00846292225189208,353.3934204332753
5,2020-01-27,0,71.69693651737113,189.58768149146493,True,6,0.009937031105115585,353.3934204332753
6,2020-01-28,0,71.69693651737113,189.58768149146493,True,7,0.011667898791519034,353.3934204332753
7,2020-01-29,0,71.69693651737113,189.58768149146493,True,8,0.013700244320377704,353.3934204332753
8,2020-01-30,0,71.69693651737113,189.58768149146493,True,9,0.0160865741597801,353.3934204332753
9,2020-01-31,0,71.69693651737113,189.58768149146493,True,10,0.018888537931340633,353.3934204332753
10,2020-02-01,0,71.69693651737113,189.58768149146493,True,11,0.022178519951111284,353.3934204332753
11,2020-02-02,0,71.69693651737113,189.58768149146493,True,12,0.0260415075846027,353.3934204332753
12,2020-02-03,0,71.69693651737113,189.58768149146493,True,13,0.030577284476875487,353.3934204332753
13,2020-02-04,0,71.69693651737113,189.58768149146493,True,14,0.03590300503093321,353.3934204332753
14,2020-02-05,0,71.69693651737113,189.58768149146493,True,15,0.04215621624534906,353.3934204332753
15,2020-02-06,0,71.69693651737113,189.58768149146493,True,16,0.04949840442498316,353.3934204332753
16,2020-02-07,0,71.69693651737113,189.58768149146493,True,17,0.058119157625158555,353.3934204332753
17,2020-02-08,0,71.69693651737113,189.58768149146493,True,18,0.06824105030218702,353.3934204332753
18,2020-02-09,0,71.69693651737113,189.58768149146493,True,19,0.08012537489418509,353.3934204332753
19,2020-02-10,0,71.69693651737113,189.58768149146493,True,20,0.09407886637472518,353.3934204332753
20,2020-02-11,0,71.69693651737113,189.58768149146493,True,21,0.11046159070028128,353.3934204332753
21,2020-02-12,0,71.69693651737113,189.58768149146493,True,22,0.1296961970728187,353.3934204332753
22,2020-02-13,0,71.69693651737113,189.58768149146493,True,23,0.15227876769957818,353.3934204332753
23,2020-02-14,0,71.69693651737113,189.58768149146493,True,24,0.17879153797274167,353.3934204332753
24,2020-02-15,0,71.69693651737113,189.58768149146493,True,25,0.2099178055161897,353.3934204332753
25,2020-02-16,0,71.69693651737113,189.58768149146493,True,26,0.24645939924263568,353.3934204332753
26,2020-02-17,0,71.69693651737113,189.58768149146493,True,27,0.28935714039718535,353.3934204332753
27,2020-02-18,0,71.69693651737113,189.58768149146493,True,28,0.3397147975603701,353.3934204332753
28,2020-02-19,0,71.69693651737113,189.58768149146493,True,29,0.39882711780698554,353.3934204332753
29,2020-02-20,0,71.69693651737113,189.58768149146493,True,30,0.4682126077162885,353.3934204332753
30,2020-02-21,0,71.69693651737113,189.58768149146493,True,31,0.54965184166771,353.3934204332753
31,2020-02-22,0,71.69693651737113,189.58768149146493,True,32,0.6452321915994823,353.3934204332753
32,2020-02-23,0,71.69693651737113,189.58768149146493,True,33,0.7574000025571982,353.3934204332753
33,2020-02-24,0,71.69693651737113,189.58768149146493,True,34,0.8890213817148681,353.3934204332753
34,2020-02-25,0,71.69693651737113,189.58768149146493,True,35,1.0434529239707118,353.3934204332753
35,2020-02-26,0,71.69693651737113,189.58768149146493,True,36,1.2246238621458607,353.3934204332753
36,2020-02-27,0,71.69693651737113,189.58768149146493,True,37,1.4371312996170291,353.3934204332753
37,2020-02-28,0,71.69693651737113,189.58768149146493,True,38,1.6863503502996129,353.3934204332753
38,2020-02-29,0,71.69693651737113,189.58768149146493,True,39,1.9785611635042664,353.3934204332753
39,2020-03-01,0,71.69693651737113,189.58768149146493,True,40,2.321094931796008,353.3934204332753
40,2020-03-02,0,71.69693651737113,189.58768149146493,True,41,2.722501043229945,353.3934204332753
41,2020-03-03,0,71.69693651737113,189.58768149146493,True,42,3.1927375093644943,353.3934204332753
42,2020-03-04,0,71.69693651737113,189.58768149146493,True,43,3.7433866275900223,353.3934204332753
43,2020-03-05,0,71.69693651737113,189.58768149146493,True,44,4.38789745306231,353.3934204332753
44,2020-03-06,0,71.69693651737113,189.58768149146493,True,45,5.141855971945188,353.3934204332753
45,2020-03-07,0,71.69693651737113,189.58768149146493,True,46,6.023282766345653,353.3934204332753
46,2020-03-08,0,71.69693651737113,189.58768149146493,True,47,7.052956292660421,353.3934204332753
47,2020-03-09,0,71.69693651737113,189.58768149146493,True,48,8.254757473829466,353.3934204332753
48,2020-03-10,0,71.69693651737113,189.58768149146493,True,49,9.656027911293195,353.3934204332753
49,2020-03-11,0,71.69693651737113,189.58768149146493,True,50,11.287929404008764,353.3934204332753
50,2020-03-12,0,71.69693651737113,189.58768149146493,True,51,13.185786357605453,353.3934204332753
51,2020-03-13,2,71.69693651737113,189.58768149146493,True,52,15.389384838134744,353.3934204332753
52,2020-03-14,2,71.69693651737113,189.58768149146493,True,53,17.943192319002172,353.3934204332753
53,2020-03-15,2,71.69693651737113,189.58768149146493,True,54,20.896450618215866,353.3934204332753
54,2020-03-16,7,71.69693651737113,189.58768149146493,True,55,24.303081487865356,353.3934204332753
55,2020-03-17,7,71.69693651737113,189.58768149146493,True,56,28.221330688026455,353.3934204332753
56,2020-03-18,8,71.69693651737113,189.58768149146493,True,57,32.71306381127738,353.3934204332753
57,2020-03-19,16,71.69693651737113,189.58768149146493,True,58,37.84261830233061,353.3934204332753
58,2020-03-20,20,71.69693651737113,189.58768149146493,True,59,43.67511493584901,353.3934204332753
59,2020-03-21,26,71.69693651737113,189.58768149146493,True,60,50.274143589148764,353.3934204332753
60,2020-03-22,52,71.69693651737113,189.58768149146493,True,61,57.698768433371406,353.3934204332753
61,2020-03-23,66,71.69693651737113,189.58768149146493,True,62,65.99985248517184,353.3934204332753
62,2020-03-24,72,71.69693651737113,189.58768149146493,True,63,75.21578470647235,353.3934204332753
63,2020-03-25,72,71.69693651737113,189.58768149146493,True,64,85.36780389155521,353.3934204332753
64,2020-03-26,95,71.69693651737113,189.58768149146493,True,65,96.45524427488954,353.3934204332753
65,2020-03-27,95,71.69693651737113,189.58768149146493,True,66,108.45115991841485,353.3934204332753
66,2020-03-28,134,71.69693651737113,189.58768149146493,True,67,121.29888980140444,353.3934204332753
67,2020-03-29,156,71.69693651737113,189.58768149146493,True,68,134.91016736736066,353.3934204332753
68,2020-03-30,156,71.69693651737113,189.58768149146493,True,69,149.16532254614708,353.3934204332753
69,2020-03-31,184,71.69693651737113,189.58768149146493,True,70,163.91595008257798,353.3934204332753
70,2020-04-01,193,71.69693651737113,189.58768149146493,True,71,178.9901310510509,353.3934204332753
71,2020-04-02,206,71.69693651737113,189.58768149146493,True,72,194.199934503108,353.3934204332753
72,2020-04-03,220,71.69693651737113,189.58768149146493,True,73,209.3505635006597,353.3934204332753
73,2020-04-04,220,71.69693651737113,189.58768149146493,True,74,224.25022806154396,353.3934204332753
74,2020-04-05,249,71.69693651737113,189.58768149146493,True,75,238.71969817213179,353.3934204332753
75,2020-04-06,249,71.69693651737113,189.58768149146493,True,76,252.60054731127417,353.3934204332753
76,2020-04-07,260,71.69693651737113,189.58768149146493,True,77,265.76132557902275,353.3934204332753
77,2020-04-08,260,71.69693651737113,189.58768149146493,True,78,278.10124225567597,353.3934204332753
