,Report_Date,Australia_south australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.61055343811145,263.0443477969778,True,1,0.0062374456238213525,510.242788106875
1,2020-01-23,0,67.61055343811145,263.0443477969778,True,2,0.007395350610195748,510.242788106875
2,2020-01-24,0,67.61055343811145,263.0443477969778,True,3,0.008768202818908284,510.242788106875
3,2020-01-25,0,67.61055343811145,263.0443477969778,True,4,0.010395902436791426,510.242788106875
4,2020-01-26,0,67.61055343811145,263.0443477969778,True,5,0.012325755646087401,510.242788106875
5,2020-01-27,0,67.61055343811145,263.0443477969778,True,6,0.014613849034567705,510.242788106875
6,2020-01-28,0,67.61055343811145,263.0443477969778,True,7,0.017326678972615518,510.242788106875
7,2020-01-29,0,67.61055343811145,263.0443477969778,True,8,0.020543083216824458,510.242788106875
8,2020-01-30,0,67.61055343811145,263.0443477969778,True,9,0.024356530743501473,510.242788106875
9,2020-01-31,0,67.61055343811145,263.0443477969778,True,10,0.02887783617056458,510.242788106875
10,2020-02-01,1,67.61055343811145,263.0443477969778,True,11,0.03423837738697296,510.242788106875
11,2020-02-02,2,67.61055343811145,263.0443477969778,True,12,0.040593909521962776,510.242788106875
12,2020-02-03,2,67.61055343811145,263.0443477969778,True,13,0.0481290855605834,510.242788106875
13,2020-02-04,2,67.61055343811145,263.0443477969778,True,14,0.05706281422791491,510.242788106875
14,2020-02-05,2,67.61055343811145,263.0443477969778,True,15,0.06765460978625812,510.242788106875
15,2020-02-06,2,67.61055343811145,263.0443477969778,True,16,0.08021211677902393,510.242788106875
16,2020-02-07,2,67.61055343811145,263.0443477969778,True,17,0.09510002628559207,510.242788106875
17,2020-02-08,2,67.61055343811145,263.0443477969778,True,18,0.11275063982523086,510.242788106875
18,2020-02-09,2,67.61055343811145,263.0443477969778,True,19,0.13367638371381402,510.242788106875
19,2020-02-10,2,67.61055343811145,263.0443477969778,True,20,0.15848463164816423,510.242788106875
20,2020-02-11,2,67.61055343811145,263.0443477969778,True,21,0.18789525796684653,510.242788106875
21,2020-02-12,2,67.61055343811145,263.0443477969778,True,22,0.2227614200118828,510.242788106875
22,2020-02-13,2,67.61055343811145,263.0443477969778,True,23,0.264094157107359,510.242788106875
23,2020-02-14,2,67.61055343811145,263.0443477969778,True,24,0.3130914979153323,510.242788106875
24,2020-02-15,2,67.61055343811145,263.0443477969778,True,25,0.3711728895828813,510.242788106875
25,2020-02-16,2,67.61055343811145,263.0443477969778,True,26,0.4400199036090895,510.242788106875
26,2020-02-17,2,67.61055343811145,263.0443477969778,True,27,0.521624337334763,510.242788106875
27,2020-02-18,2,67.61055343811145,263.0443477969778,True,28,0.6183450190384858,510.242788106875
28,2020-02-19,2,67.61055343811145,263.0443477969778,True,29,0.7329748413485215,510.242788106875
29,2020-02-20,2,67.61055343811145,263.0443477969778,True,30,0.8688197942269492,510.242788106875
30,2020-02-21,2,67.61055343811145,263.0443477969778,True,31,1.029792046575969,510.242788106875
31,2020-02-22,2,67.61055343811145,263.0443477969778,True,32,1.220519434654697,510.242788106875
32,2020-02-23,2,67.61055343811145,263.0443477969778,True,33,1.446474053905075,510.242788106875
33,2020-02-24,2,67.61055343811145,263.0443477969778,True,34,1.7141230130139429,510.242788106875
34,2020-02-25,2,67.61055343811145,263.0443477969778,True,35,2.0311047845406134,510.242788106875
35,2020-02-26,2,67.61055343811145,263.0443477969778,True,36,2.406434957200251,510.242788106875
36,2020-02-27,2,67.61055343811145,263.0443477969778,True,37,2.85074553216187,510.242788106875
37,2020-02-28,2,67.61055343811145,263.0443477969778,True,38,3.3765621656022997,510.242788106875
38,2020-02-29,3,67.61055343811145,263.0443477969778,True,39,3.9986238773774576,510.242788106875
39,2020-03-01,3,67.61055343811145,263.0443477969778,True,40,4.734249627602167,510.242788106875
40,2020-03-02,3,67.61055343811145,263.0443477969778,True,41,5.603755677654404,510.242788106875
41,2020-03-03,3,67.61055343811145,263.0443477969778,True,42,6.630926618468944,510.242788106875
42,2020-03-04,5,67.61055343811145,263.0443477969778,True,43,7.8435411228620175,510.242788106875
43,2020-03-05,5,67.61055343811145,263.0443477969778,True,44,9.273950539089451,510.242788106875
44,2020-03-06,7,67.61055343811145,263.0443477969778,True,45,10.959703979879357,510.242788106875
45,2020-03-07,7,67.61055343811145,263.0443477969778,True,46,12.944207069644287,510.242788106875
46,2020-03-08,7,67.61055343811145,263.0443477969778,True,47,15.277392399872687,510.242788106875
47,2020-03-09,7,67.61055343811145,263.0443477969778,True,48,18.016367362511687,510.242788106875
