,Report_Date,Australia_south australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
48,2020-03-10,7,67.61055343811145,263.0443477969778,True,49,21.22598876141235,510.242788106875
49,2020-03-11,9,67.61055343811145,263.0443477969778,True,50,24.979292992065457,510.242788106875
50,2020-03-12,9,67.61055343811145,263.0443477969778,True,51,29.35768559830364,510.242788106875
51,2020-03-13,16,67.61055343811145,263.0443477969778,True,52,34.450765427785164,510.242788106875
52,2020-03-14,19,67.61055343811145,263.0443477969778,True,53,40.35562851022567,510.242788106875
53,2020-03-15,20,67.61055343811145,263.0443477969778,True,54,47.17546925871917,510.242788106875
54,2020-03-16,29,67.61055343811145,263.0443477969778,True,55,55.01727842185002,510.242788106875
55,2020-03-17,29,67.61055343811145,263.0443477969778,True,56,63.98843837232885,510.242788106875
56,2020-03-18,37,67.61055343811145,263.0443477969778,True,57,74.19204989973832,510.242788106875
57,2020-03-19,42,67.61055343811145,263.0443477969778,True,58,85.72090558885385,510.242788106875
58,2020-03-20,50,67.61055343811145,263.0443477969778,True,59,98.6501666221356,510.242788106875
59,2020-03-21,67,67.61055343811145,263.0443477969778,True,60,113.0290089360974,510.242788106875
60,2020-03-22,100,67.61055343811145,263.0443477969778,True,61,128.87177279373032,510.242788106875
61,2020-03-23,134,67.61055343811145,263.0443477969778,True,62,146.14944579876155,510.242788106875
62,2020-03-24,170,67.61055343811145,263.0443477969778,True,63,164.7825742987111,510.242788106875
63,2020-03-25,170,67.61055343811145,263.0443477969778,True,64,184.63684940087717,510.242788106875
64,2020-03-26,235,67.61055343811145,263.0443477969778,True,65,205.52256241078837,510.242788106875
65,2020-03-27,257,67.61055343811145,263.0443477969778,True,66,227.1988057419757,510.242788106875
66,2020-03-28,287,67.61055343811145,263.0443477969778,True,67,249.3827053824696,510.242788106875
67,2020-03-29,299,67.61055343811145,263.0443477969778,True,68,271.76319231461304,510.242788106875
68,2020-03-30,305,67.61055343811145,263.0443477969778,True,69,294.0180177857711,510.242788106875
69,2020-03-31,337,67.61055343811145,263.0443477969778,True,70,315.8320961122923,510.242788106875
70,2020-04-01,367,67.61055343811145,263.0443477969778,True,71,336.9149942547466,510.242788106875
71,2020-04-02,367,67.61055343811145,263.0443477969778,True,72,357.0155580182001,510.242788106875
72,2020-04-03,396,67.61055343811145,263.0443477969778,True,73,375.93221966882425,510.242788106875
73,2020-04-04,407,67.61055343811145,263.0443477969778,True,74,393.518311984951,510.242788106875
74,2020-04-05,407,67.61055343811145,263.0443477969778,True,75,409.68251424057564,510.242788106875
75,2020-04-06,411,67.61055343811145,263.0443477969778,True,76,424.3851976248073,510.242788106875
76,2020-04-07,411,67.61055343811145,263.0443477969778,True,77,437.6318187713497,510.242788106875
77,2020-04-08,415,67.61055343811145,263.0443477969778,True,78,449.4646166075141,510.242788106875
