,Report_Date,Estonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
44,2020-03-06,10,69.64384272114388,762.7756251792506,True,45,35.424228284325096,1436.8711317853272
45,2020-03-07,10,69.64384272114388,762.7756251792506,True,46,41.07209870885206,1436.8711317853272
46,2020-03-08,10,69.64384272114388,762.7756251792506,True,47,47.59167952434109,1436.8711317853272
47,2020-03-09,10,69.64384272114388,762.7756251792506,True,48,55.10772853973414,1436.8711317853272
48,2020-03-10,12,69.64384272114388,762.7756251792506,True,49,63.75956341308364,1436.8711317853272
49,2020-03-11,16,69.64384272114388,762.7756251792506,True,50,73.70164196648709,1436.8711317853272
50,2020-03-12,16,69.64384272114388,762.7756251792506,True,51,85.10374140328952,1436.8711317853272
51,2020-03-13,79,69.64384272114388,762.7756251792506,True,52,98.15056463353757,1436.8711317853272
52,2020-03-14,115,69.64384272114388,762.7756251792506,True,53,113.04056702119769,1436.8711317853272
53,2020-03-15,171,69.64384272114388,762.7756251792506,True,54,129.98376531163711,1436.8711317853272
54,2020-03-16,205,69.64384272114388,762.7756251792506,True,55,149.19826873568653,1436.8711317853272
55,2020-03-17,225,69.64384272114388,762.7756251792506,True,56,170.90526944174408,1436.8711317853272
56,2020-03-18,258,69.64384272114388,762.7756251792506,True,57,195.32225725616647,1436.8711317853272
57,2020-03-19,267,69.64384272114388,762.7756251792506,True,58,222.65429597792095,1436.8711317853272
58,2020-03-20,283,69.64384272114388,762.7756251792506,True,59,253.08332858942964,1436.8711317853272
59,2020-03-21,306,69.64384272114388,762.7756251792506,True,60,286.75567699463994,1436.8711317853272
60,2020-03-22,326,69.64384272114388,762.7756251792506,True,61,323.76816962166316,1436.8711317853272
61,2020-03-23,352,69.64384272114388,762.7756251792506,True,62,364.15365405768915,1436.8711317853272
62,2020-03-24,369,69.64384272114388,762.7756251792506,True,63,407.86699780508576,1436.8711317853272
63,2020-03-25,404,69.64384272114388,762.7756251792506,True,64,454.7729908632051,1436.8711317853272
64,2020-03-26,538,69.64384272114388,762.7756251792506,True,65,504.6377619314127,1436.8711317853272
65,2020-03-27,575,69.64384272114388,762.7756251792506,True,66,557.1253212352256,1436.8711317853272
66,2020-03-28,645,69.64384272114388,762.7756251792506,True,67,611.8005779567009,1436.8711317853272
67,2020-03-29,679,69.64384272114388,762.7756251792506,True,68,668.1396222811737,1436.8711317853272
68,2020-03-30,715,69.64384272114388,762.7756251792506,True,69,725.547251112591,1436.8711317853272
69,2020-03-31,745,69.64384272114388,762.7756251792506,True,70,783.3807679575289,1436.8711317853272
70,2020-04-01,779,69.64384272114388,762.7756251792506,True,71,840.9781763222002,1436.8711317853272
71,2020-04-02,858,69.64384272114388,762.7756251792506,True,72,897.688205595694,1436.8711317853272
72,2020-04-03,961,69.64384272114388,762.7756251792506,True,73,952.8993152268648,1436.8711317853272
73,2020-04-04,1039,69.64384272114388,762.7756251792506,True,74,1006.0649871154891,1436.8711317853272
74,2020-04-05,1097,69.64384272114388,762.7756251792506,True,75,1056.7231981172606,1436.8711317853272
75,2020-04-06,1108,69.64384272114388,762.7756251792506,True,76,1104.5088285924385,1436.8711317853272
76,2020-04-07,1149,69.64384272114388,762.7756251792506,True,77,1149.1587204233683,1436.8711317853272
77,2020-04-08,1185,69.64384272114388,762.7756251792506,True,78,1190.5099634487392,1436.8711317853272
