,Report_Date,China_fujian_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,12.415678565400244,155.28408983608333,True,1,22.184696427104218,310.5681665862387
1,2020-01-23,5,12.415678565400244,155.28408983608333,True,2,27.2825786463172,310.5681665862387
2,2020-01-24,10,12.415678565400244,155.28408983608333,True,3,33.41617575342625,310.5681665862387
3,2020-01-25,18,12.415678565400244,155.28408983608333,True,4,40.73044978903098,310.5681665862387
4,2020-01-26,35,12.415678565400244,155.28408983608333,True,5,49.36056985386266,310.5681665862387
5,2020-01-27,59,12.415678565400244,155.28408983608333,True,6,59.416629363169186,310.5681665862387
6,2020-01-28,80,12.415678565400244,155.28408983608333,True,7,70.9647889616266,310.5681665862387
7,2020-01-29,84,12.415678565400244,155.28408983608333,True,8,84.00668753616071,310.5681665862387
8,2020-01-30,101,12.415678565400244,155.28408983608333,True,9,98.46048892401774,310.5681665862387
9,2020-01-31,120,12.415678565400244,155.28408983608333,True,10,114.14819578828521,310.5681665862387
10,2020-02-01,144,12.415678565400244,155.28408983608333,True,11,130.79411897791758,310.5681665862387
11,2020-02-02,159,12.415678565400244,155.28408983608333,True,12,148.03796486247026,310.5681665862387
12,2020-02-03,179,12.415678565400244,155.28408983608333,True,13,165.46279099812375,310.5681665862387
13,2020-02-04,194,12.415678565400244,155.28408983608333,True,14,182.63392563160068,310.5681665862387
14,2020-02-05,205,12.415678565400244,155.28408983608333,True,15,199.14147310837723,310.5681665862387
15,2020-02-06,215,12.415678565400244,155.28408983608333,True,16,214.63782814283542,310.5681665862387
16,2020-02-07,224,12.415678565400244,155.28408983608333,True,17,228.86328286165224,310.5681665862387
17,2020-02-08,239,12.415678565400244,155.28408983608333,True,18,241.65652470273443,310.5681665862387
18,2020-02-09,250,12.415678565400244,155.28408983608333,True,19,252.95091885586837,310.5681665862387
19,2020-02-10,261,12.415678565400244,155.28408983608333,True,20,262.7604113478033,310.5681665862387
20,2020-02-11,267,12.415678565400244,155.28408983608333,True,21,271.1600015311974,310.5681665862387
21,2020-02-12,272,12.415678565400244,155.28408983608333,True,22,278.26525102502814,310.5681665862387
22,2020-02-13,279,12.415678565400244,155.28408983608333,True,23,284.21394012768053,310.5681665862387
23,2020-02-14,281,12.415678565400244,155.28408983608333,True,24,289.1514718031288,310.5681665862387
